scenario,scenario_label,year,variant,variant_label,slr_m,buildings_count,buildings_bn,roads_bn,railways_bn,utilities_bn,total_bn,delta_total_bn,delta_total_pct,delta_buildings_count,delta_buildings_bn,delta_roads_bn,delta_railways_bn,delta_utilities_bn
SSP1-2.6,Low Emissions (SSP1-2.6),2030,baseline,Baseline (IPCC AR6),0.07,3193.0,2.5166,0.0055,0.0017,0.0289,2.5527,7.1205,278.9,8816.0,7.0978,0.0031,0.0,0.0195
SSP1-2.6,Low Emissions (SSP1-2.6),2030,geoid,+0.15m Geoid Correction,0.22,12009.0,9.6144,0.0086,0.0017,0.0484,9.6732,7.1205,278.9,8816.0,7.0978,0.0031,0.0,0.0195
SSP1-2.6,Low Emissions (SSP1-2.6),2050,baseline,Baseline (IPCC AR6),0.2,10687.0,8.5401,0.0078,0.0017,0.0438,8.5935,9.5189,110.8,11648.0,9.3693,0.0602,0.0565,0.0329
SSP1-2.6,Low Emissions (SSP1-2.6),2050,geoid,+0.15m Geoid Correction,0.35,22335.0,17.9094,0.068,0.0582,0.0767,18.1124,9.5189,110.8,11648.0,9.3693,0.0602,0.0565,0.0329
SSP1-2.6,Low Emissions (SSP1-2.6),2075,baseline,Baseline (IPCC AR6),0.3,17975.0,14.4151,0.0651,0.0373,0.0674,14.5849,11.3187,77.6,13889.0,11.2384,0.0342,0.0249,0.0211
SSP1-2.6,Low Emissions (SSP1-2.6),2075,geoid,+0.15m Geoid Correction,0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036,11.3187,77.6,13889.0,11.2384,0.0342,0.0249,0.0211
SSP1-2.6,Low Emissions (SSP1-2.6),2100,baseline,Baseline (IPCC AR6),0.4,26813.0,21.5172,0.0973,0.0602,0.0829,21.7575,14.285,65.7,17607.0,14.2109,0.0244,0.006,0.0436
SSP1-2.6,Low Emissions (SSP1-2.6),2100,geoid,+0.15m Geoid Correction,0.55,44420.0,35.7281,0.1217,0.0662,0.1265,36.0425,14.285,65.7,17607.0,14.2109,0.0244,0.006,0.0436
SSP2-4.5,Intermediate (SSP2-4.5),2030,baseline,Baseline (IPCC AR6),0.1,4762.0,3.7885,0.0057,0.0017,0.0297,3.8255,7.7301,202.1,9554.0,7.6913,0.0054,0.0074,0.0259
SSP2-4.5,Intermediate (SSP2-4.5),2030,geoid,+0.15m Geoid Correction,0.25,14316.0,11.4798,0.0111,0.0091,0.0556,11.5556,7.7301,202.1,9554.0,7.6913,0.0054,0.0074,0.0259
SSP2-4.5,Intermediate (SSP2-4.5),2050,baseline,Baseline (IPCC AR6),0.3,17975.0,14.4151,0.0651,0.0373,0.0674,14.5849,11.3187,77.6,13889.0,11.2384,0.0342,0.0249,0.0211
SSP2-4.5,Intermediate (SSP2-4.5),2050,geoid,+0.15m Geoid Correction,0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036,11.3187,77.6,13889.0,11.2384,0.0342,0.0249,0.0211
SSP2-4.5,Intermediate (SSP2-4.5),2075,baseline,Baseline (IPCC AR6),0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036,15.2595,58.9,18427.0,15.0064,0.1966,0.0073,0.0491
SSP2-4.5,Intermediate (SSP2-4.5),2075,geoid,+0.15m Geoid Correction,0.6,50291.0,40.6599,0.2959,0.0695,0.1376,41.1631,15.2595,58.9,18427.0,15.0064,0.1966,0.0073,0.0491
SSP2-4.5,Intermediate (SSP2-4.5),2100,baseline,Baseline (IPCC AR6),0.6,50291.0,40.6599,0.2959,0.0695,0.1376,41.1631,15.6501,38.0,18385.0,15.5339,0.0115,0.0601,0.0448
SSP2-4.5,Intermediate (SSP2-4.5),2100,geoid,+0.15m Geoid Correction,0.75,68676.0,56.1938,0.3074,0.1296,0.1824,56.8132,15.6501,38.0,18385.0,15.5339,0.0115,0.0601,0.0448
SSP5-8.5,High Emissions (SSP5-8.5),2030,baseline,Baseline (IPCC AR6),0.13,6430.0,5.1267,0.006,0.0017,0.0318,5.1662,8.2453,159.6,10067.0,8.1217,0.0582,0.0356,0.0297
SSP5-8.5,High Emissions (SSP5-8.5),2030,geoid,+0.15m Geoid Correction,0.28,16497.0,13.2484,0.0642,0.0373,0.0615,13.4115,8.2453,159.6,10067.0,8.1217,0.0582,0.0356,0.0297
SSP5-8.5,High Emissions (SSP5-8.5),2050,baseline,Baseline (IPCC AR6),0.4,26813.0,21.5172,0.0973,0.0602,0.0829,21.7575,14.285,65.7,17607.0,14.2109,0.0244,0.006,0.0436
SSP5-8.5,High Emissions (SSP5-8.5),2050,geoid,+0.15m Geoid Correction,0.55,44420.0,35.7281,0.1217,0.0662,0.1265,36.0425,14.285,65.7,17607.0,14.2109,0.0244,0.006,0.0436
SSP5-8.5,High Emissions (SSP5-8.5),2075,baseline,Baseline (IPCC AR6),0.7,62245.0,50.6969,0.305,0.1135,0.1705,51.286,16.0652,31.3,18800.0,16.0065,0.0093,0.0182,0.0313
SSP5-8.5,High Emissions (SSP5-8.5),2075,geoid,+0.15m Geoid Correction,0.85,81045.0,66.7034,0.3143,0.1317,0.2018,67.3512,16.0652,31.3,18800.0,16.0065,0.0093,0.0182,0.0313
SSP5-8.5,High Emissions (SSP5-8.5),2100,baseline,Baseline (IPCC AR6),1.0,99244.0,82.0112,0.3724,0.206,0.2502,82.8398,12.2594,14.8,14697.0,12.2361,0.0053,0.0081,0.0098
SSP5-8.5,High Emissions (SSP5-8.5),2100,geoid,+0.15m Geoid Correction,1.15,113941.0,94.2473,0.3777,0.2141,0.26,95.0992,12.2594,14.8,14697.0,12.2361,0.0053,0.0081,0.0098
