scenario,variant,option,option_name,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP1-2.6,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.0017,0.0009,0.0009,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.0139,0.0069,0.0069,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,0.0533,0.0266,0.0266,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,0.1424,0.0712,0.0712,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.0017,0.0009,0.0009,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.0139,0.0069,0.0069,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,0.0533,0.0266,0.0266,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,0.1424,0.0712,0.0712,>2100,>2100,>2100
SSP1-2.6,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.0017,0.0009,0.0008,2091,2098,>2100
SSP1-2.6,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.0139,0.0077,0.0062,2091,2098,>2100
SSP1-2.6,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2075,0.0533,0.0296,0.0237,2091,2098,>2100
SSP1-2.6,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2100,0.1424,0.0791,0.0633,2091,2098,>2100
SSP1-2.6,baseline,3,Dynamic traffic management protocol,4.2,7.8,2030,0.0017,0.0009,0.0009,2044,2049,2052
SSP1-2.6,baseline,3,Dynamic traffic management protocol,4.2,7.8,2050,0.0139,0.0069,0.0069,2044,2049,2052
SSP1-2.6,baseline,3,Dynamic traffic management protocol,4.2,7.8,2075,0.0533,0.0266,0.0266,2044,2049,2052
SSP1-2.6,baseline,3,Dynamic traffic management protocol,4.2,7.8,2100,0.1424,0.0712,0.0712,2044,2049,2052
SSP1-2.6,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.0061,0.0031,0.0031,2093,>2100,>2100
SSP1-2.6,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.0485,0.0243,0.0243,2093,>2100,>2100
SSP1-2.6,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,0.182,0.091,0.091,2093,>2100,>2100
SSP1-2.6,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,0.4783,0.2392,0.2392,2093,>2100,>2100
SSP1-2.6,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.0061,0.0031,0.0031,2093,>2100,>2100
SSP1-2.6,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.0485,0.0243,0.0243,2093,>2100,>2100
SSP1-2.6,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,0.182,0.091,0.091,2093,>2100,>2100
SSP1-2.6,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,0.4783,0.2392,0.2392,2093,>2100,>2100
SSP1-2.6,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.0061,0.0034,0.0027,2062,2068,2073
SSP1-2.6,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.0485,0.027,0.0216,2062,2068,2073
SSP1-2.6,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2075,0.182,0.1011,0.0809,2062,2068,2073
SSP1-2.6,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2100,0.4783,0.2657,0.2126,2062,2068,2073
SSP1-2.6,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2030,0.0061,0.0031,0.0031,2032,2035,2037
SSP1-2.6,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2050,0.0485,0.0243,0.0243,2032,2035,2037
SSP1-2.6,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2075,0.182,0.091,0.091,2032,2035,2037
SSP1-2.6,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2100,0.4783,0.2392,0.2392,2032,2035,2037
SSP2-4.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.0021,0.001,0.001,2093,2099,>2100
SSP2-4.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.0252,0.0126,0.0126,2093,2099,>2100
SSP2-4.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,0.1389,0.0694,0.0694,2093,2099,>2100
SSP2-4.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,0.5145,0.2573,0.2573,2093,2099,>2100
SSP2-4.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.0021,0.001,0.001,2093,2099,>2100
SSP2-4.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.0252,0.0126,0.0126,2093,2099,>2100
SSP2-4.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,0.1389,0.0694,0.0694,2093,2099,>2100
SSP2-4.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,0.5145,0.2573,0.2573,2093,2099,>2100
SSP2-4.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.0021,0.0012,0.0009,2070,2075,2079
SSP2-4.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.0252,0.014,0.0112,2070,2075,2079
SSP2-4.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2075,0.1389,0.0772,0.0617,2070,2075,2079
SSP2-4.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2100,0.5145,0.2858,0.2287,2070,2075,2079
SSP2-4.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2030,0.0021,0.001,0.001,2040,2043,2046
SSP2-4.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2050,0.0252,0.0126,0.0126,2040,2043,2046
SSP2-4.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2075,0.1389,0.0694,0.0694,2040,2043,2046
SSP2-4.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2100,0.5145,0.2573,0.2573,2040,2043,2046
SSP2-4.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.0074,0.0037,0.0037,2071,2076,2080
SSP2-4.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.0864,0.0432,0.0432,2071,2076,2080
SSP2-4.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,0.462,0.231,0.231,2071,2076,2080
SSP2-4.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,1.6775,0.8388,0.8388,2071,2076,2080
SSP2-4.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.0074,0.0037,0.0037,2071,2076,2080
SSP2-4.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.0864,0.0432,0.0432,2071,2076,2080
SSP2-4.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,0.462,0.231,0.231,2071,2076,2080
SSP2-4.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,1.6775,0.8388,0.8388,2071,2076,2080
SSP2-4.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.0074,0.0041,0.0033,2052,2056,2059
SSP2-4.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.0864,0.048,0.0384,2052,2056,2059
SSP2-4.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2075,0.462,0.2567,0.2054,2052,2056,2059
SSP2-4.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2100,1.6775,0.932,0.7456,2052,2056,2059
SSP2-4.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2030,0.0074,0.0037,0.0037,2031,2033,2035
SSP2-4.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2050,0.0864,0.0432,0.0432,2031,2033,2035
SSP2-4.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2075,0.462,0.231,0.231,2031,2033,2035
SSP2-4.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2100,1.6775,0.8388,0.8388,2031,2033,2035
SSP5-8.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.0025,0.0013,0.0013,2070,2073,2076
SSP5-8.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.047,0.0235,0.0235,2070,2073,2076
SSP5-8.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,0.5978,0.2989,0.2989,2070,2073,2076
SSP5-8.5,baseline,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,6.1737,3.1004,3.0734,2070,2073,2076
SSP5-8.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.0025,0.0013,0.0013,2070,2073,2076
SSP5-8.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.047,0.0235,0.0235,2070,2073,2076
SSP5-8.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,0.5978,0.2989,0.2989,2070,2073,2076
SSP5-8.5,baseline,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,6.1737,3.1004,3.0734,2070,2073,2076
SSP5-8.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.0025,0.0014,0.0011,2057,2060,2062
SSP5-8.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.047,0.0261,0.0209,2057,2060,2062
SSP5-8.5,baseline,2,Perimeter barriers + smart drainage,43.9,73.1,2075,0.5978,0.3321,0.2657,2057,2060,2062
