scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,1a,2025,0.035,0.0852,0.0668,0.1212,0.1981,0.0001,0.0001,0.0002
SSP1-2.6,baseline,1a,2026,0.042,0.0906,0.071,0.1288,0.2107,0.0001,0.0002,0.0004
SSP1-2.6,baseline,1a,2027,0.049,0.0964,0.0755,0.137,0.224,0.0002,0.0004,0.0006
SSP1-2.6,baseline,1a,2028,0.056,0.1025,0.0803,0.1456,0.2382,0.0003,0.0005,0.0009
SSP1-2.6,baseline,1a,2029,0.063,0.1089,0.0853,0.1548,0.2532,0.0004,0.0007,0.0011
SSP1-2.6,baseline,1a,2030,0.07,0.1157,0.0907,0.1645,0.2691,0.0005,0.0009,0.0014
SSP1-2.6,baseline,1a,2031,0.076,0.1219,0.0955,0.1733,0.2834,0.0006,0.001,0.0017
SSP1-2.6,baseline,1a,2032,0.082,0.1284,0.1006,0.1826,0.2986,0.0007,0.0012,0.002
SSP1-2.6,baseline,1a,2033,0.088,0.1353,0.106,0.1923,0.3144,0.0008,0.0014,0.0023
SSP1-2.6,baseline,1a,2034,0.094,0.1425,0.1116,0.2025,0.3311,0.0009,0.0016,0.0026
SSP1-2.6,baseline,1a,2035,0.1,0.15,0.1175,0.2132,0.3487,0.001,0.0018,0.003
SSP1-2.6,baseline,1a,2036,0.106,0.1579,0.1237,0.2245,0.3671,0.0011,0.002,0.0033
SSP1-2.6,baseline,1a,2037,0.112,0.1663,0.1303,0.2363,0.3865,0.0013,0.0023,0.0037
SSP1-2.6,baseline,1a,2038,0.118,0.175,0.1371,0.2488,0.4069,0.0014,0.0025,0.0041
SSP1-2.6,baseline,1a,2039,0.124,0.1842,0.1443,0.2619,0.4283,0.0015,0.0028,0.0046
SSP1-2.6,baseline,1a,2040,0.13,0.1939,0.1519,0.2756,0.4508,0.0017,0.0031,0.005
SSP1-2.6,baseline,1a,2041,0.137,0.2058,0.1612,0.2925,0.4784,0.0018,0.0034,0.0055
SSP1-2.6,baseline,1a,2042,0.144,0.2184,0.1711,0.3105,0.5077,0.002,0.0037,0.006
SSP1-2.6,baseline,1a,2043,0.151,0.2318,0.1816,0.3294,0.5388,0.0022,0.004,0.0065
SSP1-2.6,baseline,1a,2044,0.158,0.2459,0.1927,0.3495,0.5716,0.0024,0.0043,0.0071
SSP1-2.6,baseline,1a,2045,0.165,0.2609,0.2044,0.3708,0.6064,0.0026,0.0047,0.0077
SSP1-2.6,baseline,1a,2046,0.172,0.2767,0.2168,0.3933,0.6433,0.0028,0.0051,0.0084
SSP1-2.6,baseline,1a,2047,0.179,0.2935,0.23,0.4172,0.6823,0.003,0.0055,0.009
SSP1-2.6,baseline,1a,2048,0.186,0.3113,0.2439,0.4425,0.7236,0.0033,0.006,0.0098
SSP1-2.6,baseline,1a,2049,0.193,0.3301,0.2586,0.4692,0.7673,0.0035,0.0064,0.0105
SSP1-2.6,baseline,1a,2050,0.2,0.35,0.2742,0.4975,0.8136,0.0038,0.0069,0.0113
SSP1-2.6,baseline,1a,2051,0.204,0.3619,0.2835,0.5144,0.8413,0.0041,0.0074,0.0122
SSP1-2.6,baseline,1a,2052,0.208,0.3742,0.2932,0.5319,0.8698,0.0044,0.008,0.0131
SSP1-2.6,baseline,1a,2053,0.212,0.3869,0.3031,0.5499,0.8993,0.0047,0.0085,0.014
SSP1-2.6,baseline,1a,2054,0.216,0.4,0.3134,0.5685,0.9298,0.005,0.0091,0.0149
SSP1-2.6,baseline,1a,2055,0.22,0.4135,0.324,0.5878,0.9613,0.0053,0.0097,0.0158
SSP1-2.6,baseline,1a,2056,0.224,0.4275,0.3349,0.6077,0.9938,0.0057,0.0103,0.0168
SSP1-2.6,baseline,1a,2057,0.228,0.442,0.3463,0.6282,1.0274,0.006,0.0109,0.0179
SSP1-2.6,baseline,1a,2058,0.232,0.4569,0.358,0.6494,1.0621,0.0064,0.0116,0.0189
SSP1-2.6,baseline,1a,2059,0.236,0.4723,0.37,0.6713,1.0979,0.0067,0.0122,0.02
SSP1-2.6,baseline,1a,2060,0.24,0.4882,0.3825,0.694,1.1349,0.0071,0.0129,0.0212
SSP1-2.6,baseline,1a,2061,0.244,0.5047,0.3954,0.7173,1.1731,0.0075,0.0137,0.0223
SSP1-2.6,baseline,1a,2062,0.248,0.5216,0.4087,0.7414,1.2126,0.0079,0.0144,0.0235
SSP1-2.6,baseline,1a,2063,0.252,0.5392,0.4224,0.7664,1.2534,0.0084,0.0152,0.0248
SSP1-2.6,baseline,1a,2064,0.256,0.5573,0.4366,0.7921,1.2954,0.0088,0.016,0.0261
SSP1-2.6,baseline,1a,2065,0.26,0.576,0.4513,0.8187,1.3389,0.0092,0.0168,0.0274
SSP1-2.6,baseline,1a,2066,0.264,0.5953,0.4664,0.8461,1.3838,0.0097,0.0176,0.0288
SSP1-2.6,baseline,1a,2067,0.268,0.6152,0.482,0.8745,1.4302,0.0102,0.0185,0.0302
SSP1-2.6,baseline,1a,2068,0.272,0.6358,0.4981,0.9037,1.478,0.0107,0.0194,0.0317
SSP1-2.6,baseline,1a,2069,0.276,0.6571,0.5148,0.934,1.5274,0.0112,0.0203,0.0333
SSP1-2.6,baseline,1a,2070,0.28,0.679,0.532,0.9652,1.5785,0.0117,0.0213,0.0348
SSP1-2.6,baseline,1a,2071,0.284,0.7017,0.5498,0.9974,1.6312,0.0123,0.0223,0.0365
SSP1-2.6,baseline,1a,2072,0.288,0.7251,0.5681,1.0307,1.6856,0.0129,0.0233,0.0381
SSP1-2.6,baseline,1a,2073,0.292,0.7493,0.587,1.065,1.7418,0.0134,0.0244,0.0399
SSP1-2.6,baseline,1a,2074,0.296,0.7742,0.6066,1.1005,1.7998,0.0141,0.0255,0.0417
SSP1-2.6,baseline,1a,2075,0.3,0.8,0.6268,1.1371,1.8597,0.0147,0.0266,0.0435
SSP1-2.6,baseline,1a,2076,0.304,0.8266,0.6476,1.1749,1.9215,0.0153,0.0278,0.0455
SSP1-2.6,baseline,1a,2077,0.308,0.8541,0.6691,1.214,1.9854,0.016,0.029,0.0475
SSP1-2.6,baseline,1a,2078,0.312,0.8824,0.6913,1.2543,2.0513,0.0167,0.0303,0.0495
SSP1-2.6,baseline,1a,2079,0.316,0.9117,0.7143,1.2959,2.1194,0.0174,0.0316,0.0516
SSP1-2.6,baseline,1a,2080,0.32,0.9419,0.738,1.3389,2.1896,0.0181,0.0329,0.0538
SSP1-2.6,baseline,1a,2081,0.324,0.9731,0.7624,1.3832,2.2622,0.0189,0.0343,0.0561
SSP1-2.6,baseline,1a,2082,0.328,1.0054,0.7877,1.429,2.3371,0.0197,0.0357,0.0584
SSP1-2.6,baseline,1a,2083,0.332,1.0386,0.8137,1.4763,2.4144,0.0205,0.0372,0.0608
SSP1-2.6,baseline,1a,2084,0.336,1.0729,0.8406,1.5251,2.4942,0.0213,0.0387,0.0633
SSP1-2.6,baseline,1a,2085,0.34,1.1084,0.8684,1.5755,2.5766,0.0222,0.0403,0.0659
SSP1-2.6,baseline,1a,2086,0.344,1.145,0.897,1.6275,2.6616,0.0231,0.0419,0.0686
SSP1-2.6,baseline,1a,2087,0.348,1.1827,0.9266,1.6811,2.7494,0.024,0.0436,0.0713
SSP1-2.6,baseline,1a,2088,0.352,1.2217,0.9572,1.7366,2.8401,0.025,0.0453,0.0742
SSP1-2.6,baseline,1a,2089,0.356,1.262,0.9887,1.7938,2.9336,0.026,0.0471,0.0771
SSP1-2.6,baseline,1a,2090,0.36,1.3035,1.0213,1.8528,3.0302,0.027,0.049,0.0801
SSP1-2.6,baseline,1a,2091,0.364,1.3464,1.0549,1.9138,3.1299,0.0281,0.0509,0.0832
SSP1-2.6,baseline,1a,2092,0.368,1.3907,1.0895,1.9767,3.2327,0.0291,0.0529,0.0865
SSP1-2.6,baseline,1a,2093,0.372,1.4363,1.1253,2.0416,3.3389,0.0303,0.0549,0.0898
SSP1-2.6,baseline,1a,2094,0.376,1.4835,1.1623,2.1086,3.4486,0.0314,0.057,0.0933
SSP1-2.6,baseline,1a,2095,0.38,1.5322,1.2004,2.1778,3.5617,0.0326,0.0592,0.0968
SSP1-2.6,baseline,1a,2096,0.384,1.5824,1.2398,2.2492,3.6785,0.0339,0.0615,0.1005
SSP1-2.6,baseline,1a,2097,0.388,1.6343,1.2804,2.3229,3.799,0.0352,0.0638,0.1043
SSP1-2.6,baseline,1a,2098,0.392,1.6878,1.3223,2.399,3.9234,0.0365,0.0662,0.1082
SSP1-2.6,baseline,1a,2099,0.396,1.743,1.3656,2.4775,4.0518,0.0378,0.0687,0.1123
SSP1-2.6,baseline,1a,2100,0.4,1.8,1.4102,2.5585,4.1843,0.0393,0.0712,0.1165
SSP1-2.6,baseline,1b,2025,0.035,0.0852,0.0668,0.1212,0.1981,0.0001,0.0001,0.0002
SSP1-2.6,baseline,1b,2026,0.042,0.0906,0.071,0.1288,0.2107,0.0001,0.0002,0.0004
SSP1-2.6,baseline,1b,2027,0.049,0.0964,0.0755,0.137,0.224,0.0002,0.0004,0.0006
SSP1-2.6,baseline,1b,2028,0.056,0.1025,0.0803,0.1456,0.2382,0.0003,0.0005,0.0009
SSP1-2.6,baseline,1b,2029,0.063,0.1089,0.0853,0.1548,0.2532,0.0004,0.0007,0.0011
SSP1-2.6,baseline,1b,2030,0.07,0.1157,0.0907,0.1645,0.2691,0.0005,0.0009,0.0014
SSP1-2.6,baseline,1b,2031,0.076,0.1219,0.0955,0.1733,0.2834,0.0006,0.001,0.0017
SSP1-2.6,baseline,1b,2032,0.082,0.1284,0.1006,0.1826,0.2986,0.0007,0.0012,0.002
SSP1-2.6,baseline,1b,2033,0.088,0.1353,0.106,0.1923,0.3144,0.0008,0.0014,0.0023
SSP1-2.6,baseline,1b,2034,0.094,0.1425,0.1116,0.2025,0.3311,0.0009,0.0016,0.0026
SSP1-2.6,baseline,1b,2035,0.1,0.15,0.1175,0.2132,0.3487,0.001,0.0018,0.003
SSP1-2.6,baseline,1b,2036,0.106,0.1579,0.1237,0.2245,0.3671,0.0011,0.002,0.0033
SSP1-2.6,baseline,1b,2037,0.112,0.1663,0.1303,0.2363,0.3865,0.0013,0.0023,0.0037
SSP1-2.6,baseline,1b,2038,0.118,0.175,0.1371,0.2488,0.4069,0.0014,0.0025,0.0041
SSP1-2.6,baseline,1b,2039,0.124,0.1842,0.1443,0.2619,0.4283,0.0015,0.0028,0.0046
SSP1-2.6,baseline,1b,2040,0.13,0.1939,0.1519,0.2756,0.4508,0.0017,0.0031,0.005
SSP1-2.6,baseline,1b,2041,0.137,0.2058,0.1612,0.2925,0.4784,0.0018,0.0034,0.0055
SSP1-2.6,baseline,1b,2042,0.144,0.2184,0.1711,0.3105,0.5077,0.002,0.0037,0.006
SSP1-2.6,baseline,1b,2043,0.151,0.2318,0.1816,0.3294,0.5388,0.0022,0.004,0.0065
SSP1-2.6,baseline,1b,2044,0.158,0.2459,0.1927,0.3495,0.5716,0.0024,0.0043,0.0071
SSP1-2.6,baseline,1b,2045,0.165,0.2609,0.2044,0.3708,0.6064,0.0026,0.0047,0.0077
SSP1-2.6,baseline,1b,2046,0.172,0.2767,0.2168,0.3933,0.6433,0.0028,0.0051,0.0084
SSP1-2.6,baseline,1b,2047,0.179,0.2935,0.23,0.4172,0.6823,0.003,0.0055,0.009
SSP1-2.6,baseline,1b,2048,0.186,0.3113,0.2439,0.4425,0.7236,0.0033,0.006,0.0098
SSP1-2.6,baseline,1b,2049,0.193,0.3301,0.2586,0.4692,0.7673,0.0035,0.0064,0.0105
SSP1-2.6,baseline,1b,2050,0.2,0.35,0.2742,0.4975,0.8136,0.0038,0.0069,0.0113
SSP1-2.6,baseline,1b,2051,0.204,0.3619,0.2835,0.5144,0.8413,0.0041,0.0074,0.0122
SSP1-2.6,baseline,1b,2052,0.208,0.3742,0.2932,0.5319,0.8698,0.0044,0.008,0.0131
SSP1-2.6,baseline,1b,2053,0.212,0.3869,0.3031,0.5499,0.8993,0.0047,0.0085,0.014
SSP1-2.6,baseline,1b,2054,0.216,0.4,0.3134,0.5685,0.9298,0.005,0.0091,0.0149
SSP1-2.6,baseline,1b,2055,0.22,0.4135,0.324,0.5878,0.9613,0.0053,0.0097,0.0158
SSP1-2.6,baseline,1b,2056,0.224,0.4275,0.3349,0.6077,0.9938,0.0057,0.0103,0.0168
SSP1-2.6,baseline,1b,2057,0.228,0.442,0.3463,0.6282,1.0274,0.006,0.0109,0.0179
SSP1-2.6,baseline,1b,2058,0.232,0.4569,0.358,0.6494,1.0621,0.0064,0.0116,0.0189
SSP1-2.6,baseline,1b,2059,0.236,0.4723,0.37,0.6713,1.0979,0.0067,0.0122,0.02
SSP1-2.6,baseline,1b,2060,0.24,0.4882,0.3825,0.694,1.1349,0.0071,0.0129,0.0212
SSP1-2.6,baseline,1b,2061,0.244,0.5047,0.3954,0.7173,1.1731,0.0075,0.0137,0.0223
SSP1-2.6,baseline,1b,2062,0.248,0.5216,0.4087,0.7414,1.2126,0.0079,0.0144,0.0235
SSP1-2.6,baseline,1b,2063,0.252,0.5392,0.4224,0.7664,1.2534,0.0084,0.0152,0.0248
SSP1-2.6,baseline,1b,2064,0.256,0.5573,0.4366,0.7921,1.2954,0.0088,0.016,0.0261
SSP1-2.6,baseline,1b,2065,0.26,0.576,0.4513,0.8187,1.3389,0.0092,0.0168,0.0274
SSP1-2.6,baseline,1b,2066,0.264,0.5953,0.4664,0.8461,1.3838,0.0097,0.0176,0.0288
SSP1-2.6,baseline,1b,2067,0.268,0.6152,0.482,0.8745,1.4302,0.0102,0.0185,0.0302
SSP1-2.6,baseline,1b,2068,0.272,0.6358,0.4981,0.9037,1.478,0.0107,0.0194,0.0317
SSP1-2.6,baseline,1b,2069,0.276,0.6571,0.5148,0.934,1.5274,0.0112,0.0203,0.0333
SSP1-2.6,baseline,1b,2070,0.28,0.679,0.532,0.9652,1.5785,0.0117,0.0213,0.0348
SSP1-2.6,baseline,1b,2071,0.284,0.7017,0.5498,0.9974,1.6312,0.0123,0.0223,0.0365
SSP1-2.6,baseline,1b,2072,0.288,0.7251,0.5681,1.0307,1.6856,0.0129,0.0233,0.0381
SSP1-2.6,baseline,1b,2073,0.292,0.7493,0.587,1.065,1.7418,0.0134,0.0244,0.0399
SSP1-2.6,baseline,1b,2074,0.296,0.7742,0.6066,1.1005,1.7998,0.0141,0.0255,0.0417
SSP1-2.6,baseline,1b,2075,0.3,0.8,0.6268,1.1371,1.8597,0.0147,0.0266,0.0435
SSP1-2.6,baseline,1b,2076,0.304,0.8266,0.6476,1.1749,1.9215,0.0153,0.0278,0.0455
SSP1-2.6,baseline,1b,2077,0.308,0.8541,0.6691,1.214,1.9854,0.016,0.029,0.0475
SSP1-2.6,baseline,1b,2078,0.312,0.8824,0.6913,1.2543,2.0513,0.0167,0.0303,0.0495
SSP1-2.6,baseline,1b,2079,0.316,0.9117,0.7143,1.2959,2.1194,0.0174,0.0316,0.0516
SSP1-2.6,baseline,1b,2080,0.32,0.9419,0.738,1.3389,2.1896,0.0181,0.0329,0.0538
SSP1-2.6,baseline,1b,2081,0.324,0.9731,0.7624,1.3832,2.2622,0.0189,0.0343,0.0561
SSP1-2.6,baseline,1b,2082,0.328,1.0054,0.7877,1.429,2.3371,0.0197,0.0357,0.0584
SSP1-2.6,baseline,1b,2083,0.332,1.0386,0.8137,1.4763,2.4144,0.0205,0.0372,0.0608
SSP1-2.6,baseline,1b,2084,0.336,1.0729,0.8406,1.5251,2.4942,0.0213,0.0387,0.0633
SSP1-2.6,baseline,1b,2085,0.34,1.1084,0.8684,1.5755,2.5766,0.0222,0.0403,0.0659
SSP1-2.6,baseline,1b,2086,0.344,1.145,0.897,1.6275,2.6616,0.0231,0.0419,0.0686
SSP1-2.6,baseline,1b,2087,0.348,1.1827,0.9266,1.6811,2.7494,0.024,0.0436,0.0713
SSP1-2.6,baseline,1b,2088,0.352,1.2217,0.9572,1.7366,2.8401,0.025,0.0453,0.0742
SSP1-2.6,baseline,1b,2089,0.356,1.262,0.9887,1.7938,2.9336,0.026,0.0471,0.0771
SSP1-2.6,baseline,1b,2090,0.36,1.3035,1.0213,1.8528,3.0302,0.027,0.049,0.0801
SSP1-2.6,baseline,1b,2091,0.364,1.3464,1.0549,1.9138,3.1299,0.0281,0.0509,0.0832
SSP1-2.6,baseline,1b,2092,0.368,1.3907,1.0895,1.9767,3.2327,0.0291,0.0529,0.0865
SSP1-2.6,baseline,1b,2093,0.372,1.4363,1.1253,2.0416,3.3389,0.0303,0.0549,0.0898
SSP1-2.6,baseline,1b,2094,0.376,1.4835,1.1623,2.1086,3.4486,0.0314,0.057,0.0933
SSP1-2.6,baseline,1b,2095,0.38,1.5322,1.2004,2.1778,3.5617,0.0326,0.0592,0.0968
SSP1-2.6,baseline,1b,2096,0.384,1.5824,1.2398,2.2492,3.6785,0.0339,0.0615,0.1005
SSP1-2.6,baseline,1b,2097,0.388,1.6343,1.2804,2.3229,3.799,0.0352,0.0638,0.1043
SSP1-2.6,baseline,1b,2098,0.392,1.6878,1.3223,2.399,3.9234,0.0365,0.0662,0.1082
SSP1-2.6,baseline,1b,2099,0.396,1.743,1.3656,2.4775,4.0518,0.0378,0.0687,0.1123
SSP1-2.6,baseline,1b,2100,0.4,1.8,1.4102,2.5585,4.1843,0.0393,0.0712,0.1165
SSP1-2.6,baseline,2,2025,0.035,0.0947,0.0742,0.1346,0.2202,0.0001,0.0001,0.0002
SSP1-2.6,baseline,2,2026,0.042,0.1007,0.0789,0.1432,0.2341,0.0002,0.0003,0.0005
SSP1-2.6,baseline,2,2027,0.049,0.1071,0.0839,0.1522,0.2489,0.0002,0.0004,0.0007
SSP1-2.6,baseline,2,2028,0.056,0.1138,0.0892,0.1618,0.2646,0.0003,0.0006,0.001
SSP1-2.6,baseline,2,2029,0.063,0.121,0.0948,0.172,0.2813,0.0004,0.0008,0.0012
SSP1-2.6,baseline,2,2030,0.07,0.1286,0.1008,0.1828,0.299,0.0005,0.0009,0.0015
SSP1-2.6,baseline,2,2031,0.076,0.1355,0.1061,0.1926,0.3149,0.0006,0.0011,0.0019
SSP1-2.6,baseline,2,2032,0.082,0.1427,0.1118,0.2028,0.3317,0.0007,0.0013,0.0022
SSP1-2.6,baseline,2,2033,0.088,0.1503,0.1178,0.2136,0.3494,0.0009,0.0016,0.0025
SSP1-2.6,baseline,2,2034,0.094,0.1583,0.124,0.225,0.3679,0.001,0.0018,0.0029
SSP1-2.6,baseline,2,2035,0.1,0.1667,0.1306,0.2369,0.3874,0.0011,0.002,0.0033
SSP1-2.6,baseline,2,2036,0.106,0.1755,0.1375,0.2494,0.4079,0.0012,0.0023,0.0037
SSP1-2.6,baseline,2,2037,0.112,0.1847,0.1447,0.2626,0.4295,0.0014,0.0025,0.0041
SSP1-2.6,baseline,2,2038,0.118,0.1945,0.1524,0.2764,0.4521,0.0015,0.0028,0.0046
SSP1-2.6,baseline,2,2039,0.124,0.2047,0.1604,0.291,0.4759,0.0017,0.0031,0.0051
SSP1-2.6,baseline,2,2040,0.13,0.2155,0.1688,0.3062,0.5008,0.0019,0.0034,0.0056
SSP1-2.6,baseline,2,2041,0.137,0.2287,0.1792,0.325,0.5316,0.0021,0.0037,0.0061
SSP1-2.6,baseline,2,2042,0.144,0.2427,0.1901,0.3449,0.5641,0.0022,0.0041,0.0067
