scenario,variant,year,slr_m,rp_effective_yr,closure_days_yr
SSP1-2.6,baseline,2030,0.07,12.31,0.231
SSP1-2.6,baseline,2050,0.2,5.0,0.7
SSP1-2.6,baseline,2075,0.3,2.5,1.6
SSP1-2.6,baseline,2100,0.4,1.25,3.6
SSP1-2.6,+geoid,2030,0.22,4.35,0.827
SSP1-2.6,+geoid,2050,0.35,1.77,2.404
SSP1-2.6,+geoid,2075,0.45,0.88,5.374
SSP1-2.6,+geoid,2100,0.55,0.44,11.879
SSP2-4.5,baseline,2030,0.1,10.0,0.3
SSP2-4.5,baseline,2050,0.3,2.5,1.6
SSP2-4.5,baseline,2075,0.45,0.88,5.374
SSP2-4.5,baseline,2100,0.6,0.31,17.6
SSP2-4.5,+geoid,2030,0.25,3.54,1.061
SSP2-4.5,+geoid,2050,0.45,0.88,5.374
SSP2-4.5,+geoid,2075,0.6,0.31,17.6
SSP2-4.5,+geoid,2100,0.75,0.11,56.569
SSP5-8.5,baseline,2030,0.13,8.12,0.388
SSP5-8.5,baseline,2050,0.4,1.25,3.6
SSP5-8.5,baseline,2075,0.7,0.16,38.4
SSP5-8.5,baseline,2100,1.0,0.02,365.0
SSP5-8.5,+geoid,2030,0.28,2.87,1.358
SSP5-8.5,+geoid,2050,0.55,0.44,11.879
SSP5-8.5,+geoid,2075,0.85,0.06,122.188
SSP5-8.5,+geoid,2100,1.15,0.01,365.0
