scenario,variant,option,option_name,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP1-2.6,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2050,0.0002,0.0001,0.0001,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2075,0.0009,0.0005,0.0005,>2100,>2100,>2100
SSP1-2.6,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2100,0.0025,0.0012,0.0012,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2050,0.0002,0.0001,0.0001,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2075,0.0009,0.0005,0.0005,>2100,>2100,>2100
SSP1-2.6,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2100,0.0025,0.0012,0.0012,>2100,>2100,>2100
SSP1-2.6,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP1-2.6,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2050,0.0002,0.0001,0.0001,>2100,>2100,>2100
SSP1-2.6,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2075,0.0009,0.0005,0.0004,>2100,>2100,>2100
SSP1-2.6,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2100,0.0025,0.0014,0.0011,>2100,>2100,>2100
SSP1-2.6,baseline,3,Service resilience protocol,0.7,1.3,2030,0.0,0.0,0.0,2086,2095,>2100
SSP1-2.6,baseline,3,Service resilience protocol,0.7,1.3,2050,0.0002,0.0001,0.0001,2086,2095,>2100
SSP1-2.6,baseline,3,Service resilience protocol,0.7,1.3,2075,0.0009,0.0005,0.0005,2086,2095,>2100
SSP1-2.6,baseline,3,Service resilience protocol,0.7,1.3,2100,0.0025,0.0012,0.0012,2086,2095,>2100
SSP1-2.6,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2030,0.0001,0.0001,0.0001,>2100,>2100,>2100
SSP1-2.6,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2050,0.0008,0.0004,0.0004,>2100,>2100,>2100
