scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,1a,2025,0.035,0.1023,0.0011,0.0021,0.005,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2026,0.042,0.1088,0.0012,0.0022,0.0053,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2027,0.049,0.1157,0.0013,0.0024,0.0056,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2028,0.056,0.123,0.0013,0.0025,0.006,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2029,0.063,0.1307,0.0014,0.0027,0.0064,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2030,0.07,0.1389,0.0015,0.0028,0.0068,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2031,0.076,0.1463,0.0016,0.003,0.0071,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2032,0.082,0.1541,0.0017,0.0032,0.0075,0.0,0.0,0.0
SSP1-2.6,baseline,1a,2033,0.088,0.1623,0.0018,0.0033,0.0079,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2034,0.094,0.1709,0.0019,0.0035,0.0083,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2035,0.1,0.18,0.002,0.0037,0.0088,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2036,0.106,0.1895,0.0021,0.0039,0.0093,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2037,0.112,0.1995,0.0022,0.0041,0.0097,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2038,0.118,0.21,0.0023,0.0043,0.0103,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2039,0.124,0.2211,0.0024,0.0045,0.0108,0.0,0.0,0.0001
SSP1-2.6,baseline,1a,2040,0.13,0.2327,0.0025,0.0048,0.0114,0.0,0.0001,0.0001
SSP1-2.6,baseline,1a,2041,0.137,0.247,0.0027,0.0051,0.0121,0.0,0.0001,0.0001
SSP1-2.6,baseline,1a,2042,0.144,0.2621,0.0028,0.0054,0.0128,0.0,0.0001,0.0002
SSP1-2.6,baseline,1a,2043,0.151,0.2781,0.003,0.0057,0.0136,0.0,0.0001,0.0002
SSP1-2.6,baseline,1a,2044,0.158,0.2951,0.0032,0.006,0.0144,0.0,0.0001,0.0002
SSP1-2.6,baseline,1a,2045,0.165,0.313,0.0034,0.0064,0.0153,0.0,0.0001,0.0002
SSP1-2.6,baseline,1a,2046,0.172,0.3321,0.0036,0.0068,0.0162,0.0,0.0001,0.0002
