scenario,variant,year,slr_m,rp_effective_yr,closure_days_yr
SSP1-2.6,baseline,2030,0.07,12.31,0.278
SSP1-2.6,baseline,2050,0.2,5.0,0.84
SSP1-2.6,baseline,2075,0.3,2.5,1.92
SSP1-2.6,baseline,2100,0.4,1.25,4.32
SSP1-2.6,+geoid,2030,0.22,4.35,0.992
SSP1-2.6,+geoid,2050,0.35,1.77,2.885
SSP1-2.6,+geoid,2075,0.45,0.88,6.449
SSP1-2.6,+geoid,2100,0.55,0.44,14.255
SSP2-4.5,baseline,2030,0.1,10.0,0.36
SSP2-4.5,baseline,2050,0.3,2.5,1.92
SSP2-4.5,baseline,2075,0.45,0.88,6.449
SSP2-4.5,baseline,2100,0.6,0.31,21.12
SSP2-4.5,+geoid,2030,0.25,3.54,1.273
SSP2-4.5,+geoid,2050,0.45,0.88,6.449
SSP2-4.5,+geoid,2075,0.6,0.31,21.12
SSP2-4.5,+geoid,2100,0.75,0.11,67.882
SSP5-8.5,baseline,2030,0.13,8.12,0.465
SSP5-8.5,baseline,2050,0.4,1.25,4.32
SSP5-8.5,baseline,2075,0.7,0.16,46.08
SSP5-8.5,baseline,2100,1.0,0.02,365.0
SSP5-8.5,+geoid,2030,0.28,2.87,1.63
SSP5-8.5,+geoid,2050,0.55,0.44,14.255
SSP5-8.5,+geoid,2075,0.85,0.06,146.626
SSP5-8.5,+geoid,2100,1.15,0.01,365.0
