idx,lat,lon,elev_m,below_threshold,flood_zone,zone_notes
0,37.024119,-7.944668,3.473,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
1,37.023757,-7.944334,3.008,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
2,37.023394,-7.944001,3.397,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
3,37.023033,-7.943665,4.322,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
4,37.022669,-7.943335,4.635,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
5,37.022303,-7.943008,5.09,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
6,37.021915,-7.942724,6.519,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
7,37.021521,-7.942452,7.3,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
8,37.021128,-7.942177,6.784,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
9,37.020751,-7.941872,6.147,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
10,37.020386,-7.941543,5.765,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
11,37.020023,-7.941211,5.341,False,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
12,37.01966,-7.940879,4.138,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
13,37.019297,-7.940546,3.62,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
14,37.018934,-7.940213,3.348,True,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
