lat,lon,elev_m,flood_zone,zone_notes
37.015467,-7.937635,2.341,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.011175,-7.93166,2.498,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.015062,-7.93739,2.551,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.01385,-7.936649,2.672,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.013444,-7.936407,2.818,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.014253,-7.936898,2.902,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.014656,-7.937146,2.936,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.013038,-7.936163,2.966,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.015872,-7.937879,2.972,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.023757,-7.944334,3.008,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.016276,-7.938125,3.009,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.01136,-7.931148,3.014,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.011065,-7.932206,3.11,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.02335,-7.899924,3.308,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.018934,-7.940213,3.348,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.023394,-7.944001,3.397,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.024119,-7.944668,3.473,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.01668,-7.938372,3.5,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.026982,-7.870665,3.511,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.026588,-7.864489,3.583,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.026552,-7.863928,3.583,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.02345,-7.899375,3.586,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.018572,-7.939879,3.587,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
37.023247,-7.900473,3.594,Faro–Ria Formosa Crossing,"Rail embankment across Ria Formosa backbarrier lagoon; low-lying marsh, tidal influence, storm surge pathway"
