scenario,variant,option,option_name,option_type,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP1-2.6,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP1-2.6,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.0002,0.0,0.0002,>2100,>2100,>2100
SSP1-2.6,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0006,0.0,0.0006,>2100,>2100,>2100
SSP1-2.6,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0017,0.0,0.0017,>2100,>2100,>2100
SSP1-2.6,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP1-2.6,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.0002,0.0,0.0002,>2100,>2100,>2100
SSP1-2.6,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0006,0.0,0.0006,>2100,>2100,>2100
SSP1-2.6,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0017,0.0,0.0017,>2100,>2100,>2100
SSP1-2.6,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0,0.0,0.0,TBD,TBD,TBD
SSP1-2.6,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.0002,0.0,0.0002,TBD,TBD,TBD
SSP1-2.6,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0006,0.0,0.0006,TBD,TBD,TBD
SSP1-2.6,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0017,0.0,0.0017,TBD,TBD,TBD
SSP1-2.6,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0001,0.0,0.0001,>2100,>2100,>2100
SSP1-2.6,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.0006,0.0,0.0006,>2100,>2100,>2100
SSP1-2.6,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0022,0.0,0.0022,>2100,>2100,>2100
SSP1-2.6,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0058,0.0,0.0058,>2100,>2100,>2100
SSP1-2.6,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0001,0.0,0.0001,>2100,>2100,>2100
SSP1-2.6,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.0006,0.0,0.0006,>2100,>2100,>2100
SSP1-2.6,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0022,0.0,0.0022,>2100,>2100,>2100
SSP1-2.6,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0058,0.0,0.0058,>2100,>2100,>2100
SSP1-2.6,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0001,0.0,0.0001,TBD,TBD,TBD
SSP1-2.6,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.0006,0.0,0.0006,TBD,TBD,TBD
SSP1-2.6,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0022,0.0,0.0022,TBD,TBD,TBD
SSP1-2.6,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0058,0.0,0.0058,TBD,TBD,TBD
SSP2-4.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP2-4.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.0003,0.0,0.0003,>2100,>2100,>2100
SSP2-4.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0017,0.0,0.0017,>2100,>2100,>2100
SSP2-4.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0062,0.0,0.0062,>2100,>2100,>2100
SSP2-4.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0,0.0,0.0,>2100,>2100,>2100
SSP2-4.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.0003,0.0,0.0003,>2100,>2100,>2100
SSP2-4.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0017,0.0,0.0017,>2100,>2100,>2100
SSP2-4.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0062,0.0,0.0062,>2100,>2100,>2100
SSP2-4.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0,0.0,0.0,TBD,TBD,TBD
SSP2-4.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.0003,0.0,0.0003,TBD,TBD,TBD
SSP2-4.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0017,0.0,0.0017,TBD,TBD,TBD
SSP2-4.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0062,0.0,0.0062,TBD,TBD,TBD
SSP2-4.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0001,0.0,0.0001,2084,2089,2093
SSP2-4.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.001,0.0,0.001,2084,2089,2093
SSP2-4.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0056,0.0,0.0056,2084,2089,2093
SSP2-4.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0203,0.0,0.0203,2084,2089,2093
SSP2-4.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0001,0.0,0.0001,2098,>2100,>2100
SSP2-4.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.001,0.0,0.001,2098,>2100,>2100
SSP2-4.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0056,0.0,0.0056,2098,>2100,>2100
SSP2-4.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0203,0.0,0.0203,2098,>2100,>2100
SSP2-4.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0001,0.0,0.0001,TBD,TBD,TBD
SSP2-4.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.001,0.0,0.001,TBD,TBD,TBD
SSP2-4.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0056,0.0,0.0056,TBD,TBD,TBD
SSP2-4.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0203,0.0,0.0203,TBD,TBD,TBD
SSP5-8.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0,0.0,0.0,2078,2080,2083
SSP5-8.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.0006,0.0,0.0006,2078,2080,2083
SSP5-8.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0072,0.0,0.0072,2078,2080,2083
SSP5-8.5,baseline,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0559,0.0,0.0558,2078,2080,2083
SSP5-8.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0,0.0,0.0,2085,2088,2091
SSP5-8.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.0006,0.0,0.0006,2085,2088,2091
SSP5-8.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0072,0.0,0.0072,2085,2088,2091
SSP5-8.5,baseline,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0559,0.0,0.0558,2085,2088,2091
SSP5-8.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0,0.0,0.0,TBD,TBD,TBD
SSP5-8.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.0006,0.0,0.0006,TBD,TBD,TBD
SSP5-8.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0072,0.0,0.0072,TBD,TBD,TBD
SSP5-8.5,baseline,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0559,0.0,0.0558,TBD,TBD,TBD
SSP5-8.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2030,0.0001,0.0,0.0001,2065,2068,2070
SSP5-8.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2050,0.0019,0.0,0.0019,2065,2068,2070
SSP5-8.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2075,0.0233,0.0,0.0233,2065,2068,2070
SSP5-8.5,+geoid,A,Managed retreat — permanent bus replacement (NPV 2025-2100),retreat,8.9,14.2,2100,0.0883,0.0,0.0883,2065,2068,2070
SSP5-8.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2030,0.0001,0.0,0.0001,2073,2076,2078
SSP5-8.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2050,0.0019,0.0,0.0019,2073,2076,2078
SSP5-8.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2075,0.0233,0.0,0.0233,2073,2076,2078
SSP5-8.5,+geoid,B,Short viaduct on current alignment (~1.5 km),structural,18.0,30.0,2100,0.0883,0.0,0.0883,2073,2076,2078
SSP5-8.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2030,0.0001,0.0,0.0001,TBD,TBD,TBD
SSP5-8.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2050,0.0019,0.0,0.0019,TBD,TBD,TBD
SSP5-8.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2075,0.0233,0.0,0.0233,TBD,TBD,TBD
SSP5-8.5,+geoid,C,Short realignment to higher ground (terrain check pending),structural,,,2100,0.0883,0.0,0.0883,TBD,TBD,TBD
