scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,A,2025,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2026,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2027,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2028,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2029,0.063,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2030,0.07,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2031,0.076,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2032,0.082,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2033,0.088,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2034,0.094,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2035,0.1,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2036,0.106,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2037,0.112,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2038,0.118,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2039,0.124,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2040,0.13,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2041,0.137,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2042,0.144,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2043,0.151,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2044,0.158,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2045,0.165,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2046,0.172,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2047,0.179,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2048,0.186,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2049,0.193,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2050,0.2,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,A,2051,0.204,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
