scenario,variant,year,slr_m,rp_effective_yr,closure_days_yr
SSP1-2.6,baseline,2030,0.07,6.16,0.556
SSP1-2.6,baseline,2050,0.2,2.5,1.68
SSP1-2.6,baseline,2075,0.3,1.25,3.84
SSP1-2.6,baseline,2100,0.4,0.62,8.64
SSP1-2.6,+geoid,2030,0.22,2.18,1.985
SSP1-2.6,+geoid,2050,0.35,0.88,5.77
SSP1-2.6,+geoid,2075,0.45,0.44,12.898
SSP1-2.6,+geoid,2100,0.55,0.22,28.511
SSP2-4.5,baseline,2030,0.1,5.0,0.72
SSP2-4.5,baseline,2050,0.3,1.25,3.84
SSP2-4.5,baseline,2075,0.45,0.44,12.898
SSP2-4.5,baseline,2100,0.6,0.16,42.24
SSP2-4.5,+geoid,2030,0.25,1.77,2.546
SSP2-4.5,+geoid,2050,0.45,0.44,12.898
SSP2-4.5,+geoid,2075,0.6,0.16,42.24
SSP2-4.5,+geoid,2100,0.75,0.06,135.765
SSP5-8.5,baseline,2030,0.13,4.06,0.931
SSP5-8.5,baseline,2050,0.4,0.62,8.64
SSP5-8.5,baseline,2075,0.7,0.08,92.16
SSP5-8.5,baseline,2100,1.0,0.01,365.0
SSP5-8.5,+geoid,2030,0.28,1.44,3.259
SSP5-8.5,+geoid,2050,0.55,0.22,28.511
SSP5-8.5,+geoid,2075,0.85,0.03,293.251
SSP5-8.5,+geoid,2100,1.15,0.0,365.0
