idx,lat,lon,elev_m,below_threshold,flood_zone,zone_notes
0,37.148846,-8.559071,42.707,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
1,37.148471,-8.558759,42.278,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
2,37.148112,-8.558424,41.234,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
3,37.147805,-8.558012,40.459,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
4,37.147511,-8.557585,39.909,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
5,37.147282,-8.557104,37.054,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
6,37.147101,-8.556589,34.558,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
7,37.146964,-8.556051,31.771,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
8,37.146905,-8.555493,28.944,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
9,37.146881,-8.554931,27.132,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
10,37.146898,-8.554368,26.063,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
11,37.146901,-8.553804,24.589,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
12,37.14689,-8.55324,23.355,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
13,37.146842,-8.55268,22.662,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
14,37.146756,-8.552127,23.046,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
15,37.146621,-8.551589,25.056,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
16,37.146455,-8.551065,25.789,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
17,37.146288,-8.550541,24.763,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
18,37.146128,-8.550014,22.669,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
19,37.14599,-8.549478,22.111,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
20,37.145905,-8.548924,22.396,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
21,37.145855,-8.548364,21.836,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
22,37.145828,-8.547801,19.224,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
23,37.1458,-8.547238,16.65,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
24,37.145772,-8.546675,15.518,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
25,37.145745,-8.546112,15.274,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
26,37.145717,-8.545549,15.007,False,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
