lat,lon,elev_m,flood_zone,zone_notes
37.137619,-8.523111,0.585,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.142068,-8.530289,0.62,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.137749,-8.522572,0.876,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143867,-8.533398,1.287,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.1379,-8.522041,1.391,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.137554,-8.523669,1.469,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143751,-8.532853,1.596,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138217,-8.520985,2.07,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138061,-8.521514,2.099,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143974,-8.533945,2.151,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.142413,-8.530651,2.211,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143592,-8.532326,2.421,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.142757,-8.531015,2.457,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143084,-8.531402,2.685,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.144082,-8.534493,2.764,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.143369,-8.531837,2.769,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138372,-8.520455,2.78,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.137565,-8.524232,2.799,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.144189,-8.535041,3.095,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.144297,-8.535589,3.39,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138526,-8.519926,3.791,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.137652,-8.524784,3.859,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138681,-8.519396,4.154,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138662,-8.526607,4.24,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.144405,-8.536136,4.241,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138835,-8.518866,4.289,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.138988,-8.518336,4.524,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.137813,-8.52531,4.729,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.14462,-8.537232,4.789,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
37.144513,-8.536684,4.903,Arade Estuary Bridge Crossing,Rail bridge over tidal Arade estuary; mesotidal range 2-3 m; storm surge and compound flood exposure
