section,section_type,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,barrier_breached,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,cumulative_cost_mid_eur,cumulative_cost_low_eur,cumulative_cost_high_eur
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2025,0.035,2.3538,2.273,False,2727560.0,1363780.0,4773230.0,2727560.0,1363780.0,4773230.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2026,0.042,2.2423,2.417,False,2900627.0,1450313.0,5076097.0,5628187.0,2814093.0,9849327.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2027,0.049,2.1361,2.57,False,3084161.0,1542080.0,5397282.0,8712348.0,4356174.0,15246608.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2028,0.056,2.0349,2.732,False,3278775.0,1639387.0,5737856.0,11991122.0,5995561.0,20984464.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2029,0.063,1.9385,2.904,False,3485116.0,1742558.0,6098954.0,15476239.0,7738119.0,27083418.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2030,0.07,1.8467,3.087,False,3703871.0,1851935.0,6481774.0,19180110.0,9590055.0,33565192.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2031,0.0765,1.7654,3.266,False,3918747.0,1959374.0,6857808.0,23098857.0,11549428.0,40423000.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2032,0.083,1.6876,3.455,False,4145562.0,2072781.0,7254734.0,27244419.0,13622210.0,47677733.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2033,0.0895,1.6132,3.654,False,4384960.0,2192480.0,7673680.0,31629379.0,15814690.0,55351414.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2034,0.096,1.5422,3.865,False,4637619.0,2318809.0,8115833.0,36266998.0,18133499.0,63467247.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2035,0.1025,1.4742,4.087,False,4904252.0,2452126.0,8582441.0,41171250.0,20585625.0,72049688.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2036,0.109,1.4093,4.321,False,5185612.0,2592806.0,9074820.0,46356862.0,23178431.0,81124508.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2037,0.1155,1.3472,4.569,False,5482488.0,2741244.0,9594354.0,51839350.0,25919675.0,90718862.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2038,0.122,1.2878,4.83,False,5795714.0,2897857.0,10142500.0,57635064.0,28817532.0,100861362.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2039,0.1285,1.2311,5.105,False,6126167.0,3063083.0,10720792.0,63761231.0,31880615.0,111582154.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2040,0.135,1.1769,5.396,False,6474768.0,3237384.0,11330844.0,70235999.0,35117999.0,122912998.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2041,0.1415,1.125,5.702,False,6842489.0,3421244.0,11974355.0,77078488.0,38539244.0,134887353.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2042,0.148,1.0755,6.025,False,7230351.0,3615176.0,12653115.0,84308839.0,42154419.0,147540468.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2043,0.1545,1.0281,6.366,False,7639431.0,3819715.0,13369003.0,91948269.0,45974135.0,160909471.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2044,0.161,0.9828,6.726,False,8070859.0,4035429.0,14124003.0,100019128.0,50009564.0,175033474.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2045,0.1675,0.9395,7.105,False,8525827.0,4262913.0,14920197.0,108544955.0,54272477.0,189953671.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2046,0.174,0.8981,7.505,False,9005588.0,4502794.0,15759779.0,117550543.0,58775271.0,205713450.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2047,0.1805,0.8585,7.926,False,9511462.0,4755731.0,16645058.0,127062005.0,63531002.0,222358508.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2048,0.187,0.8207,8.371,False,10044835.0,5022418.0,17578462.0,137106840.0,68553420.0,239936970.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2049,0.1935,0.7846,8.839,False,10607169.0,5303585.0,18562546.0,147714009.0,73857005.0,258499516.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2050,0.2,0.75,9.333,False,11200000.0,5600000.0,19600000.0,158914009.0,79457005.0,278099516.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2051,0.204,0.7295,9.651,False,11580674.0,5790337.0,20266180.0,170494683.0,85247342.0,298365696.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2052,0.208,0.7095,9.978,False,11973900.0,5986950.0,20954326.0,182468584.0,91234292.0,319320021.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2053,0.212,0.6901,10.317,False,12380084.0,6190042.0,21665146.0,194848667.0,97424334.0,340985168.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2054,0.216,0.6713,10.666,False,12799641.0,6399821.0,22399373.0,207648309.0,103824154.0,363384540.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2055,0.22,0.6529,11.028,False,13233005.0,6616503.0,23157759.0,220881314.0,110440657.0,386542299.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2056,0.224,0.6351,11.401,False,13680619.0,6840309.0,23941083.0,234561933.0,117280966.0,410483382.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2057,0.228,0.6177,11.786,False,14142942.0,7071471.0,24750149.0,248704875.0,124352437.0,435233531.0
Ria de Aveiro — Cacia–Estarreja (km 265–275),railway,SSP1-2.6,Baseline,2058,0.232,0.6008,12.184,False,14620447.0,7310224.0,25585783.0,263325322.0,131662661.0,460819314.0
