nuts3,risk_tier,cluster_id,flooded_pixels,gdp_at_risk_bn,fraction_flooded,infra_value_bn,gdp_total_bn
Algarve,High Risk,0,61670,0.112385676,0.00937784,5.451180272,11.984171
Península de Setúbal,High Risk,0,32340,0.195595417,0.01484431,5.717242419,13.176454
Região de Aveiro,High Risk,0,80800,0.300713251,0.03460054,7.439722278,8.691
Região de Leiria,Low Risk,3,23,4.4705e-05,6.89e-06,0.000677678,6.490351
Alentejo Litoral,Moderate Risk,1,44294,0.019667919,0.00627619,0.293645102,3.133737
Alto Minho,Moderate Risk,1,5921,0.007881781,0.00189849,0.078506012,4.15161
Cávado,Moderate Risk,1,1440,0.006953213,0.00082561,0.106071288,8.421876
Lezíria do Tejo,Moderate Risk,1,56592,0.044859677,0.00980772,0.500232194,4.573917
Oeste,Moderate Risk,1,5422,0.011718039,0.0018053,0.239632718,6.490912
Região de Coimbra,Moderate Risk,1,30535,0.046914888,0.00513634,0.899690771,9.133907
Área Metropolitana do Porto,Moderate Risk,1,2790,0.039079504,0.0009841,0.822052481,39.710799
Grande Lisboa,Priority Risk,2,110821,4.47784927,0.05928857,65.305145547,75.526356
