idx,lat,lon,elev_m,below_threshold
0,40.172615,-8.712487,16.21,False
1,40.172723,-8.712229,15.079,False
2,40.173629,-8.71207,5.537,False
3,40.173447,-8.712242,6.335,False
4,40.173264,-8.712413,8.1,False
5,40.173081,-8.712585,10.452,False
6,40.172899,-8.712756,13.162,False
7,40.172716,-8.712928,14.506,False
8,40.172567,-8.713132,14.828,False
9,40.172496,-8.713411,13.134,False
10,40.172425,-8.71369,10.607,False
11,40.172366,-8.713974,8.009,False
12,40.172313,-8.71426,6.008,False
13,40.172259,-8.714545,4.732,True
14,40.172212,-8.714833,4.125,True
15,40.172171,-8.715122,3.636,True
16,40.172131,-8.715412,3.303,True
17,40.172099,-8.715703,3.293,True
18,40.172073,-8.715995,3.34,True
19,40.172046,-8.716287,3.339,True
20,40.17202,-8.71658,3.341,True
21,40.171994,-8.716872,3.327,True
22,40.171967,-8.717164,3.289,True
23,40.171941,-8.717456,3.21,True
24,40.171915,-8.717748,3.034,True
25,40.171888,-8.718041,2.607,True
26,40.171862,-8.718333,2.351,True
27,40.171836,-8.718625,2.232,True
28,40.17181,-8.718917,2.076,True
29,40.171775,-8.719208,1.956,True
30,40.171731,-8.719496,1.958,True
31,40.171687,-8.719785,1.988,True
32,40.171637,-8.720071,2.146,True
33,40.171575,-8.720354,2.386,True
34,40.171513,-8.720637,2.624,True
35,40.171447,-8.720918,2.836,True
36,40.171365,-8.721192,3.037,True
37,40.171283,-8.721466,3.122,True
38,40.171192,-8.721735,2.948,True
39,40.171094,-8.722,2.579,True
40,40.170993,-8.722262,2.094,True
41,40.170883,-8.722519,1.779,True
42,40.170774,-8.722776,1.67,True
43,40.170659,-8.723029,1.849,True
44,40.170532,-8.723272,2.07,True
45,40.170404,-8.723513,2.297,True
46,40.170265,-8.723745,2.408,True
47,40.170126,-8.723976,2.404,True
48,40.169982,-8.724202,2.255,True
49,40.169828,-8.724417,2.13,True
50,40.169675,-8.724632,2.033,True
51,40.169518,-8.724842,2.018,True
52,40.169353,-8.725042,2.0,True
53,40.169185,-8.725237,2.066,True
54,40.16901,-8.725422,2.185,True
55,40.168835,-8.725607,2.31,True
56,40.16866,-8.725792,2.407,True
57,40.168485,-8.725977,2.427,True
58,40.168311,-8.726162,2.362,True
59,40.168136,-8.726347,2.319,True
60,40.167961,-8.726532,2.329,True
61,40.167786,-8.726717,2.459,True
62,40.167611,-8.726902,2.626,True
63,40.167437,-8.727087,2.714,True
64,40.167262,-8.727272,2.679,True
65,40.167087,-8.727457,2.499,True
66,40.166912,-8.727642,2.272,True
67,40.166737,-8.727827,2.115,True
68,40.166563,-8.728012,2.037,True
69,40.166388,-8.728197,2.004,True
70,40.166213,-8.728382,1.976,True
71,40.166038,-8.728567,1.948,True
72,40.165863,-8.728752,1.992,True
73,40.165688,-8.728937,2.053,True
74,40.165514,-8.729122,2.172,True
75,40.165339,-8.729307,2.347,True
76,40.165164,-8.729492,2.536,True
77,40.164989,-8.729677,2.761,True
78,40.164814,-8.729862,2.832,True
79,40.16464,-8.730047,2.854,True
80,40.164465,-8.730232,2.86,True
81,40.16429,-8.730417,2.868,True
82,40.164115,-8.730602,2.895,True
83,40.16394,-8.730787,2.87,True
