lat,lon,elev_m
40.170696,-8.7227,1.629
40.170774,-8.722776,1.67
40.170582,-8.722954,1.754
40.170805,-8.722443,1.769
40.170883,-8.722519,1.779
40.170659,-8.723029,1.849
40.158871,-8.736152,1.93
40.159046,-8.735967,1.943
40.170457,-8.723198,1.946
40.166038,-8.728567,1.948
40.171775,-8.719208,1.956
40.171731,-8.719496,1.958
40.166213,-8.728382,1.976
40.169436,-8.724759,1.979
40.169595,-8.724552,1.982
40.171687,-8.719785,1.988
40.165863,-8.728752,1.992
40.169353,-8.725042,2.0
40.166388,-8.728197,2.004
40.165959,-8.728489,2.011
40.169518,-8.724842,2.018
40.15922,-8.735782,2.019
40.166134,-8.728304,2.029
40.169272,-8.72496,2.03
40.169675,-8.724632,2.033
40.166563,-8.728012,2.037
40.165784,-8.728674,2.039
40.169751,-8.72434,2.047
40.165688,-8.728937,2.053
40.166309,-8.728119,2.057
40.169185,-8.725237,2.066
40.170532,-8.723272,2.07
40.17181,-8.718917,2.076
40.170914,-8.722186,2.078
40.166484,-8.727934,2.087
40.170993,-8.722262,2.094
40.158965,-8.735887,2.095
40.15914,-8.735702,2.107
40.166737,-8.727827,2.115
40.165609,-8.728859,2.123
40.169106,-8.72516,2.127
40.158696,-8.736337,2.129
40.169828,-8.724417,2.13
40.17033,-8.723441,2.13
40.171637,-8.720071,2.146
40.166659,-8.727749,2.152
40.15879,-8.736072,2.155
40.169907,-8.724128,2.156
40.159395,-8.735597,2.168
40.165514,-8.729122,2.172
40.16901,-8.725422,2.185
40.157399,-8.737494,2.201
40.159315,-8.735517,2.21
40.171836,-8.718625,2.232
40.170191,-8.723673,2.237
40.157315,-8.737406,2.246
40.169982,-8.724202,2.255
40.157599,-8.737359,2.26
40.171602,-8.719705,2.267
40.165435,-8.729044,2.268
40.170052,-8.723904,2.27
40.166912,-8.727642,2.272
40.168932,-8.725345,2.281
40.157196,-8.737621,2.285
40.171644,-8.719416,2.286
40.166833,-8.727564,2.296
40.170404,-8.723513,2.297
40.157113,-8.737534,2.302
40.157516,-8.737275,2.305
40.168835,-8.725607,2.31
40.171685,-8.719127,2.314
40.168136,-8.726347,2.319
40.167961,-8.726532,2.329
40.161063,-8.733667,2.33
40.165339,-8.729307,2.347
40.171862,-8.718333,2.351
40.158521,-8.736522,2.352
40.15957,-8.735412,2.353
40.15949,-8.735332,2.36
40.171556,-8.719993,2.362
40.168311,-8.726162,2.362
40.158615,-8.736256,2.365
40.161238,-8.733482,2.371
40.157792,-8.737209,2.377
40.171575,-8.720354,2.386
40.168057,-8.726269,2.387
40.170126,-8.723976,2.404
40.16866,-8.725792,2.407
40.170265,-8.723745,2.408
40.167883,-8.726454,2.412
40.168485,-8.725977,2.427
40.168757,-8.72553,2.434
40.161143,-8.733747,2.44
40.156905,-8.737646,2.446
40.167786,-8.726717,2.459
40.156991,-8.73774,2.46
40.157709,-8.737124,2.46
40.160889,-8.733852,2.462
40.16526,-8.729229,2.464
40.161318,-8.733562,2.474
40.168232,-8.726084,2.488
40.161413,-8.733297,2.495
40.167087,-8.727457,2.499
40.167008,-8.727379,2.505
40.171716,-8.718836,2.505
40.158345,-8.736705,2.515
40.157982,-8.737053,2.515
40.158441,-8.736441,2.534
40.165164,-8.729492,2.536
40.168582,-8.725715,2.539
40.168407,-8.7259,2.548
40.167708,-8.726639,2.55
40.160714,-8.734037,2.554
40.171015,-8.721923,2.56
40.171493,-8.720275,2.563
40.160969,-8.733932,2.564
40.159665,-8.735147,2.572
40.160539,-8.734222,2.577
40.171094,-8.722,2.579
40.160364,-8.734407,2.595
40.157901,-8.73697,2.6
40.158163,-8.736879,2.604
40.171888,-8.718041,2.607
40.160189,-8.734592,2.617
40.161493,-8.733377,2.622
40.171513,-8.720637,2.624
40.167611,-8.726902,2.626
40.159745,-8.735227,2.635
40.156694,-8.737746,2.655
40.165085,-8.729413,2.659
40.160014,-8.734777,2.663
40.161588,-8.733112,2.665
40.159839,-8.734962,2.667
40.158263,-8.736622,2.671
40.167262,-8.727272,2.679
40.15678,-8.737843,2.681
40.160794,-8.734117,2.688
40.167183,-8.727194,2.691
40.171742,-8.718543,2.703
40.167533,-8.726824,2.708
40.167437,-8.727087,2.714
40.160619,-8.734302,2.736
40.15992,-8.735042,2.75
40.158082,-8.736796,2.75
40.160444,-8.734487,2.756
40.164989,-8.729677,2.761
40.162637,-8.732003,2.768
40.162462,-8.732188,2.771
40.171429,-8.720558,2.776
40.167358,-8.727009,2.777
40.162287,-8.732373,2.79
40.160094,-8.734857,2.798
40.161763,-8.732927,2.801
40.162812,-8.731818,2.801
40.161668,-8.733192,2.81
40.161938,-8.732743,2.811
40.162112,-8.732558,2.812
40.16491,-8.729598,2.815
40.160269,-8.734672,2.82
40.162987,-8.731633,2.831
40.164814,-8.729862,2.832
40.171447,-8.720918,2.836
40.16464,-8.730047,2.854
40.163591,-8.731157,2.858
40.164465,-8.730232,2.86
40.163766,-8.730972,2.861
40.163162,-8.731448,2.864
40.16429,-8.730417,2.868
40.16394,-8.730787,2.87
40.162717,-8.732082,2.871
40.163416,-8.731342,2.872
40.162542,-8.732267,2.876
40.171768,-8.718251,2.886
40.164115,-8.730602,2.895
40.164735,-8.729783,2.896
40.16456,-8.729968,2.897
40.163336,-8.731263,2.902
40.164386,-8.730153,2.903
40.163066,-8.731712,2.904
40.162367,-8.732452,2.905
40.164036,-8.730523,2.909
40.164211,-8.730338,2.914
40.163686,-8.730893,2.915
40.163861,-8.730708,2.916
40.163511,-8.731078,2.919
40.163241,-8.731527,2.92
40.162192,-8.732637,2.923
40.162891,-8.731897,2.929
40.161843,-8.733007,2.936
40.171192,-8.721735,2.948
40.162017,-8.732822,2.955
40.171113,-8.721658,3.017
40.171365,-8.720839,3.019
40.171915,-8.717748,3.034
40.171365,-8.721192,3.037
40.171283,-8.721466,3.122
40.171794,-8.717959,3.164
40.171941,-8.717456,3.21
40.156479,-8.737833,3.225
40.171283,-8.721114,3.253
40.171202,-8.721388,3.287
40.171967,-8.717164,3.289
40.172099,-8.715703,3.293
40.172131,-8.715412,3.303
40.156566,-8.737933,3.319
40.171994,-8.716872,3.327
40.172046,-8.716287,3.339
40.172073,-8.715995,3.34
40.17202,-8.71658,3.341
40.146844,-8.747338,3.49
40.172171,-8.715122,3.636
40.171821,-8.717667,3.687
40.146996,-8.747121,3.75
40.172035,-8.71533,3.809
40.172004,-8.715621,3.815
40.146924,-8.747415,3.837
40.171978,-8.715913,3.861
40.171847,-8.717375,3.887
40.171926,-8.716498,3.89
40.171952,-8.716206,3.904
40.171899,-8.71679,3.907
40.171873,-8.717082,3.945
40.172212,-8.714833,4.125
40.147077,-8.7472,4.161
40.156262,-8.737912,4.166
40.17207,-8.715039,4.212
40.149521,-8.743769,4.289
40.149679,-8.74356,4.319
40.15635,-8.738013,4.321
40.146692,-8.747554,4.374
40.14715,-8.746906,4.495
40.149759,-8.743637,4.614
