idx,lat,lon,elev_m,below_threshold,flood_zone
0,38.896073,-9.047297,41.295,False,Alverca / Vila Franca de Xira (events: 2026)
1,38.896884,-9.046795,43.803,False,Alverca / Vila Franca de Xira (events: 2026)
2,38.897694,-9.046293,43.181,False,Alverca / Vila Franca de Xira (events: 2026)
3,38.898504,-9.045792,32.867,False,Alverca / Vila Franca de Xira (events: 2026)
4,38.899314,-9.045289,29.863,False,Alverca / Vila Franca de Xira (events: 2026)
5,38.900123,-9.044784,29.571,False,Alverca / Vila Franca de Xira (events: 2026)
6,38.900928,-9.044271,29.667,False,Alverca / Vila Franca de Xira (events: 2026)
7,38.901723,-9.043732,30.488,False,Alverca / Vila Franca de Xira (events: 2026)
8,38.902242,-9.043287,30.849,False,Alverca / Vila Franca de Xira (events: 2026)
9,38.901445,-9.043822,29.475,False,Alverca / Vila Franca de Xira (events: 2026)
10,38.900648,-9.044357,28.739,False,Alverca / Vila Franca de Xira (events: 2026)
11,38.899851,-9.044892,29.862,False,Alverca / Vila Franca de Xira (events: 2026)
12,38.899054,-9.045427,29.827,False,Alverca / Vila Franca de Xira (events: 2026)
13,38.898257,-9.045962,35.225,False,Alverca / Vila Franca de Xira (events: 2026)
14,38.89746,-9.046497,44.832,False,Alverca / Vila Franca de Xira (events: 2026)
15,38.896663,-9.047032,43.552,False,Alverca / Vila Franca de Xira (events: 2026)
16,38.895866,-9.047568,41.548,False,Alverca / Vila Franca de Xira (events: 2026)
17,38.895069,-9.048103,40.408,False,Alverca / Vila Franca de Xira (events: 2026)
18,38.894271,-9.048638,38.879,False,Alverca / Vila Franca de Xira (events: 2026)
19,38.893474,-9.049173,36.969,False,Alverca / Vila Franca de Xira (events: 2026)
20,38.892677,-9.049708,32.403,False,Alverca / Vila Franca de Xira (events: 2026)
21,38.891886,-9.050255,30.653,False,Alverca / Vila Franca de Xira (events: 2026)
22,38.891132,-9.050886,27.208,False,Alverca / Vila Franca de Xira (events: 2026)
23,38.890503,-9.051526,23.506,False,Alverca / Vila Franca de Xira (events: 2026)
24,38.89126,-9.050903,27.522,False,Alverca / Vila Franca de Xira (events: 2026)
25,38.892018,-9.05028,30.761,False,Alverca / Vila Franca de Xira (events: 2026)
26,38.892775,-9.049658,32.763,False,Alverca / Vila Franca de Xira (events: 2026)
27,38.893522,-9.049043,37.628,False,Alverca / Vila Franca de Xira (events: 2026)
28,38.892724,-9.049575,32.987,False,Alverca / Vila Franca de Xira (events: 2026)
29,38.892007,-9.050181,30.855,False,Alverca / Vila Franca de Xira (events: 2026)
30,38.892879,-9.050463,32.137,False,Alverca / Vila Franca de Xira (events: 2026)
31,38.893751,-9.050746,33.563,False,Alverca / Vila Franca de Xira (events: 2026)
32,38.894623,-9.051028,37.508,False,Alverca / Vila Franca de Xira (events: 2026)
33,38.89521,-9.051065,40.979,False,Alverca / Vila Franca de Xira (events: 2026)
34,38.895501,-9.051578,41.237,False,Alverca / Vila Franca de Xira (events: 2026)
35,38.894886,-9.050742,39.519,False,Alverca / Vila Franca de Xira (events: 2026)
36,38.894224,-9.04996,37.063,False,Alverca / Vila Franca de Xira (events: 2026)
37,38.893563,-9.049177,37.326,False,Alverca / Vila Franca de Xira (events: 2026)
38,38.892901,-9.048395,36.566,False,Alverca / Vila Franca de Xira (events: 2026)
39,38.893158,-9.048296,36.991,False,Alverca / Vila Franca de Xira (events: 2026)
40,38.893805,-9.04909,38.589,False,Alverca / Vila Franca de Xira (events: 2026)
41,38.89443,-9.04992,38.266,False,Alverca / Vila Franca de Xira (events: 2026)
42,38.895055,-9.050751,40.801,False,Alverca / Vila Franca de Xira (events: 2026)
43,38.895676,-9.051586,43.145,False,Alverca / Vila Franca de Xira (events: 2026)
44,38.896194,-9.052531,47.682,False,Alverca / Vila Franca de Xira (events: 2026)
45,38.896782,-9.053403,52.722,False,Alverca / Vila Franca de Xira (events: 2026)
46,38.897468,-9.054147,59.136,False,Alverca / Vila Franca de Xira (events: 2026)
47,38.898209,-9.054802,67.574,False,Alverca / Vila Franca de Xira (events: 2026)
48,38.898988,-9.055376,80.932,False,Alverca / Vila Franca de Xira (events: 2026)
49,38.899837,-9.055743,91.678,False,Alverca / Vila Franca de Xira (events: 2026)
50,38.900725,-9.055924,96.902,False,Alverca / Vila Franca de Xira (events: 2026)
51,38.901614,-9.056094,102.108,False,Alverca / Vila Franca de Xira (events: 2026)
52,38.90248,-9.056401,112.417,False,Alverca / Vila Franca de Xira (events: 2026)
53,38.903297,-9.056879,116.404,False,Alverca / Vila Franca de Xira (events: 2026)
54,38.90404,-9.057527,116.228,False,Alverca / Vila Franca de Xira (events: 2026)
55,38.904696,-9.058316,126.786,False,Alverca / Vila Franca de Xira (events: 2026)
56,38.905235,-9.05924,135.012,False,Alverca / Vila Franca de Xira (events: 2026)
57,38.905649,-9.060265,137.894,False,Alverca / Vila Franca de Xira (events: 2026)
58,38.905997,-9.061331,143.62,False,Alverca / Vila Franca de Xira (events: 2026)
59,38.906363,-9.062386,152.458,False,Alverca / Vila Franca de Xira (events: 2026)
60,38.906802,-9.063394,154.924,False,Alverca / Vila Franca de Xira (events: 2026)
61,38.907323,-9.064335,160.279,False,Alverca / Vila Franca de Xira (events: 2026)
62,38.907904,-9.065216,166.009,False,Alverca / Vila Franca de Xira (events: 2026)
63,38.908509,-9.066071,173.197,False,Alverca / Vila Franca de Xira (events: 2026)
64,38.909085,-9.066957,177.306,False,Alverca / Vila Franca de Xira (events: 2026)
65,38.90944,-9.068,179.624,False,Alverca / Vila Franca de Xira (events: 2026)
66,38.9096,-9.069138,186.608,False,Alverca / Vila Franca de Xira (events: 2026)
67,38.909591,-9.068922,185.277,False,Alverca / Vila Franca de Xira (events: 2026)
68,38.909315,-9.067824,177.505,False,Alverca / Vila Franca de Xira (events: 2026)
69,38.908855,-9.066835,173.241,False,Alverca / Vila Franca de Xira (events: 2026)
70,38.908259,-9.06597,168.533,False,Alverca / Vila Franca de Xira (events: 2026)
71,38.907655,-9.065113,162.324,False,Alverca / Vila Franca de Xira (events: 2026)
72,38.907088,-9.064217,156.756,False,Alverca / Vila Franca de Xira (events: 2026)
73,38.906581,-9.063263,153.822,False,Alverca / Vila Franca de Xira (events: 2026)
74,38.906165,-9.062239,149.913,False,Alverca / Vila Franca de Xira (events: 2026)
75,38.90581,-9.061178,139.521,False,Alverca / Vila Franca de Xira (events: 2026)
76,38.905455,-9.060116,134.848,False,Alverca / Vila Franca de Xira (events: 2026)
77,38.905014,-9.059111,133.334,False,Alverca / Vila Franca de Xira (events: 2026)
78,38.904441,-9.058222,125.814,False,Alverca / Vila Franca de Xira (events: 2026)
79,38.903765,-9.057463,118.262,False,Alverca / Vila Franca de Xira (events: 2026)
80,38.902995,-9.05687,118.252,False,Alverca / Vila Franca de Xira (events: 2026)
81,38.902161,-9.056441,110.458,False,Alverca / Vila Franca de Xira (events: 2026)
82,38.901285,-9.056188,100.707,False,Alverca / Vila Franca de Xira (events: 2026)
83,38.900394,-9.056032,96.287,False,Alverca / Vila Franca de Xira (events: 2026)
84,38.899514,-9.055803,89.167,False,Alverca / Vila Franca de Xira (events: 2026)
85,38.898792,-9.05516,77.402,False,Alverca / Vila Franca de Xira (events: 2026)
86,38.898141,-9.054362,68.279,False,Alverca / Vila Franca de Xira (events: 2026)
87,38.897491,-9.053564,62.502,False,Alverca / Vila Franca de Xira (events: 2026)
88,38.89684,-9.052766,55.195,False,Alverca / Vila Franca de Xira (events: 2026)
89,38.89619,-9.051969,48.917,False,Alverca / Vila Franca de Xira (events: 2026)
90,38.895539,-9.051171,43.232,False,Alverca / Vila Franca de Xira (events: 2026)
91,38.894888,-9.050373,39.878,False,Alverca / Vila Franca de Xira (events: 2026)
92,38.894256,-9.049555,38.738,False,Alverca / Vila Franca de Xira (events: 2026)
93,38.893552,-9.048838,37.81,False,Alverca / Vila Franca de Xira (events: 2026)
94,38.893504,-9.048161,37.387,False,Alverca / Vila Franca de Xira (events: 2026)
95,38.894238,-9.047493,39.893,False,Alverca / Vila Franca de Xira (events: 2026)
96,38.894972,-9.046825,42.573,False,Alverca / Vila Franca de Xira (events: 2026)
97,38.895706,-9.046157,38.374,False,Alverca / Vila Franca de Xira (events: 2026)
98,38.89644,-9.045489,35.974,False,Alverca / Vila Franca de Xira (events: 2026)
99,38.897174,-9.044821,34.574,False,Alverca / Vila Franca de Xira (events: 2026)
100,38.897908,-9.044153,31.278,False,Alverca / Vila Franca de Xira (events: 2026)
101,38.898642,-9.043484,28.609,False,Alverca / Vila Franca de Xira (events: 2026)
102,38.899376,-9.042816,27.607,False,Alverca / Vila Franca de Xira (events: 2026)
103,38.900109,-9.042148,24.338,False,Alverca / Vila Franca de Xira (events: 2026)
104,38.900843,-9.04148,22.44,False,Alverca / Vila Franca de Xira (events: 2026)
105,38.901577,-9.040812,20.846,False,Alverca / Vila Franca de Xira (events: 2026)
106,38.902311,-9.040144,20.394,False,Alverca / Vila Franca de Xira (events: 2026)
