idx,lat,lon,elev_m,below_threshold,flood_zone
0,38.961348,-8.986396,28.442,False,Alverca / Vila Franca de Xira (events: 2026)
1,38.960661,-8.987141,31.09,False,Alverca / Vila Franca de Xira (events: 2026)
2,38.960006,-8.987931,31.115,False,Alverca / Vila Franca de Xira (events: 2026)
3,38.959852,-8.988143,31.925,False,Alverca / Vila Franca de Xira (events: 2026)
4,38.96046,-8.987292,30.169,False,Alverca / Vila Franca de Xira (events: 2026)
5,38.961087,-8.986465,26.506,False,Alverca / Vila Franca de Xira (events: 2026)
6,38.961826,-8.985809,20.952,False,Alverca / Vila Franca de Xira (events: 2026)
7,38.962622,-8.985272,13.185,False,Alverca / Vila Franca de Xira (events: 2026)
8,38.963452,-8.984833,9.875,False,Alverca / Vila Franca de Xira (events: 2026)
9,38.964316,-8.984518,7.967,False,Alverca / Vila Franca de Xira (events: 2026)
10,38.965193,-8.984262,8.142,False,Alverca / Vila Franca de Xira (events: 2026)
11,38.96607,-8.984006,8.879,False,Alverca / Vila Franca de Xira (events: 2026)
12,38.966948,-8.98375,10.3,False,Alverca / Vila Franca de Xira (events: 2026)
13,38.967825,-8.983494,10.997,False,Alverca / Vila Franca de Xira (events: 2026)
14,38.968702,-8.983238,11.363,False,Alverca / Vila Franca de Xira (events: 2026)
15,38.968569,-8.983439,12.083,False,Alverca / Vila Franca de Xira (events: 2026)
16,38.96774,-8.983886,12.243,False,Alverca / Vila Franca de Xira (events: 2026)
17,38.966874,-8.98419,10.341,False,Alverca / Vila Franca de Xira (events: 2026)
18,38.965987,-8.984381,9.971,False,Alverca / Vila Franca de Xira (events: 2026)
19,38.965097,-8.984548,9.672,False,Alverca / Vila Franca de Xira (events: 2026)
20,38.965219,-8.98439,8.783,False,Alverca / Vila Franca de Xira (events: 2026)
21,38.966066,-8.984,8.868,False,Alverca / Vila Franca de Xira (events: 2026)
22,38.966912,-8.983609,10.288,False,Alverca / Vila Franca de Xira (events: 2026)
23,38.967759,-8.983219,10.477,False,Alverca / Vila Franca de Xira (events: 2026)
24,38.968606,-8.982829,10.141,False,Alverca / Vila Franca de Xira (events: 2026)
25,38.969452,-8.982438,10.314,False,Alverca / Vila Franca de Xira (events: 2026)
26,38.970269,-8.98207,9.45,False,Alverca / Vila Franca de Xira (events: 2026)
27,38.969538,-8.982743,11.503,False,Alverca / Vila Franca de Xira (events: 2026)
28,38.970008,-8.982299,10.387,False,Alverca / Vila Franca de Xira (events: 2026)
29,38.970737,-8.981623,8.96,False,Alverca / Vila Franca de Xira (events: 2026)
30,38.971467,-8.980946,7.677,False,Alverca / Vila Franca de Xira (events: 2026)
31,38.972197,-8.98027,7.641,False,Alverca / Vila Franca de Xira (events: 2026)
32,38.972926,-8.979594,9.272,False,Alverca / Vila Franca de Xira (events: 2026)
33,38.973656,-8.978918,10.866,False,Alverca / Vila Franca de Xira (events: 2026)
34,38.974385,-8.978241,10.613,False,Alverca / Vila Franca de Xira (events: 2026)
35,38.975115,-8.977565,10.449,False,"Carregado / Azambuja (events: 2022, 2026)"
36,38.975918,-8.977046,11.384,False,"Carregado / Azambuja (events: 2022, 2026)"
37,38.976727,-8.976541,10.227,False,"Carregado / Azambuja (events: 2022, 2026)"
38,38.977536,-8.976037,10.51,False,"Carregado / Azambuja (events: 2022, 2026)"
39,38.978356,-8.975562,9.804,False,"Carregado / Azambuja (events: 2022, 2026)"
40,38.979177,-8.975088,9.818,False,"Carregado / Azambuja (events: 2022, 2026)"
41,38.979998,-8.974617,8.057,False,"Carregado / Azambuja (events: 2022, 2026)"
42,38.980827,-8.974168,6.617,False,"Carregado / Azambuja (events: 2022, 2026)"
43,38.981656,-8.973719,5.243,False,"Carregado / Azambuja (events: 2022, 2026)"
44,38.982485,-8.973271,7.329,False,"Carregado / Azambuja (events: 2022, 2026)"
45,38.983318,-8.972836,5.315,False,"Carregado / Azambuja (events: 2022, 2026)"
46,38.984162,-8.972437,4.168,True,"Carregado / Azambuja (events: 2022, 2026)"
47,38.985006,-8.972038,5.708,False,"Carregado / Azambuja (events: 2022, 2026)"
48,38.985851,-8.97164,6.373,False,"Carregado / Azambuja (events: 2022, 2026)"
49,38.986695,-8.971241,10.919,False,"Carregado / Azambuja (events: 2022, 2026)"
50,38.987539,-8.970842,8.668,False,"Carregado / Azambuja (events: 2022, 2026)"
51,38.988385,-8.97045,7.703,False,"Carregado / Azambuja (events: 2022, 2026)"
52,38.989241,-8.970093,9.178,False,"Carregado / Azambuja (events: 2022, 2026)"
53,38.990096,-8.969737,8.207,False,"Carregado / Azambuja (events: 2022, 2026)"
54,38.990953,-8.969385,6.021,False,"Carregado / Azambuja (events: 2022, 2026)"
55,38.991823,-8.969094,7.635,False,"Carregado / Azambuja (events: 2022, 2026)"
56,38.992694,-8.968803,9.4,False,"Carregado / Azambuja (events: 2022, 2026)"
57,38.993566,-8.968525,8.056,False,"Carregado / Azambuja (events: 2022, 2026)"
58,38.994448,-8.968295,6.369,False,"Carregado / Azambuja (events: 2022, 2026)"
59,38.995329,-8.968066,5.795,False,"Carregado / Azambuja (events: 2022, 2026)"
60,38.996217,-8.967878,6.889,False,"Carregado / Azambuja (events: 2022, 2026)"
61,38.997105,-8.967701,7.516,False,"Carregado / Azambuja (events: 2022, 2026)"
62,38.997996,-8.96754,7.684,False,"Carregado / Azambuja (events: 2022, 2026)"
63,38.998889,-8.967412,8.249,False,"Carregado / Azambuja (events: 2022, 2026)"
64,38.999785,-8.967309,6.261,False,"Carregado / Azambuja (events: 2022, 2026)"
65,39.000682,-8.967226,3.934,True,"Carregado / Azambuja (events: 2022, 2026)"
66,38.999977,-8.967601,5.984,False,"Carregado / Azambuja (events: 2022, 2026)"
67,38.999137,-8.968015,6.797,False,"Carregado / Azambuja (events: 2022, 2026)"
68,38.998297,-8.968428,7.594,False,"Carregado / Azambuja (events: 2022, 2026)"
69,38.997457,-8.968842,8.818,False,"Carregado / Azambuja (events: 2022, 2026)"
70,38.996617,-8.969256,9.312,False,"Carregado / Azambuja (events: 2022, 2026)"
71,38.995777,-8.969669,10.3,False,"Carregado / Azambuja (events: 2022, 2026)"
72,38.994937,-8.970083,11.252,False,"Carregado / Azambuja (events: 2022, 2026)"
73,38.994097,-8.970497,11.61,False,"Carregado / Azambuja (events: 2022, 2026)"
74,38.993257,-8.97091,13.839,False,"Carregado / Azambuja (events: 2022, 2026)"
75,38.992418,-8.971324,15.443,False,"Carregado / Azambuja (events: 2022, 2026)"
76,38.991578,-8.971737,14.509,False,"Carregado / Azambuja (events: 2022, 2026)"
77,38.990738,-8.972151,13.951,False,"Carregado / Azambuja (events: 2022, 2026)"
78,38.989898,-8.972565,15.866,False,"Carregado / Azambuja (events: 2022, 2026)"
79,38.989058,-8.972978,20.517,False,"Carregado / Azambuja (events: 2022, 2026)"
80,38.988218,-8.973392,23.434,False,"Carregado / Azambuja (events: 2022, 2026)"
81,38.987378,-8.973805,23.32,False,"Carregado / Azambuja (events: 2022, 2026)"
82,38.986538,-8.974219,15.485,False,"Carregado / Azambuja (events: 2022, 2026)"
83,38.985698,-8.974633,13.854,False,"Carregado / Azambuja (events: 2022, 2026)"
84,38.984859,-8.975046,17.795,False,"Carregado / Azambuja (events: 2022, 2026)"
85,38.984019,-8.97546,19.807,False,"Carregado / Azambuja (events: 2022, 2026)"
86,38.983179,-8.975874,19.911,False,"Carregado / Azambuja (events: 2022, 2026)"
87,38.982339,-8.976287,18.611,False,"Carregado / Azambuja (events: 2022, 2026)"
88,38.981499,-8.976701,17.026,False,"Carregado / Azambuja (events: 2022, 2026)"
89,38.980659,-8.977114,19.673,False,"Carregado / Azambuja (events: 2022, 2026)"
90,38.979819,-8.977528,19.373,False,"Carregado / Azambuja (events: 2022, 2026)"
91,38.978979,-8.977942,12.92,False,"Carregado / Azambuja (events: 2022, 2026)"
92,38.978139,-8.978355,18.676,False,"Carregado / Azambuja (events: 2022, 2026)"
93,38.9773,-8.978769,16.864,False,"Carregado / Azambuja (events: 2022, 2026)"
94,38.97646,-8.979182,18.9,False,"Carregado / Azambuja (events: 2022, 2026)"
