idx,lat,lon,elev_m,below_threshold,flood_zone
0,38.961348,-8.986396,28.442,False,Vila Franca de Xira approach (events: 2026)
1,38.96117,-8.986573,29.207,False,Vila Franca de Xira approach (events: 2026)
2,38.960996,-8.986754,29.863,False,Vila Franca de Xira approach (events: 2026)
3,38.960828,-8.986947,30.487,False,Vila Franca de Xira approach (events: 2026)
4,38.960661,-8.987141,31.09,False,Vila Franca de Xira approach (events: 2026)
5,38.960494,-8.987334,31.004,False,Vila Franca de Xira approach (events: 2026)
6,38.960327,-8.987527,30.558,False,Vila Franca de Xira approach (events: 2026)
7,38.96016,-8.987721,30.772,False,Vila Franca de Xira approach (events: 2026)
8,38.960006,-8.987931,31.115,False,Vila Franca de Xira approach (events: 2026)
9,38.959853,-8.988143,31.929,False,Vila Franca de Xira approach (events: 2026)
10,38.9597,-8.988356,33.539,False,Vila Franca de Xira approach (events: 2026)
11,38.959699,-8.988356,33.543,False,Vila Franca de Xira approach (events: 2026)
12,38.959852,-8.988143,31.925,False,Vila Franca de Xira approach (events: 2026)
13,38.960004,-8.98793,31.1,False,Vila Franca de Xira approach (events: 2026)
14,38.960156,-8.987717,30.736,False,Vila Franca de Xira approach (events: 2026)
15,38.960308,-8.987505,30.276,False,Vila Franca de Xira approach (events: 2026)
16,38.96046,-8.987292,30.169,False,Vila Franca de Xira approach (events: 2026)
17,38.960612,-8.987079,29.541,False,Vila Franca de Xira approach (events: 2026)
18,38.960764,-8.986866,28.285,False,Vila Franca de Xira approach (events: 2026)
19,38.960917,-8.986653,27.28,False,Vila Franca de Xira approach (events: 2026)
20,38.961087,-8.986465,26.506,False,Vila Franca de Xira approach (events: 2026)
21,38.961263,-8.986285,26.129,False,Vila Franca de Xira approach (events: 2026)
22,38.961449,-8.986124,24.998,False,Vila Franca de Xira approach (events: 2026)
23,38.961638,-8.985966,23.141,False,Vila Franca de Xira approach (events: 2026)
24,38.961826,-8.985809,20.952,False,Vila Franca de Xira approach (events: 2026)
25,38.962017,-8.985656,18.064,False,Vila Franca de Xira approach (events: 2026)
26,38.962219,-8.985528,15.704,False,Vila Franca de Xira approach (events: 2026)
27,38.96242,-8.9854,13.983,False,Vila Franca de Xira approach (events: 2026)
28,38.962622,-8.985272,13.185,False,Vila Franca de Xira approach (events: 2026)
29,38.962823,-8.985144,12.361,False,Vila Franca de Xira approach (events: 2026)
30,38.963031,-8.985033,11.655,False,Vila Franca de Xira approach (events: 2026)
31,38.963241,-8.984933,10.988,False,Vila Franca de Xira approach (events: 2026)
32,38.963452,-8.984833,9.875,False,Vila Franca de Xira approach (events: 2026)
33,38.963663,-8.984733,8.98,False,Vila Franca de Xira approach (events: 2026)
34,38.96388,-8.984656,8.271,False,Vila Franca de Xira approach (events: 2026)
35,38.964098,-8.984587,7.984,False,Vila Franca de Xira approach (events: 2026)
36,38.964316,-8.984518,7.967,False,Vila Franca de Xira approach (events: 2026)
37,38.964536,-8.984454,7.831,False,Vila Franca de Xira approach (events: 2026)
38,38.964755,-8.98439,7.922,False,Vila Franca de Xira approach (events: 2026)
39,38.964974,-8.984326,7.916,False,Vila Franca de Xira approach (events: 2026)
40,38.965193,-8.984262,8.142,False,Vila Franca de Xira approach (events: 2026)
41,38.965413,-8.984198,8.341,False,Vila Franca de Xira approach (events: 2026)
42,38.965632,-8.984134,8.569,False,Vila Franca de Xira approach (events: 2026)
43,38.965851,-8.98407,8.743,False,Vila Franca de Xira approach (events: 2026)
44,38.96607,-8.984006,8.879,False,Vila Franca de Xira approach (events: 2026)
45,38.96629,-8.983942,9.171,False,Vila Franca de Xira approach (events: 2026)
46,38.966509,-8.983878,9.453,False,Vila Franca de Xira approach (events: 2026)
47,38.966728,-8.983814,9.886,False,Vila Franca de Xira approach (events: 2026)
48,38.966948,-8.98375,10.3,False,Vila Franca de Xira approach (events: 2026)
49,38.967167,-8.983686,10.717,False,Vila Franca de Xira approach (events: 2026)
50,38.967386,-8.983622,10.996,False,Vila Franca de Xira approach (events: 2026)
51,38.967605,-8.983558,11.026,False,Vila Franca de Xira approach (events: 2026)
52,38.967825,-8.983494,10.997,False,Vila Franca de Xira approach (events: 2026)
53,38.968044,-8.98343,10.914,False,Vila Franca de Xira approach (events: 2026)
54,38.968263,-8.983366,10.919,False,Vila Franca de Xira approach (events: 2026)
55,38.968482,-8.983302,10.945,False,Vila Franca de Xira approach (events: 2026)
56,38.968702,-8.983238,11.363,False,Vila Franca de Xira approach (events: 2026)
57,38.968921,-8.983174,11.781,False,Vila Franca de Xira approach (events: 2026)
58,38.968973,-8.983186,12.046,False,Vila Franca de Xira approach (events: 2026)
59,38.968771,-8.983312,11.984,False,Vila Franca de Xira approach (events: 2026)
60,38.968569,-8.983439,12.083,False,Vila Franca de Xira approach (events: 2026)
61,38.968367,-8.983566,12.393,False,Vila Franca de Xira approach (events: 2026)
62,38.96816,-8.983679,12.636,False,Vila Franca de Xira approach (events: 2026)
63,38.967951,-8.983785,12.581,False,Vila Franca de Xira approach (events: 2026)
64,38.96774,-8.983886,12.243,False,Vila Franca de Xira approach (events: 2026)
65,38.967527,-8.983977,11.659,False,Vila Franca de Xira approach (events: 2026)
66,38.967314,-8.984069,11.121,False,Vila Franca de Xira approach (events: 2026)
67,38.967094,-8.984129,10.658,False,Vila Franca de Xira approach (events: 2026)
68,38.966874,-8.98419,10.341,False,Vila Franca de Xira approach (events: 2026)
69,38.966653,-8.984243,10.089,False,Vila Franca de Xira approach (events: 2026)
70,38.966432,-8.984292,10.03,False,Vila Franca de Xira approach (events: 2026)
71,38.96621,-8.984339,9.974,False,Vila Franca de Xira approach (events: 2026)
72,38.965987,-8.984381,9.971,False,Vila Franca de Xira approach (events: 2026)
73,38.965765,-8.984422,9.933,False,Vila Franca de Xira approach (events: 2026)
74,38.965542,-8.984464,9.791,False,Vila Franca de Xira approach (events: 2026)
75,38.96532,-8.984506,9.837,False,Vila Franca de Xira approach (events: 2026)
76,38.965097,-8.984548,9.672,False,Vila Franca de Xira approach (events: 2026)
77,38.964875,-8.984589,9.414,False,Vila Franca de Xira approach (events: 2026)
78,38.964796,-8.984585,9.232,False,Vila Franca de Xira approach (events: 2026)
79,38.965008,-8.984487,9.051,False,Vila Franca de Xira approach (events: 2026)
80,38.965219,-8.98439,8.783,False,Vila Franca de Xira approach (events: 2026)
81,38.965431,-8.984292,8.795,False,Vila Franca de Xira approach (events: 2026)
82,38.965643,-8.984195,8.733,False,Vila Franca de Xira approach (events: 2026)
83,38.965854,-8.984097,8.821,False,Vila Franca de Xira approach (events: 2026)
84,38.966066,-8.984,8.868,False,Vila Franca de Xira approach (events: 2026)
85,38.966277,-8.983902,9.121,False,Vila Franca de Xira approach (events: 2026)
86,38.966489,-8.983804,9.445,False,Vila Franca de Xira approach (events: 2026)
87,38.966701,-8.983707,9.866,False,Vila Franca de Xira approach (events: 2026)
88,38.966912,-8.983609,10.288,False,Vila Franca de Xira approach (events: 2026)
89,38.967124,-8.983512,10.699,False,Vila Franca de Xira approach (events: 2026)
90,38.967336,-8.983414,10.882,False,Vila Franca de Xira approach (events: 2026)
91,38.967547,-8.983317,10.781,False,Vila Franca de Xira approach (events: 2026)
92,38.967759,-8.983219,10.477,False,Vila Franca de Xira approach (events: 2026)
93,38.967971,-8.983121,9.979,False,Vila Franca de Xira approach (events: 2026)
94,38.968182,-8.983024,9.771,False,Vila Franca de Xira approach (events: 2026)
95,38.968394,-8.982926,9.839,False,Vila Franca de Xira approach (events: 2026)
96,38.968606,-8.982829,10.141,False,Vila Franca de Xira approach (events: 2026)
97,38.968817,-8.982731,10.312,False,Vila Franca de Xira approach (events: 2026)
98,38.969029,-8.982634,10.398,False,Vila Franca de Xira approach (events: 2026)
99,38.969241,-8.982536,10.36,False,Vila Franca de Xira approach (events: 2026)
100,38.969452,-8.982438,10.314,False,Vila Franca de Xira approach (events: 2026)
101,38.969664,-8.982341,10.249,False,Vila Franca de Xira approach (events: 2026)
102,38.969875,-8.982243,10.081,False,Vila Franca de Xira approach (events: 2026)
103,38.970087,-8.982146,9.774,False,Vila Franca de Xira approach (events: 2026)
104,38.970269,-8.98207,9.45,False,Vila Franca de Xira approach (events: 2026)
105,38.970092,-8.982249,10.133,False,Vila Franca de Xira approach (events: 2026)
106,38.969913,-8.982424,10.866,False,Vila Franca de Xira approach (events: 2026)
107,38.969726,-8.982584,11.302,False,Vila Franca de Xira approach (events: 2026)
108,38.969538,-8.982743,11.503,False,Vila Franca de Xira approach (events: 2026)
109,38.96946,-8.982806,11.601,False,Vila Franca de Xira approach (events: 2026)
110,38.969643,-8.982637,11.235,False,Vila Franca de Xira approach (events: 2026)
111,38.969825,-8.982468,10.929,False,Vila Franca de Xira approach (events: 2026)
112,38.970008,-8.982299,10.387,False,Vila Franca de Xira approach (events: 2026)
113,38.97019,-8.98213,9.705,False,Vila Franca de Xira approach (events: 2026)
114,38.970372,-8.981961,9.164,False,Vila Franca de Xira approach (events: 2026)
115,38.970555,-8.981792,9.042,False,Vila Franca de Xira approach (events: 2026)
116,38.970737,-8.981623,8.96,False,Vila Franca de Xira approach (events: 2026)
117,38.97092,-8.981453,8.73,False,Vila Franca de Xira approach (events: 2026)
118,38.971102,-8.981284,8.353,False,Vila Franca de Xira approach (events: 2026)
119,38.971285,-8.981115,7.942,False,Vila Franca de Xira approach (events: 2026)
120,38.971467,-8.980946,7.677,False,Vila Franca de Xira approach (events: 2026)
121,38.971649,-8.980777,7.462,False,Vila Franca de Xira approach (events: 2026)
122,38.971832,-8.980608,7.332,False,Vila Franca de Xira approach (events: 2026)
123,38.972014,-8.980439,7.341,False,Vila Franca de Xira approach (events: 2026)
124,38.972197,-8.98027,7.641,False,Vila Franca de Xira approach (events: 2026)
125,38.972379,-8.980101,8.098,False,Vila Franca de Xira approach (events: 2026)
126,38.972561,-8.979932,8.556,False,Vila Franca de Xira approach (events: 2026)
127,38.972744,-8.979763,9.005,False,Vila Franca de Xira approach (events: 2026)
128,38.972926,-8.979594,9.272,False,Vila Franca de Xira approach (events: 2026)
129,38.973109,-8.979425,9.403,False,Vila Franca de Xira approach (events: 2026)
130,38.973291,-8.979256,9.839,False,Vila Franca de Xira approach (events: 2026)
131,38.973473,-8.979087,10.418,False,Vila Franca de Xira approach (events: 2026)
132,38.973656,-8.978918,10.866,False,Vila Franca de Xira approach (events: 2026)
133,38.973838,-8.978748,11.069,False,Vila Franca de Xira approach (events: 2026)
134,38.974021,-8.978579,11.055,False,Vila Franca de Xira approach (events: 2026)
135,38.974203,-8.97841,10.849,False,Vila Franca de Xira approach (events: 2026)
136,38.974385,-8.978241,10.613,False,Vila Franca de Xira approach (events: 2026)
137,38.974568,-8.978072,10.438,False,Vila Franca de Xira approach (events: 2026)
138,38.97475,-8.977903,10.313,False,Vila Franca de Xira approach (events: 2026)
139,38.974933,-8.977734,10.265,False,Vila Franca de Xira approach (events: 2026)
140,38.975115,-8.977565,10.449,False,"Carregado / Azambuja (events: 2022, 2026)"
141,38.975311,-8.977425,10.858,False,"Carregado / Azambuja (events: 2022, 2026)"
142,38.975513,-8.977299,11.287,False,"Carregado / Azambuja (events: 2022, 2026)"
143,38.975715,-8.977172,11.526,False,"Carregado / Azambuja (events: 2022, 2026)"
144,38.975918,-8.977046,11.384,False,"Carregado / Azambuja (events: 2022, 2026)"
145,38.97612,-8.97692,10.987,False,"Carregado / Azambuja (events: 2022, 2026)"
146,38.976322,-8.976793,10.562,False,"Carregado / Azambuja (events: 2022, 2026)"
147,38.976525,-8.976667,10.315,False,"Carregado / Azambuja (events: 2022, 2026)"
148,38.976727,-8.976541,10.227,False,"Carregado / Azambuja (events: 2022, 2026)"
149,38.976929,-8.976415,10.496,False,"Carregado / Azambuja (events: 2022, 2026)"
150,38.977131,-8.976288,10.721,False,"Carregado / Azambuja (events: 2022, 2026)"
151,38.977334,-8.976162,10.751,False,"Carregado / Azambuja (events: 2022, 2026)"
152,38.977536,-8.976037,10.51,False,"Carregado / Azambuja (events: 2022, 2026)"
153,38.977741,-8.975918,10.222,False,"Carregado / Azambuja (events: 2022, 2026)"
154,38.977946,-8.9758,10.043,False,"Carregado / Azambuja (events: 2022, 2026)"
155,38.978151,-8.975681,9.916,False,"Carregado / Azambuja (events: 2022, 2026)"
156,38.978356,-8.975562,9.804,False,"Carregado / Azambuja (events: 2022, 2026)"
157,38.978561,-8.975444,9.762,False,"Carregado / Azambuja (events: 2022, 2026)"
158,38.978767,-8.975325,9.832,False,"Carregado / Azambuja (events: 2022, 2026)"
159,38.978972,-8.975207,9.895,False,"Carregado / Azambuja (events: 2022, 2026)"
160,38.979177,-8.975088,9.818,False,"Carregado / Azambuja (events: 2022, 2026)"
161,38.979382,-8.974969,9.587,False,"Carregado / Azambuja (events: 2022, 2026)"
162,38.979587,-8.974851,9.201,False,"Carregado / Azambuja (events: 2022, 2026)"
163,38.979792,-8.974732,8.697,False,"Carregado / Azambuja (events: 2022, 2026)"
164,38.979998,-8.974617,8.057,False,"Carregado / Azambuja (events: 2022, 2026)"
165,38.980205,-8.974505,7.506,False,"Carregado / Azambuja (events: 2022, 2026)"
166,38.980413,-8.974393,7.116,False,"Carregado / Azambuja (events: 2022, 2026)"
167,38.98062,-8.97428,6.853,False,"Carregado / Azambuja (events: 2022, 2026)"
168,38.980827,-8.974168,6.617,False,"Carregado / Azambuja (events: 2022, 2026)"
169,38.981034,-8.974056,6.221,False,"Carregado / Azambuja (events: 2022, 2026)"
170,38.981241,-8.973944,5.748,False,"Carregado / Azambuja (events: 2022, 2026)"
