lat,lon,elev_m,flood_zone
39.006478,-8.965915,1.806,"Carregado / Azambuja (events: 2022, 2026)"
39.006489,-8.965464,2.129,"Carregado / Azambuja (events: 2022, 2026)"
39.00669,-8.965819,2.359,"Carregado / Azambuja (events: 2022, 2026)"
39.006277,-8.96556,2.399,"Carregado / Azambuja (events: 2022, 2026)"
39.006266,-8.966012,2.502,"Carregado / Azambuja (events: 2022, 2026)"
39.041522,-8.949786,2.614,"Carregado / Azambuja (events: 2022, 2026)"
39.041731,-8.94968,2.675,"Carregado / Azambuja (events: 2022, 2026)"
39.041493,-8.949649,2.688,"Carregado / Azambuja (events: 2022, 2026)"
39.006701,-8.965369,2.7,"Carregado / Azambuja (events: 2022, 2026)"
39.041705,-8.949553,2.707,"Carregado / Azambuja (events: 2022, 2026)"
39.041673,-8.949925,2.743,"Carregado / Azambuja (events: 2022, 2026)"
39.041885,-8.949829,2.817,"Carregado / Azambuja (events: 2022, 2026)"
39.041461,-8.950021,2.861,"Carregado / Azambuja (events: 2022, 2026)"
39.041281,-8.949745,2.904,"Carregado / Azambuja (events: 2022, 2026)"
39.006409,-8.966527,2.913,"Carregado / Azambuja (events: 2022, 2026)"
39.04194,-8.949574,2.928,"Carregado / Azambuja (events: 2022, 2026)"
39.006455,-8.966505,2.937,"Carregado / Azambuja (events: 2022, 2026)"
39.041313,-8.949892,2.94,"Carregado / Azambuja (events: 2022, 2026)"
39.006233,-8.96655,2.979,"Carregado / Azambuja (events: 2022, 2026)"
39.001336,-8.967167,2.979,"Carregado / Azambuja (events: 2022, 2026)"
39.041917,-8.949457,3.026,"Carregado / Azambuja (events: 2022, 2026)"
39.006187,-8.966572,3.039,"Carregado / Azambuja (events: 2022, 2026)"
39.00156,-8.967146,3.066,"Carregado / Azambuja (events: 2022, 2026)"
39.042097,-8.949732,3.105,"Carregado / Azambuja (events: 2022, 2026)"
39.023461,-8.957796,3.13,"Carregado / Azambuja (events: 2022, 2026)"
39.006387,-8.966741,3.184,"Carregado / Azambuja (events: 2022, 2026)"
39.01052,-8.963643,3.185,"Carregado / Azambuja (events: 2022, 2026)"
39.006363,-8.966741,3.187,"Carregado / Azambuja (events: 2022, 2026)"
39.043793,-8.948962,3.188,"Carregado / Azambuja (events: 2022, 2026)"
39.001112,-8.967187,3.199,"Carregado / Azambuja (events: 2022, 2026)"
39.006324,-8.966757,3.212,"Carregado / Azambuja (events: 2022, 2026)"
39.001288,-8.967271,3.22,"Carregado / Azambuja (events: 2022, 2026)"
39.001513,-8.967293,3.229,"Carregado / Azambuja (events: 2022, 2026)"
39.006309,-8.966779,3.241,"Carregado / Azambuja (events: 2022, 2026)"
39.006163,-8.966758,3.243,"Carregado / Azambuja (events: 2022, 2026)"
39.041249,-8.950118,3.29,"Carregado / Azambuja (events: 2022, 2026)"
