point_index,lat,lon,elevation_m,below_threshold
0,40.796987,-8.580362,23.348,False
1,40.79609,-8.580276,27.257,False
2,40.795193,-8.58019,28.529,False
3,40.794296,-8.580105,25.795,False
4,40.793399,-8.58002,20.584,False
5,40.792502,-8.579936,21.553,False
6,40.791605,-8.579851,27.468,False
7,40.790708,-8.579766,28.049,False
8,40.789811,-8.579682,28.069,False
9,40.788914,-8.579597,30.112,False
10,40.788017,-8.579514,30.071,False
11,40.78712,-8.579433,28.993,False
12,40.786223,-8.579347,27.707,False
13,40.785326,-8.579261,24.632,False
14,40.784429,-8.579175,24.113,False
15,40.783532,-8.579092,23.707,False
16,40.782635,-8.579007,22.464,False
17,40.781738,-8.578921,22.088,False
18,40.780841,-8.578836,22.237,False
19,40.779944,-8.578752,22.057,False
20,40.779047,-8.578668,21.292,False
21,40.77815,-8.578584,21.465,False
22,40.777253,-8.578499,21.247,False
23,40.776356,-8.578414,19.449,False
24,40.775459,-8.578329,20.239,False
25,40.774562,-8.578244,21.193,False
26,40.773665,-8.578158,22.549,False
27,40.772768,-8.57807,22.454,False
28,40.771871,-8.577982,19.645,False
29,40.770974,-8.577894,18.165,False
30,40.770077,-8.577806,17.476,False
31,40.76918,-8.577724,19.591,False
32,40.768283,-8.577645,20.981,False
33,40.767385,-8.577567,20.792,False
34,40.766488,-8.577484,20.253,False
35,40.765591,-8.577399,17.321,False
36,40.764694,-8.577314,16.569,False
37,40.763797,-8.577229,15.784,False
38,40.762901,-8.577138,16.663,False
39,40.762004,-8.577052,16.211,False
40,40.761106,-8.57697,14.784,False
41,40.760209,-8.576888,13.779,False
42,40.759312,-8.576805,13.034,False
43,40.758415,-8.576723,12.207,False
44,40.757518,-8.576638,11.969,False
45,40.756621,-8.576552,11.777,False
46,40.755724,-8.576466,9.857,False
47,40.754828,-8.57637,7.412,False
48,40.753934,-8.576238,6.484,False
49,40.753046,-8.576052,7.054,False
50,40.752166,-8.575809,6.941,False
51,40.751296,-8.575507,6.11,False
52,40.751888,-8.575649,7.055,False
53,40.752769,-8.575885,7.415,False
54,40.753651,-8.57612,6.753,False
55,40.754532,-8.576356,6.898,False
56,40.755414,-8.576591,8.932,False
57,40.756295,-8.576827,10.682,False
58,40.757177,-8.577062,11.246,False
59,40.758058,-8.577298,11.968,False
60,40.758939,-8.577533,13.433,False
61,40.759821,-8.577769,12.779,False
62,40.760702,-8.578004,13.914,False
63,40.761584,-8.57824,14.45,False
64,40.762465,-8.578475,16.049,False
65,40.763347,-8.578711,16.237,False
66,40.764228,-8.578946,16.251,False
67,40.76511,-8.579182,16.67,False
68,40.765991,-8.579417,15.209,False
69,40.766873,-8.579653,14.988,False
70,40.767754,-8.579888,16.381,False
71,40.768636,-8.580124,18.025,False
72,40.769517,-8.580359,21.111,False
73,40.770399,-8.580595,21.071,False
74,40.77128,-8.58083,21.749,False
75,40.772162,-8.581066,21.29,False
76,40.773043,-8.581301,19.944,False
77,40.773924,-8.581537,20.575,False
78,40.774806,-8.581772,23.467,False
79,40.775687,-8.582007,26.158,False
80,40.776569,-8.582243,24.046,False
81,40.77745,-8.582478,23.617,False
82,40.778332,-8.582714,22.598,False
83,40.779213,-8.582949,23.068,False
84,40.780095,-8.583185,28.92,False
85,40.780976,-8.58342,24.768,False
86,40.781858,-8.583656,22.245,False
87,40.782739,-8.583891,19.783,False
88,40.783621,-8.584127,20.212,False
89,40.784502,-8.584362,22.836,False
90,40.785384,-8.584598,23.936,False
91,40.786265,-8.584833,26.252,False
92,40.787147,-8.585069,29.303,False
93,40.788028,-8.585304,27.995,False
94,40.788909,-8.58554,27.25,False
95,40.789791,-8.585775,26.628,False
96,40.790672,-8.586011,21.876,False
97,40.791554,-8.586246,23.718,False
98,40.792435,-8.586482,23.966,False
99,40.793317,-8.586717,26.012,False
100,40.794198,-8.586953,26.894,False
101,40.79508,-8.587188,30.274,False
102,40.795961,-8.587424,27.281,False
103,40.796843,-8.587659,24.594,False
104,40.797724,-8.587895,21.996,False
105,40.798606,-8.58813,20.271,False
106,40.799487,-8.588366,18.752,False
107,40.800369,-8.588601,15.389,False
108,40.80125,-8.588837,15.133,False
109,40.802132,-8.589072,15.726,False
110,40.803013,-8.589308,17.102,False
111,40.803894,-8.589543,18.376,False
112,40.804776,-8.589779,14.963,False
113,40.805657,-8.590014,14.154,False
114,40.806539,-8.59025,14.51,False
115,40.80742,-8.590485,15.047,False
116,40.808302,-8.59072,14.965,False
117,40.809183,-8.590956,14.807,False
118,40.810065,-8.591191,14.981,False
119,40.810946,-8.591427,20.83,False
120,40.811828,-8.591662,20.648,False
121,40.812709,-8.591898,17.376,False
122,40.813591,-8.592133,19.16,False
123,40.814472,-8.592369,20.374,False
124,40.815354,-8.592604,17.051,False
125,40.816235,-8.59284,15.734,False
126,40.817117,-8.593075,14.801,False
127,40.817998,-8.593311,14.753,False
128,40.818879,-8.593546,16.319,False
129,40.819761,-8.593782,17.032,False
130,40.820642,-8.594017,16.388,False
