point_index,lat,lon,elevation_m,below_threshold
0,40.690675,-8.589156,4.692,False
1,40.690024,-8.589974,5.016,False
2,40.689391,-8.590817,5.557,False
3,40.688779,-8.591686,7.682,False
4,40.688193,-8.592585,11.071,False
5,40.687625,-8.593504,10.913,False
6,40.687066,-8.594433,9.355,False
7,40.686508,-8.595363,9.304,False
8,40.686432,-8.595531,9.263,False
9,40.687025,-8.59464,9.286,False
10,40.687619,-8.593748,10.149,False
11,40.688212,-8.592857,10.584,False
12,40.688805,-8.591965,7.238,False
13,40.689398,-8.591074,5.436,False
14,40.689992,-8.590183,4.729,False
15,40.690585,-8.589291,5.047,False
16,40.691234,-8.588472,2.292,True
17,40.691893,-8.587665,1.99,True
18,40.692553,-8.586859,3.844,False
19,40.693223,-8.586067,5.772,False
20,40.693892,-8.585275,4.693,False
21,40.694562,-8.584484,3.47,False
22,40.695232,-8.583692,3.472,False
23,40.695901,-8.5829,5.955,False
24,40.696571,-8.582109,5.39,False
25,40.697241,-8.581317,6.462,False
26,40.697911,-8.580525,7.188,False
27,40.69858,-8.579734,6.658,False
28,40.69925,-8.578942,5.668,False
29,40.69992,-8.57815,4.488,False
30,40.700583,-8.577349,3.256,False
31,40.701243,-8.576544,2.724,True
32,40.701904,-8.575739,2.828,True
33,40.702565,-8.574934,4.112,False
34,40.703224,-8.574128,4.738,False
35,40.703883,-8.573321,3.371,False
36,40.70437,-8.572725,2.674,True
37,40.70371,-8.57353,3.8,False
38,40.70305,-8.574336,4.759,False
39,40.70239,-8.575142,3.738,False
40,40.70173,-8.575947,2.493,True
41,40.70107,-8.576753,3.331,False
42,40.70041,-8.577559,3.475,False
43,40.69975,-8.578365,4.62,False
44,40.69909,-8.57917,6.315,False
45,40.69843,-8.579976,6.569,False
46,40.698836,-8.57991,7.234,False
47,40.699676,-8.579488,3.814,False
48,40.700517,-8.579066,3.131,False
49,40.701358,-8.578645,2.234,True
50,40.702198,-8.578223,1.396,True
51,40.703039,-8.577801,1.489,True
52,40.703879,-8.577379,1.952,True
53,40.70472,-8.576957,2.007,True
54,40.70556,-8.576535,1.106,True
55,40.706401,-8.576114,1.869,True
56,40.707241,-8.575692,3.513,False
57,40.708082,-8.57527,3.997,False
58,40.708923,-8.574848,3.929,False
59,40.709763,-8.574426,3.624,False
60,40.710604,-8.574004,3.8,False
61,40.711444,-8.573583,2.587,True
62,40.712285,-8.573161,1.863,True
63,40.713125,-8.572739,2.401,True
64,40.713966,-8.572317,2.72,True
65,40.714807,-8.571895,2.755,True
66,40.715647,-8.571473,3.07,False
67,40.716488,-8.571052,3.543,False
68,40.717328,-8.57063,2.012,True
69,40.718169,-8.570208,2.486,True
70,40.719009,-8.569786,2.019,True
71,40.71985,-8.569364,2.668,True
72,40.72069,-8.568942,3.292,False
73,40.721531,-8.568521,0.161,True
74,40.722372,-8.568099,-0.405,True
75,40.723212,-8.567677,1.17,True
76,40.724053,-8.567255,1.62,True
77,40.724893,-8.566833,0.907,True
78,40.725734,-8.566411,-0.368,True
79,40.726574,-8.56599,-0.3,True
80,40.727415,-8.565568,2.312,True
81,40.728256,-8.565146,4.062,False
82,40.729107,-8.564912,6.953,False
83,40.729987,-8.565159,6.39,False
84,40.730866,-8.565407,7.408,False
85,40.731744,-8.565665,6.189,False
86,40.732611,-8.565979,6.114,False
87,40.733463,-8.566359,6.9,False
88,40.734293,-8.566813,5.452,False
89,40.735107,-8.567318,4.445,False
90,40.735917,-8.567834,4.086,False
91,40.736727,-8.56835,4.425,False
92,40.737537,-8.568866,4.953,False
93,40.738347,-8.569382,6.059,False
94,40.739157,-8.569897,7.148,False
95,40.739968,-8.570412,7.658,False
96,40.740784,-8.570909,7.161,False
97,40.741617,-8.571355,5.96,False
98,40.742464,-8.571753,6.454,False
99,40.74332,-8.572117,5.49,False
100,40.744176,-8.572481,4.94,False
101,40.745032,-8.572845,4.343,False
102,40.745888,-8.573209,3.824,False
103,40.745637,-8.573562,3.883,False
104,40.744777,-8.573909,3.104,False
105,40.743917,-8.574256,2.459,True
106,40.743057,-8.574604,2.106,True
107,40.742197,-8.574951,1.314,True
108,40.741337,-8.575298,1.871,True
109,40.740477,-8.575646,1.08,True
110,40.739618,-8.575993,1.682,True
111,40.738758,-8.57634,2.187,True
112,40.737898,-8.576688,1.027,True
113,40.737038,-8.577035,1.264,True
114,40.736178,-8.577382,1.853,True
115,40.735318,-8.57773,1.773,True
116,40.734458,-8.578077,2.151,True
117,40.733598,-8.578424,1.739,True
118,40.732738,-8.578772,1.549,True
119,40.731878,-8.579119,1.523,True
120,40.731018,-8.579466,1.834,True
121,40.730158,-8.579814,2.064,True
122,40.729298,-8.580161,1.412,True
123,40.728438,-8.580508,0.934,True
124,40.727579,-8.580855,0.916,True
125,40.726719,-8.581203,0.147,True
126,40.725859,-8.58155,0.771,True
127,40.724999,-8.581897,0.591,True
128,40.724139,-8.582245,0.489,True
129,40.723279,-8.582592,0.272,True
130,40.722419,-8.582939,1.734,True
131,40.721559,-8.583287,1.908,True
132,40.720699,-8.583634,1.087,True
133,40.719839,-8.583981,1.04,True
134,40.718979,-8.584329,1.297,True
135,40.718119,-8.584676,2.973,True
136,40.717259,-8.585023,3.338,False
137,40.716399,-8.585371,2.556,True
138,40.71554,-8.585718,2.978,True
139,40.71468,-8.586065,3.301,False
140,40.71382,-8.586413,2.289,True
141,40.71296,-8.58676,2.364,True
142,40.7121,-8.587107,2.783,True
143,40.71124,-8.587455,1.382,True
144,40.71038,-8.587802,0.98,True
145,40.70952,-8.588149,1.738,True
146,40.70866,-8.588497,1.396,True
147,40.7078,-8.588844,2.863,True
148,40.70694,-8.589191,3.904,False
149,40.70608,-8.589538,2.683,True
150,40.70522,-8.589886,2.81,True
151,40.70436,-8.590233,3.623,False
152,40.703501,-8.59058,4.151,False
153,40.702641,-8.590928,4.423,False
