idx,lat,lon,elev_m,below_threshold
0,40.862201,-8.615509,18.79,False
1,40.861453,-8.614849,15.559,False
2,40.860753,-8.614103,13.952,False
3,40.860236,-8.613382,13.129,False
4,40.861126,-8.61355,15.046,False
5,40.862016,-8.613718,19.06,False
6,40.862907,-8.613886,20.623,False
7,40.863797,-8.614054,21.032,False
8,40.864687,-8.614222,21.922,False
9,40.865578,-8.61439,21.637,False
10,40.866468,-8.614558,21.721,False
11,40.867358,-8.614726,21.701,False
12,40.868249,-8.614894,18.495,False
13,40.869139,-8.615062,17.399,False
14,40.870029,-8.61523,18.812,False
15,40.87092,-8.615398,20.16,False
16,40.87181,-8.615566,20.619,False
17,40.8727,-8.615734,22.167,False
18,40.87359,-8.615902,24.141,False
19,40.874481,-8.61607,24.987,False
20,40.875371,-8.616238,25.915,False
21,40.876261,-8.616406,23.529,False
22,40.877152,-8.616574,26.005,False
23,40.878042,-8.616742,32.42,False
24,40.878932,-8.61691,31.654,False
25,40.879823,-8.617078,30.534,False
26,40.880713,-8.617246,29.438,False
27,40.881603,-8.617414,29.438,False
28,40.882494,-8.617582,30.376,False
29,40.883384,-8.61775,28.908,False
30,40.884274,-8.617918,29.605,False
31,40.885165,-8.618086,34.174,False
32,40.886055,-8.618254,36.52,False
33,40.886945,-8.618422,37.241,False
34,40.887836,-8.61859,35.736,False
35,40.888726,-8.618758,34.393,False
36,40.889616,-8.618926,34.36,False
37,40.890507,-8.619094,34.011,False
38,40.891397,-8.619262,33.743,False
39,40.892287,-8.61943,32.981,False
40,40.893178,-8.619598,30.549,False
41,40.894068,-8.619766,30.153,False
42,40.894958,-8.619934,31.202,False
43,40.895849,-8.620102,32.124,False
44,40.896739,-8.620269,32.172,False
45,40.897629,-8.620437,31.097,False
46,40.89852,-8.620605,29.761,False
47,40.89941,-8.620773,30.41,False
48,40.9003,-8.620941,33.273,False
49,40.90119,-8.621109,34.231,False
50,40.902081,-8.621277,34.648,False
51,40.902971,-8.621445,34.662,False
52,40.903861,-8.621613,31.951,False
53,40.904752,-8.621781,28.67,False
54,40.905642,-8.621949,29.6,False
55,40.906532,-8.622117,27.141,False
56,40.907423,-8.622285,26.081,False
57,40.908313,-8.622453,25.092,False
58,40.909203,-8.622621,26.023,False
59,40.910094,-8.622789,34.358,False
60,40.910984,-8.622957,33.79,False
61,40.911874,-8.623125,25.185,False
62,40.912765,-8.623293,24.323,False
63,40.913655,-8.623461,24.095,False
64,40.914545,-8.623629,24.393,False
65,40.915436,-8.623797,26.178,False
66,40.916326,-8.623965,28.712,False
67,40.917216,-8.624133,26.262,False
68,40.918107,-8.624301,21.06,False
69,40.918997,-8.624469,18.948,False
70,40.919887,-8.624637,19.789,False
71,40.920778,-8.624805,18.523,False
72,40.921668,-8.624973,17.967,False
73,40.922558,-8.625141,17.247,False
74,40.923449,-8.625309,16.436,False
75,40.924339,-8.625477,15.706,False
76,40.925229,-8.625645,13.96,False
77,40.92612,-8.625813,14.819,False
78,40.92701,-8.625981,19.407,False
79,40.9279,-8.626149,21.058,False
80,40.92879,-8.626317,18.694,False
81,40.929681,-8.626485,16.659,False
82,40.930571,-8.626653,18.18,False
83,40.931461,-8.626821,18.604,False
84,40.932352,-8.626989,19.675,False
85,40.933242,-8.627157,17.61,False
86,40.934132,-8.627325,18.718,False
87,40.935023,-8.627493,21.899,False
88,40.935913,-8.627661,20.969,False
89,40.936803,-8.627829,19.661,False
90,40.937694,-8.627997,20.768,False
91,40.938584,-8.628165,20.299,False
92,40.939474,-8.628333,17.339,False
93,40.940365,-8.628501,13.929,False
94,40.941255,-8.628669,13.211,False
95,40.942145,-8.628837,15.014,False
96,40.943036,-8.629005,18.242,False
97,40.943926,-8.629173,14.957,False
98,40.944816,-8.629341,15.16,False
99,40.945707,-8.629509,16.612,False
100,40.946597,-8.629677,15.006,False
101,40.947487,-8.629845,17.284,False
102,40.948378,-8.630013,21.452,False
103,40.949268,-8.630181,18.293,False
104,40.950158,-8.630349,15.587,False
105,40.951049,-8.630517,14.454,False
106,40.951939,-8.630685,14.369,False
107,40.952829,-8.630853,13.419,False
108,40.953719,-8.631021,12.437,False
109,40.95461,-8.631189,14.652,False
110,40.9555,-8.631357,14.711,False
111,40.95639,-8.631525,14.139,False
112,40.957281,-8.631693,16.279,False
113,40.958171,-8.631861,15.88,False
114,40.959061,-8.632029,15.883,False
115,40.959952,-8.632197,16.614,False
116,40.960842,-8.632365,17.191,False
117,40.961732,-8.632533,16.943,False
118,40.962623,-8.632701,16.72,False
119,40.963513,-8.632869,17.398,False
120,40.964403,-8.633037,18.488,False
121,40.965294,-8.633205,15.365,False
122,40.966184,-8.633373,13.521,False
123,40.967074,-8.633541,11.98,False
124,40.967965,-8.633709,12.062,False
125,40.968855,-8.633877,12.479,False
126,40.969745,-8.634045,14.597,False
127,40.970636,-8.634213,14.105,False
128,40.971526,-8.634381,12.766,False
129,40.972416,-8.634549,12.379,False
130,40.973307,-8.634717,11.798,False
131,40.974197,-8.634885,13.265,False
132,40.975087,-8.635053,14.74,False
133,40.975978,-8.635221,13.2,False
134,40.976868,-8.635389,10.815,False
135,40.977758,-8.635557,9.207,False
136,40.978649,-8.635725,11.55,False
137,40.979539,-8.635893,12.912,False
138,40.980429,-8.636061,14.492,False
139,40.981319,-8.636229,13.516,False
140,40.98221,-8.636397,14.603,False
141,40.9831,-8.636565,13.948,False
142,40.98399,-8.636733,13.785,False
143,40.984881,-8.636901,14.079,False
144,40.985771,-8.637069,12.094,False
145,40.986661,-8.637237,11.315,False
146,40.987552,-8.637405,10.368,False
147,40.988442,-8.637573,11.355,False
148,40.989332,-8.637741,11.801,False
149,40.990223,-8.637909,11.947,False
150,40.991113,-8.638077,11.556,False
151,40.992003,-8.638245,11.489,False
152,40.992894,-8.638413,12.172,False
153,40.993784,-8.638581,13.26,False
154,40.994674,-8.638749,13.461,False
155,40.995565,-8.638917,12.462,False
156,40.996455,-8.639085,12.059,False
157,40.997345,-8.639253,11.763,False
158,40.998236,-8.639421,11.765,False
159,40.999126,-8.639589,12.593,False
160,41.000016,-8.639757,13.325,False
161,41.000907,-8.639925,14.816,False
162,41.001797,-8.640093,17.455,False
163,41.002687,-8.640261,17.649,False
164,41.003578,-8.640429,18.474,False
165,41.004468,-8.640597,19.018,False
166,41.005358,-8.640765,19.235,False
167,41.006249,-8.640933,18.345,False
168,41.007139,-8.641101,20.162,False
169,41.008029,-8.641269,20.245,False
170,41.008919,-8.641437,18.823,False
171,41.00981,-8.641605,18.865,False
172,41.0107,-8.641773,17.542,False
173,41.01159,-8.641941,14.731,False
174,41.012481,-8.642109,13.484,False
175,41.013371,-8.642277,11.27,False
176,41.014261,-8.642445,6.768,False
177,41.015152,-8.642613,6.453,False
178,41.016033,-8.642658,5.802,False
179,41.016902,-8.642355,4.961,False
180,41.017794,-8.642221,7.393,False
181,41.018693,-8.642252,8.933,False
182,41.019578,-8.642457,8.935,False
183,41.020443,-8.64278,8.229,False
184,41.021309,-8.6431,9.028,False
185,41.022192,-8.643325,7.7,False
186,41.023079,-8.64352,6.179,False
187,41.023967,-8.643714,6.094,False
188,41.024855,-8.643904,5.627,False
189,41.02575,-8.64401,5.142,False
190,41.026649,-8.644001,6.689,False
191,41.027548,-8.643989,8.379,False
192,41.028447,-8.644031,9.519,False
193,41.02934,-8.644163,9.252,False
194,41.030225,-8.644378,8.996,False
195,41.031099,-8.644659,6.835,False
196,41.031971,-8.64495,6.207,False
197,41.032843,-8.645242,8.124,False
198,41.033715,-8.645533,8.778,False
199,41.034586,-8.645827,9.129,False
200,41.035458,-8.646121,9.853,False
201,41.03633,-8.646414,10.916,False
202,41.037202,-8.646706,11.361,False
203,41.036568,-8.646682,10.68,False
204,41.035671,-8.646602,9.089,False
205,41.034774,-8.646523,7.262,False
206,41.033877,-8.646443,5.208,False
207,41.032979,-8.646363,2.691,True
208,41.032082,-8.646283,2.611,True
209,41.031185,-8.646203,2.75,True
210,41.030287,-8.646124,1.865,True
211,41.02939,-8.646044,1.239,True
212,41.028493,-8.645964,1.815,True
