idx,lat,lon,elev_m,below_threshold
0,38.887071,-9.037125,8.008,False
1,38.8857,-9.038621,5.146,False
2,38.884315,-9.040095,4.393,True
3,38.88289,-9.041504,6.51,False
4,38.881506,-9.04298,5.77,False
5,38.880135,-9.044475,4.527,True
6,38.878761,-9.045966,2.643,True
7,38.877388,-9.047459,3.364,True
8,38.876016,-9.048953,1.698,True
9,38.874646,-9.05045,1.543,True
10,38.873265,-9.051929,8.348,False
11,38.871664,-9.052893,5.059,False
12,38.869947,-9.053578,5.71,False
13,38.868229,-9.054263,8.731,False
14,38.866512,-9.054948,7.103,False
15,38.864794,-9.055633,5.76,False
16,38.863077,-9.056319,7.572,False
17,38.861359,-9.057004,2.536,True
18,38.859641,-9.057689,2.628,True
19,38.857924,-9.058374,0.77,True
20,38.856206,-9.059059,1.964,True
21,38.854489,-9.059744,0.97,True
22,38.852771,-9.060429,0.415,True
23,38.851054,-9.061114,-1.335,True
24,38.849336,-9.0618,-0.788,True
25,38.847618,-9.062485,-0.19,True
26,38.845901,-9.06317,-2.733,True
27,38.844183,-9.063855,-2.23,True
28,38.842466,-9.06454,-0.901,True
29,38.840748,-9.065225,-0.493,True
30,38.839031,-9.06591,-0.033,True
31,38.837313,-9.066595,-1.989,True
32,38.835595,-9.067281,-0.06,True
33,38.833878,-9.067966,-0.005,True
34,38.83216,-9.068651,-0.611,True
35,38.830443,-9.069336,2.002,True
36,38.828725,-9.070021,1.483,True
37,38.827008,-9.070706,-0.356,True
38,38.82529,-9.071391,0.075,True
39,38.823572,-9.072076,0.0,True
40,38.821855,-9.072762,9.06,False
41,38.820137,-9.073447,11.6,False
42,38.81842,-9.074132,16.042,False
43,38.816702,-9.074817,13.593,False
44,38.814985,-9.075502,0.0,True
45,38.813267,-9.076187,6.511,False
46,38.811549,-9.076872,6.977,False
47,38.809832,-9.077557,8.591,False
48,38.808114,-9.078243,21.12,False
49,38.806397,-9.078928,17.72,False
50,38.804679,-9.079613,19.16,False
51,38.802962,-9.080298,20.854,False
52,38.801244,-9.080983,30.651,False
53,38.799526,-9.081668,26.383,False
54,38.797809,-9.082353,28.571,False
55,38.796091,-9.083038,26.965,False
56,38.794374,-9.083724,27.853,False
57,38.792656,-9.084409,18.11,False
58,38.790939,-9.085094,23.82,False
59,38.789221,-9.085779,26.541,False
60,38.787503,-9.086464,25.874,False
61,38.785786,-9.087149,29.045,False
62,38.784068,-9.087834,27.712,False
63,38.782351,-9.088519,26.102,False
64,38.780633,-9.089205,27.85,False
65,38.778916,-9.08989,27.407,False
66,38.777198,-9.090575,25.781,False
67,38.77548,-9.09126,26.247,False
68,38.773763,-9.091945,22.908,False
69,38.772045,-9.09263,18.819,False
70,38.770328,-9.093315,28.953,False
71,38.76861,-9.094,29.731,False
72,38.766893,-9.094686,32.87,False
73,38.765175,-9.095371,28.219,False
74,38.763457,-9.096056,30.998,False
75,38.76174,-9.096741,28.076,False
76,38.760022,-9.097426,23.108,False
77,38.758305,-9.098111,21.529,False
78,38.756587,-9.098796,22.342,False
79,38.75487,-9.099481,11.27,False
80,38.753152,-9.100167,9.73,False
81,38.751434,-9.100852,8.679,False
82,38.749717,-9.101537,11.967,False
83,38.747999,-9.102222,10.449,False
84,38.746282,-9.102907,15.638,False
85,38.744564,-9.103592,16.644,False
86,38.742847,-9.104277,7.704,False
87,38.741129,-9.104962,12.643,False
88,38.739411,-9.105648,9.83,False
89,38.737694,-9.106333,5.518,False
90,38.735976,-9.107018,0.361,True
91,38.734479,-9.107606,0.0,True
92,38.736183,-9.106873,0.0,True
93,38.737908,-9.106219,0.119,True
94,38.739632,-9.105563,1.073,True
95,38.741357,-9.104908,0.242,True
96,38.743084,-9.104265,0.948,True
97,38.744821,-9.103664,0.709,True
98,38.746558,-9.103064,0.059,True
99,38.748294,-9.102464,-1.065,True
100,38.750031,-9.101864,1.145,True
101,38.751768,-9.101264,3.314,True
102,38.753505,-9.100664,5.105,False
103,38.755242,-9.100064,7.025,False
104,38.756978,-9.099464,10.037,False
105,38.758715,-9.098864,10.051,False
106,38.760452,-9.098264,8.849,False
107,38.762189,-9.097664,6.873,False
108,38.763925,-9.097064,7.771,False
109,38.765662,-9.096463,9.758,False
110,38.767399,-9.095863,8.286,False
111,38.769136,-9.095263,4.935,True
112,38.770873,-9.094663,8.264,False
113,38.772609,-9.094063,10.768,False
114,38.774346,-9.093463,10.305,False
115,38.776083,-9.092863,8.911,False
116,38.77782,-9.092263,9.516,False
117,38.779557,-9.091663,5.01,False
118,38.781293,-9.091063,7.493,False
119,38.78303,-9.090463,4.792,True
120,38.784767,-9.089863,2.541,True
121,38.786504,-9.089262,5.46,False
122,38.78824,-9.088662,5.249,False
123,38.789977,-9.088062,2.654,True
124,38.791714,-9.087462,9.806,False
125,38.793451,-9.086862,2.299,True
126,38.795188,-9.086262,1.053,True
127,38.796924,-9.085662,0.047,True
128,38.798661,-9.085062,-0.025,True
129,38.800398,-9.084462,3.285,True
130,38.802135,-9.083862,2.058,True
131,38.803871,-9.083262,3.11,True
132,38.805608,-9.082661,1.672,True
133,38.807345,-9.082061,2.744,True
134,38.809082,-9.081461,1.77,True
135,38.810819,-9.080861,-0.023,True
136,38.812555,-9.080261,0.165,True
137,38.814292,-9.079661,-0.229,True
138,38.816029,-9.079061,1.001,True
139,38.817766,-9.078461,1.082,True
140,38.819502,-9.077861,2.172,True
141,38.821239,-9.077261,2.919,True
142,38.822976,-9.076661,2.879,True
143,38.824713,-9.076061,3.152,True
144,38.82645,-9.07546,6.57,False
145,38.828186,-9.07486,15.649,False
146,38.829923,-9.07426,18.782,False
147,38.83166,-9.07366,7.924,False
148,38.833397,-9.07306,11.167,False
149,38.835134,-9.07246,9.017,False
150,38.83687,-9.07186,8.751,False
151,38.838607,-9.07126,12.785,False
152,38.840344,-9.07066,13.283,False
153,38.842081,-9.07006,12.582,False
154,38.843817,-9.06946,16.107,False
155,38.845554,-9.06886,17.922,False
156,38.847291,-9.068259,18.65,False
157,38.849028,-9.067659,21.737,False
158,38.850765,-9.067059,21.374,False
159,38.852501,-9.066459,22.932,False
160,38.854238,-9.065859,22.95,False
161,38.855975,-9.065259,21.186,False
162,38.857712,-9.064659,25.541,False
163,38.858987,-9.064379,23.578,False
164,38.857746,-9.066047,21.884,False
165,38.856603,-9.06783,18.69,False
166,38.855466,-9.06962,14.185,False
167,38.854193,-9.071248,15.28,False
168,38.852758,-9.072637,16.182,False
169,38.851196,-9.07378,15.517,False
170,38.849605,-9.074856,15.75,False
171,38.848002,-9.075904,15.065,False
172,38.846376,-9.076891,14.998,False
173,38.844734,-9.077834,8.603,False
174,38.843087,-9.078762,14.422,False
175,38.841442,-9.079696,13.716,False
176,38.839779,-9.080555,15.386,False
177,38.838017,-9.081023,16.584,False
178,38.836256,-9.081491,17.227,False
179,38.834495,-9.08196,20.298,False
180,38.832734,-9.082428,27.508,False
181,38.830972,-9.082896,27.212,False
182,38.829211,-9.083365,34.315,False
183,38.82745,-9.083833,39.118,False
184,38.825689,-9.084301,39.668,False
185,38.823927,-9.084769,39.919,False
186,38.822166,-9.085238,39.981,False
187,38.820405,-9.085706,32.088,False
188,38.818644,-9.086174,31.4,False
189,38.816882,-9.086642,29.701,False
190,38.815121,-9.087111,40.756,False
191,38.81336,-9.087579,41.625,False
192,38.811599,-9.088047,42.491,False
