idx,lat,lon,elev_m,below_threshold
0,39.084407,-8.83585,6.31,False
1,39.08479,-8.833586,15.618,False
2,39.085355,-8.831387,16.562,False
3,39.08609,-8.829273,16.326,False
4,39.085955,-8.830065,17.199,False
5,39.085382,-8.832261,20.163,False
6,39.084809,-8.834458,14.939,False
7,39.084438,-8.835734,7.558,False
8,39.085022,-8.833543,17.666,False
9,39.085605,-8.831351,18.632,False
10,39.086189,-8.829159,17.134,False
11,39.086911,-8.82704,12.278,False
12,39.087769,-8.825005,11.674,False
13,39.088718,-8.823037,7.513,False
14,39.089594,-8.821014,10.133,False
15,39.090286,-8.818877,5.708,False
16,39.090763,-8.816644,8.003,False
17,39.091031,-8.814354,7.116,False
18,39.091177,-8.812044,7.457,False
19,39.091403,-8.809747,9.584,False
20,39.091843,-8.807501,9.173,False
21,39.092373,-8.80566,6.973,False
22,39.091503,-8.807688,7.674,False
23,39.090634,-8.809716,6.644,False
24,39.089764,-8.811744,4.215,True
25,39.088894,-8.813772,4.916,True
26,39.088025,-8.8158,3.219,True
27,39.087155,-8.817828,3.274,True
28,39.086285,-8.819856,3.376,True
29,39.085415,-8.821884,2.709,True
30,39.084546,-8.823911,2.616,True
31,39.083676,-8.825939,4.862,True
32,39.082806,-8.827967,4.997,True
33,39.081937,-8.829995,5.049,False
34,39.081067,-8.832023,5.499,False
35,39.080197,-8.834051,4.19,True
36,39.079328,-8.836079,4.726,True
37,39.078458,-8.838107,2.429,True
38,39.077588,-8.840135,2.311,True
39,39.076718,-8.842163,3.044,True
40,39.075849,-8.844191,4.048,True
41,39.074979,-8.846219,4.379,True
42,39.074109,-8.848247,4.673,True
43,39.07324,-8.850275,4.066,True
44,39.07237,-8.852302,2.946,True
45,39.0715,-8.85433,2.949,True
46,39.070631,-8.856358,3.006,True
47,39.069761,-8.858386,3.516,True
48,39.068891,-8.860414,3.327,True
49,39.068021,-8.862442,2.653,True
50,39.067152,-8.86447,4.072,True
51,39.066282,-8.866498,3.411,True
52,39.065412,-8.868526,4.335,True
53,39.064543,-8.870554,3.583,True
54,39.063673,-8.872582,3.961,True
55,39.062803,-8.87461,2.419,True
56,39.061933,-8.876638,2.454,True
57,39.061064,-8.878666,2.588,True
58,39.060194,-8.880694,1.076,True
59,39.059324,-8.882721,2.402,True
60,39.058455,-8.884749,4.199,True
61,39.057585,-8.886777,4.815,True
62,39.056715,-8.888805,3.293,True
63,39.055846,-8.890833,5.193,False
64,39.054976,-8.892861,3.739,True
65,39.054106,-8.894889,4.206,True
66,39.053236,-8.896917,4.767,True
67,39.052367,-8.898945,6.545,False
68,39.051497,-8.900973,4.973,True
69,39.051036,-8.902131,5.027,False
70,39.052029,-8.9002,7.916,False
71,39.05302,-8.898267,7.85,False
72,39.053987,-8.896315,5.356,False
73,39.054948,-8.894356,5.334,False
74,39.055899,-8.892391,4.432,True
75,39.056851,-8.890425,5.48,False
76,39.057802,-8.888459,4.927,True
77,39.058753,-8.886493,6.014,False
78,39.059705,-8.884527,7.877,False
79,39.060656,-8.882562,5.057,False
80,39.061616,-8.880603,2.601,True
81,39.062584,-8.878651,2.351,True
82,39.063518,-8.87667,3.099,True
83,39.064451,-8.87469,6.231,False
84,39.065384,-8.872709,3.706,True
85,39.066317,-8.870729,5.542,False
86,39.067251,-8.868748,6.532,False
87,39.068184,-8.866768,9.437,False
88,39.069117,-8.864787,6.76,False
89,39.070051,-8.862806,4.809,True
90,39.070984,-8.860826,3.038,True
91,39.071917,-8.858845,4.477,True
92,39.07285,-8.856865,2.78,True
93,39.073784,-8.854884,2.814,True
94,39.074717,-8.852903,3.589,True
95,39.07565,-8.850923,4.71,True
96,39.076583,-8.848942,5.053,False
97,39.077517,-8.846962,5.547,False
98,39.07845,-8.844981,4.698,True
99,39.079383,-8.843001,3.088,True
100,39.080316,-8.84102,4.094,True
101,39.08125,-8.839039,4.976,True
102,39.082183,-8.837059,4.505,True
103,39.083116,-8.835078,6.443,False
104,39.084049,-8.833098,5.132,False
105,39.084983,-8.831117,11.812,False
106,39.085916,-8.829136,14.05,False
107,39.086622,-8.827701,12.508,False
108,39.085857,-8.829799,15.467,False
109,39.085154,-8.83193,16.56,False
110,39.084644,-8.834151,14.29,False
111,39.08452,-8.835277,11.686,False
112,39.0851,-8.833084,18.112,False
113,39.085681,-8.830891,17.119,False
114,39.086261,-8.828697,15.627,False
115,39.086842,-8.826504,9.988,False
116,39.087422,-8.824311,7.461,False
117,39.088003,-8.822118,3.433,True
118,39.088583,-8.819924,3.011,True
119,39.089164,-8.817731,3.687,True
120,39.089745,-8.815538,3.769,True
121,39.090325,-8.813344,4.914,True
122,39.090906,-8.811151,6.987,False
123,39.091486,-8.808958,9.626,False
124,39.092067,-8.806765,8.892,False
125,39.092117,-8.806374,8.463,False
126,39.091566,-8.808579,9.242,False
127,39.09123,-8.810853,8.62,False
128,39.091071,-8.813161,6.732,False
129,39.09089,-8.815467,8.604,False
130,39.090519,-8.817733,7.768,False
131,39.089939,-8.819924,7.555,False
132,39.089148,-8.822004,9.311,False
133,39.088213,-8.823983,9.429,False
134,39.087287,-8.825969,11.543,False
135,39.086542,-8.828074,13.988,False
136,39.085932,-8.830254,17.492,False
137,39.085323,-8.832435,20.003,False
138,39.084713,-8.834615,13.807,False
139,39.084221,-8.836836,6.37,False
140,39.083832,-8.839098,5.786,False
141,39.083271,-8.841298,6.287,False
