idx,lat,lon,elev_m,below_threshold
0,39.218121,-8.682821,17.508,False
1,39.219078,-8.680866,18.244,False
2,39.220442,-8.679361,17.959,False
3,39.222059,-8.678362,28.189,False
4,39.223748,-8.677565,25.559,False
5,39.225489,-8.676984,24.742,False
6,39.227235,-8.676428,24.81,False
7,39.228871,-8.675474,17.423,False
8,39.230507,-8.674521,14.346,False
9,39.232004,-8.673235,4.589,True
10,39.233495,-8.671935,4.613,True
11,39.234987,-8.670634,4.656,True
12,39.236478,-8.669334,6.348,False
13,39.237969,-8.668034,7.728,False
14,39.23946,-8.666734,7.664,False
15,39.240952,-8.665433,8.324,False
16,39.242443,-8.664133,7.542,False
17,39.243934,-8.662833,7.366,False
18,39.245426,-8.661532,10.092,False
19,39.246917,-8.660232,8.52,False
20,39.248408,-8.658932,7.863,False
21,39.2499,-8.657631,9.558,False
22,39.251391,-8.656331,8.019,False
23,39.252882,-8.655031,9.002,False
24,39.254374,-8.653731,8.17,False
25,39.255865,-8.65243,8.965,False
26,39.257356,-8.65113,8.818,False
27,39.258848,-8.64983,9.443,False
28,39.260339,-8.648529,10.361,False
29,39.26183,-8.647229,9.323,False
30,39.263322,-8.645929,10.597,False
31,39.264813,-8.644628,10.437,False
32,39.266304,-8.643328,9.62,False
33,39.267796,-8.642028,9.99,False
34,39.269287,-8.640727,10.894,False
35,39.270778,-8.639427,10.923,False
36,39.27227,-8.638127,10.832,False
37,39.273761,-8.636827,11.442,False
38,39.275252,-8.635526,11.121,False
39,39.276743,-8.634226,11.157,False
40,39.278235,-8.632926,10.252,False
41,39.279726,-8.631625,10.941,False
42,39.281217,-8.630325,10.776,False
43,39.282709,-8.629025,11.242,False
44,39.2842,-8.627724,13.227,False
45,39.285691,-8.626424,15.409,False
46,39.287183,-8.625124,19.515,False
47,39.288674,-8.623824,21.093,False
48,39.290165,-8.622523,25.318,False
49,39.291657,-8.621223,24.372,False
50,39.293148,-8.619923,31.372,False
51,39.294639,-8.618622,42.944,False
52,39.296131,-8.617322,43.732,False
53,39.297622,-8.616022,36.797,False
54,39.299113,-8.614721,8.145,False
