idx,lat,lon,elev_m,below_threshold,flood_zone
0,38.887071,-9.037125,8.008,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
1,38.886728,-9.037499,7.267,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
2,38.886385,-9.037873,6.526,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
3,38.886043,-9.038247,6.47,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
4,38.8857,-9.038621,5.146,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
5,38.885357,-9.038995,3.628,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
6,38.885015,-9.03937,2.706,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
7,38.884668,-9.039737,2.822,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
8,38.884315,-9.040095,4.393,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
9,38.883959,-9.040448,5.714,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
10,38.883604,-9.040802,6.071,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
11,38.883247,-9.041154,6.602,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
12,38.88289,-9.041504,6.51,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
13,38.882539,-9.041866,5.412,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
14,38.882195,-9.042237,5.05,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
15,38.881851,-9.042609,5.201,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
16,38.881506,-9.04298,5.77,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
17,38.881163,-9.043354,5.507,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
18,38.880822,-9.043729,4.947,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
19,38.88048,-9.044105,5.821,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
20,38.880135,-9.044475,4.527,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
21,38.879791,-9.044847,3.303,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
22,38.879448,-9.04522,2.182,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
23,38.879104,-9.045593,2.136,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
24,38.878761,-9.045966,2.643,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
25,38.878418,-9.04634,3.482,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
26,38.878075,-9.046713,3.861,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
27,38.877731,-9.047086,3.465,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
28,38.877388,-9.047459,3.364,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
29,38.877045,-9.047832,3.672,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
30,38.876702,-9.048205,3.4,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
31,38.876359,-9.048579,2.538,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
32,38.876016,-9.048953,1.698,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
33,38.875674,-9.049328,1.173,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
34,38.875332,-9.049703,1.138,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
35,38.87499,-9.050077,1.127,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
36,38.874646,-9.05045,1.543,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
37,38.874301,-9.05082,3.625,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
38,38.873956,-9.051191,4.789,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
39,38.873612,-9.051562,7.456,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
40,38.873265,-9.051929,8.348,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
41,38.872918,-9.052297,7.08,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
42,38.872556,-9.052639,5.059,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
43,38.872183,-9.05296,4.37,True,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
44,38.871809,-9.053282,7.89,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
45,38.871436,-9.053603,9.184,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
46,38.871062,-9.053925,9.566,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
47,38.870689,-9.054247,9.398,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
48,38.870315,-9.054568,8.998,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
49,38.869942,-9.05489,6.866,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
50,38.869568,-9.055211,6.103,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
51,38.869195,-9.055533,5.895,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
52,38.868821,-9.055854,8.752,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
53,38.868448,-9.056176,10.17,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
54,38.868074,-9.056498,9.0,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
55,38.867701,-9.056819,8.411,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
56,38.867327,-9.057141,8.944,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
57,38.866954,-9.057462,10.625,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
58,38.86658,-9.057784,10.619,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
59,38.866207,-9.058106,8.876,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
60,38.865833,-9.058427,7.666,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
61,38.86546,-9.058749,6.7,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
62,38.865086,-9.05907,6.496,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
63,38.864713,-9.059392,6.336,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
64,38.864339,-9.059714,6.806,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
65,38.863966,-9.060035,6.907,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
66,38.863592,-9.060357,7.29,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
67,38.863219,-9.060678,8.329,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
68,38.862845,-9.061,8.907,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
69,38.862472,-9.061322,9.844,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
70,38.862098,-9.061643,11.969,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
71,38.861725,-9.061965,14.147,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
72,38.861351,-9.062286,13.989,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
73,38.860978,-9.062608,13.818,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
74,38.860604,-9.062929,13.176,False,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
