idx,lat,lon,elev_m,below_threshold,flood_zone
0,39.084407,-8.83585,6.31,False,"Castanheira / Azambuja (events: 2022, 2026)"
1,39.084494,-8.835281,11.478,False,"Castanheira / Azambuja (events: 2022, 2026)"
2,39.084585,-8.834714,12.955,False,"Castanheira / Azambuja (events: 2022, 2026)"
3,39.084683,-8.834148,14.616,False,"Castanheira / Azambuja (events: 2022, 2026)"
4,39.08479,-8.833586,15.618,False,"Castanheira / Azambuja (events: 2022, 2026)"
5,39.084912,-8.833028,16.183,False,"Castanheira / Azambuja (events: 2022, 2026)"
6,39.085047,-8.832476,16.799,False,"Castanheira / Azambuja (events: 2022, 2026)"
7,39.085195,-8.831929,17.025,False,"Castanheira / Azambuja (events: 2022, 2026)"
8,39.085355,-8.831387,16.562,False,"Castanheira / Azambuja (events: 2022, 2026)"
9,39.085527,-8.830852,15.467,False,"Castanheira / Azambuja (events: 2022, 2026)"
10,39.085711,-8.830324,15.296,False,"Castanheira / Azambuja (events: 2022, 2026)"
11,39.085899,-8.829797,15.846,False,"Castanheira / Azambuja (events: 2022, 2026)"
12,39.08609,-8.829273,16.326,False,"Castanheira / Azambuja (events: 2022, 2026)"
13,39.086282,-8.828749,16.148,False,"Castanheira / Azambuja (events: 2022, 2026)"
14,39.086242,-8.828967,16.927,False,"Castanheira / Azambuja (events: 2022, 2026)"
15,39.086099,-8.829516,17.108,False,"Castanheira / Azambuja (events: 2022, 2026)"
16,39.085955,-8.830065,17.199,False,"Castanheira / Azambuja (events: 2022, 2026)"
17,39.085812,-8.830614,17.362,False,"Castanheira / Azambuja (events: 2022, 2026)"
18,39.085669,-8.831163,18.332,False,"Castanheira / Azambuja (events: 2022, 2026)"
19,39.085525,-8.831712,19.696,False,"Castanheira / Azambuja (events: 2022, 2026)"
20,39.085382,-8.832261,20.163,False,"Castanheira / Azambuja (events: 2022, 2026)"
21,39.085239,-8.83281,19.496,False,"Castanheira / Azambuja (events: 2022, 2026)"
22,39.085096,-8.83336,18.281,False,"Castanheira / Azambuja (events: 2022, 2026)"
23,39.084952,-8.833909,17.102,False,"Castanheira / Azambuja (events: 2022, 2026)"
24,39.084809,-8.834458,14.939,False,"Castanheira / Azambuja (events: 2022, 2026)"
25,39.084666,-8.835007,13.093,False,"Castanheira / Azambuja (events: 2022, 2026)"
26,39.084522,-8.835556,10.058,False,"Castanheira / Azambuja (events: 2022, 2026)"
27,39.084379,-8.836105,5.203,False,"Castanheira / Azambuja (events: 2022, 2026)"
28,39.084356,-8.835951,5.146,False,"Castanheira / Azambuja (events: 2022, 2026)"
29,39.084111,-8.836437,6.94,False,"Castanheira / Azambuja (events: 2022, 2026)"
30,39.083867,-8.836923,6.886,False,"Castanheira / Azambuja (events: 2022, 2026)"
31,39.083622,-8.837409,6.129,False,"Castanheira / Azambuja (events: 2022, 2026)"
32,39.083377,-8.837895,5.027,False,"Castanheira / Azambuja (events: 2022, 2026)"
33,39.083133,-8.838381,4.628,True,"Castanheira / Azambuja (events: 2022, 2026)"
34,39.082888,-8.838867,4.659,True,"Castanheira / Azambuja (events: 2022, 2026)"
35,39.082643,-8.839353,3.895,True,"Castanheira / Azambuja (events: 2022, 2026)"
36,39.082399,-8.839839,3.527,True,"Castanheira / Azambuja (events: 2022, 2026)"
37,39.082154,-8.840325,4.274,True,"Castanheira / Azambuja (events: 2022, 2026)"
38,39.081909,-8.840811,5.342,False,"Castanheira / Azambuja (events: 2022, 2026)"
39,39.081665,-8.841297,4.824,True,"Castanheira / Azambuja (events: 2022, 2026)"
40,39.08142,-8.841782,3.814,True,"Castanheira / Azambuja (events: 2022, 2026)"
41,39.081175,-8.842268,3.776,True,"Castanheira / Azambuja (events: 2022, 2026)"
42,39.080931,-8.842754,3.288,True,"Castanheira / Azambuja (events: 2022, 2026)"
43,39.080686,-8.84324,1.514,True,"Castanheira / Azambuja (events: 2022, 2026)"
44,39.080441,-8.843726,0.505,True,"Castanheira / Azambuja (events: 2022, 2026)"
45,39.080197,-8.844212,2.906,True,"Castanheira / Azambuja (events: 2022, 2026)"
46,39.079952,-8.844698,5.043,False,"Castanheira / Azambuja (events: 2022, 2026)"
47,39.079707,-8.845184,5.838,False,"Castanheira / Azambuja (events: 2022, 2026)"
48,39.079463,-8.84567,5.162,False,"Castanheira / Azambuja (events: 2022, 2026)"
49,39.079218,-8.846156,4.069,True,"Castanheira / Azambuja (events: 2022, 2026)"
50,39.078973,-8.846642,3.249,True,"Castanheira / Azambuja (events: 2022, 2026)"
51,39.078728,-8.847127,3.331,True,"Castanheira / Azambuja (events: 2022, 2026)"
52,39.078484,-8.847613,4.025,True,"Castanheira / Azambuja (events: 2022, 2026)"
53,39.078239,-8.848099,4.425,True,"Castanheira / Azambuja (events: 2022, 2026)"
