section,lat,lon,elev_m,flood_zone
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.877251,-9.040933,-2.321,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.856501,-9.055981,-1.439,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.856892,-9.055698,-1.348,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.847496,-9.062512,-1.265,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.878139,-9.043611,-1.256,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.87047,-9.046586,-1.251,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.847887,-9.062228,-1.211,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881181,-9.041144,-1.18,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.87686,-9.041216,-1.168,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.878232,-9.043733,-1.084,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.88195,-9.037525,-1.023,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.882868,-9.037208,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.883256,-9.036915,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.883643,-9.036622,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.884031,-9.036329,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.882733,-9.036957,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.883124,-9.036673,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.883516,-9.036389,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.883907,-9.036106,-1.0,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.882341,-9.037241,-0.984,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.882481,-9.037501,-0.981,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.877444,-9.041311,-0.868,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.882094,-9.037794,-0.803,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.877643,-9.040649,-0.756,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.80907,-9.090701,-0.753,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.870204,-9.046044,-0.712,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881558,-9.037809,-0.7,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881412,-9.041573,-0.692,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.87852,-9.043303,-0.686,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822515,-9.084693,-0.623,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.878212,-9.044001,-0.586,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.869812,-9.046327,-0.551,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.810465,-9.091555,-0.529,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.884418,-9.036036,-0.508,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822424,-9.084879,-0.502,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881561,-9.040836,-0.502,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.856109,-9.056265,-0.481,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.808735,-9.090622,-0.457,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.847104,-9.062796,-0.45,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.857284,-9.055414,-0.431,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.877057,-9.041604,-0.418,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.849845,-9.060809,-0.414,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822636,-9.08493,-0.349,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.880801,-9.041452,-0.319,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822836,-9.084648,-0.303,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.884299,-9.035822,-0.3,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822917,-9.084435,-0.271,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.824073,-9.083958,-0.255,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.808672,-9.090971,-0.253,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.806047,-9.089523,-0.253,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.848386,-9.06329,-0.233,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.878605,-9.043721,-0.233,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.823722,-9.08392,-0.222,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881167,-9.038093,-0.208,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.870595,-9.04576,-0.208,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822195,-9.085043,-0.186,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.822338,-9.085192,-0.18,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.878629,-9.043463,-0.158,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.823661,-9.084188,-0.152,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.881809,-9.041304,-0.146,"Póvoa de Santa Iria (events: 2008, 2010, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.806487,-9.089406,-0.142,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
