section,lat,lon,elev_m,flood_zone
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687535,-8.949908,1.004,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687126,-8.950147,1.297,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688423,-8.951149,1.345,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687899,-8.950654,1.377,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687487,-8.950886,1.494,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687945,-8.949669,1.62,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687594,-8.951596,1.758,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688009,-8.951372,1.808,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688311,-8.950423,2.122,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688354,-8.949431,2.15,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688838,-8.950925,2.166,Bridge south approach viaduct (structural SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.688723,-8.950191,2.255,Bridge south approach viaduct (structural SLR exposure)
C — Rail south approach: bridge end → Coina (~15 km),38.645727,-8.992128,2.307,Rail south approach (Fertagus) (tidal/SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.687076,-8.951117,2.401,Bridge south approach viaduct (structural SLR exposure)
C — Rail south approach: bridge end → Coina (~15 km),38.645826,-8.992689,2.43,Rail south approach (Fertagus) (tidal/SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.686717,-8.950386,2.673,Bridge south approach viaduct (structural SLR exposure)
C — Rail south approach: bridge end → Coina (~15 km),38.645627,-8.991566,2.805,Rail south approach (Fertagus) (tidal/SLR exposure)
A — Road viaduct: bridge south end → Alcochete (~5 km),38.68718,-8.95182,2.831,Bridge south approach viaduct (structural SLR exposure)
