idx,lat,lon,elev_m,below_threshold,flood_zone,note
0,38.69986,-8.940734,22.846,False,Bridge south approach viaduct (structural SLR exposure),
1,38.699417,-8.940634,23.891,False,Bridge south approach viaduct (structural SLR exposure),
2,38.698975,-8.94053,24.599,False,Bridge south approach viaduct (structural SLR exposure),
3,38.698534,-8.940421,24.634,False,Bridge south approach viaduct (structural SLR exposure),
4,38.698096,-8.940288,25.027,False,Bridge south approach viaduct (structural SLR exposure),
5,38.697659,-8.940154,25.543,False,Bridge south approach viaduct (structural SLR exposure),
6,38.697221,-8.94002,25.792,False,Bridge south approach viaduct (structural SLR exposure),
7,38.696783,-8.93989,25.743,False,Bridge south approach viaduct (structural SLR exposure),
8,38.696345,-8.939762,26.388,False,Bridge south approach viaduct (structural SLR exposure),
9,38.695906,-8.939634,27.961,False,Bridge south approach viaduct (structural SLR exposure),
10,38.695468,-8.939505,28.949,False,Bridge south approach viaduct (structural SLR exposure),
11,38.69503,-8.939378,29.323,False,Bridge south approach viaduct (structural SLR exposure),
12,38.694589,-8.939266,28.835,False,Bridge south approach viaduct (structural SLR exposure),
13,38.694147,-8.939154,28.454,False,Bridge south approach viaduct (structural SLR exposure),
14,38.693705,-8.93905,28.874,False,Bridge south approach viaduct (structural SLR exposure),
15,38.69326,-8.938972,29.715,False,Bridge south approach viaduct (structural SLR exposure),
16,38.692812,-8.93893,30.103,False,Bridge south approach viaduct (structural SLR exposure),
17,38.692363,-8.938899,30.042,False,Bridge south approach viaduct (structural SLR exposure),
18,38.691913,-8.938897,29.736,False,Bridge south approach viaduct (structural SLR exposure),
19,38.691464,-8.938931,28.817,False,Bridge south approach viaduct (structural SLR exposure),
20,38.691017,-8.938991,27.234,False,Bridge south approach viaduct (structural SLR exposure),
21,38.69057,-8.93905,26.432,False,Bridge south approach viaduct (structural SLR exposure),
22,38.690123,-8.939117,26.326,False,Bridge south approach viaduct (structural SLR exposure),
23,38.689677,-8.939188,26.355,False,Bridge south approach viaduct (structural SLR exposure),
24,38.689231,-8.939258,26.424,False,Bridge south approach viaduct (structural SLR exposure),
25,38.688785,-8.939329,27.104,False,Bridge south approach viaduct (structural SLR exposure),
26,38.688338,-8.939399,27.617,False,Bridge south approach viaduct (structural SLR exposure),
27,38.687892,-8.939472,27.024,False,Bridge south approach viaduct (structural SLR exposure),
28,38.687446,-8.939548,25.949,False,Bridge south approach viaduct (structural SLR exposure),
29,38.687001,-8.939623,25.506,False,Bridge south approach viaduct (structural SLR exposure),
30,38.686556,-8.939707,25.058,False,Bridge south approach viaduct (structural SLR exposure),
31,38.686115,-8.939817,24.288,False,Bridge south approach viaduct (structural SLR exposure),
32,38.685676,-8.939942,23.504,False,Bridge south approach viaduct (structural SLR exposure),
33,38.685238,-8.940073,22.719,False,Bridge south approach viaduct (structural SLR exposure),
34,38.684809,-8.940247,21.535,False,Bridge south approach viaduct (structural SLR exposure),
35,38.684388,-8.940449,19.841,False,Bridge south approach viaduct (structural SLR exposure),
36,38.684016,-8.940772,18.727,False,Bridge south approach viaduct (structural SLR exposure),
37,38.683644,-8.941095,18.679,False,Bridge south approach viaduct (structural SLR exposure),
38,38.683272,-8.941418,18.53,False,Bridge south approach viaduct (structural SLR exposure),
39,38.6829,-8.941742,17.622,False,Bridge south approach viaduct (structural SLR exposure),
40,38.682528,-8.942065,16.456,False,Bridge south approach viaduct (structural SLR exposure),
41,38.682156,-8.942388,15.833,False,Bridge south approach viaduct (structural SLR exposure),
42,38.681783,-8.942711,15.69,False,Bridge south approach viaduct (structural SLR exposure),
43,38.681411,-8.943035,14.79,False,Bridge south approach viaduct (structural SLR exposure),
44,38.681039,-8.943358,13.688,False,Bridge south approach viaduct (structural SLR exposure),
45,38.680667,-8.943681,12.355,False,Bridge south approach viaduct (structural SLR exposure),
46,38.680295,-8.944004,11.863,False,Bridge south approach viaduct (structural SLR exposure),
47,38.679923,-8.944327,12.354,False,Bridge south approach viaduct (structural SLR exposure),
48,38.67955,-8.944651,12.101,False,Bridge south approach viaduct (structural SLR exposure),
49,38.679178,-8.944974,11.204,False,Bridge south approach viaduct (structural SLR exposure),
50,38.678806,-8.945297,10.553,False,Bridge south approach viaduct (structural SLR exposure),
51,38.678434,-8.94562,9.146,False,Bridge south approach viaduct (structural SLR exposure),
