idx,lat,lon,elev_m,below_threshold,flood_zone,note
0,38.721916,-8.964618,21.222,False,"Alcochete / Samouco marshes (2010, 2026)",
1,38.722084,-8.965153,19.16,False,"Alcochete / Samouco marshes (2010, 2026)",
2,38.722252,-8.965688,17.155,False,"Alcochete / Samouco marshes (2010, 2026)",
3,38.72242,-8.966223,15.349,False,"Alcochete / Samouco marshes (2010, 2026)",
4,38.722587,-8.966757,14.92,False,"Alcochete / Samouco marshes (2010, 2026)",
5,38.722755,-8.967292,15.836,False,"Alcochete / Samouco marshes (2010, 2026)",
6,38.722922,-8.967827,15.321,False,"Alcochete / Samouco marshes (2010, 2026)",
7,38.72309,-8.968362,15.196,False,"Alcochete / Samouco marshes (2010, 2026)",
8,38.723258,-8.968897,15.886,False,"Alcochete / Samouco marshes (2010, 2026)",
9,38.723425,-8.969432,15.772,False,"Alcochete / Samouco marshes (2010, 2026)",
10,38.723595,-8.969965,15.036,False,"Alcochete / Samouco marshes (2010, 2026)",
11,38.723765,-8.970499,14.552,False,"Alcochete / Samouco marshes (2010, 2026)",
12,38.723935,-8.971032,13.868,False,"Alcochete / Samouco marshes (2010, 2026)",
13,38.724102,-8.971568,13.053,False,"Alcochete / Samouco marshes (2010, 2026)",
14,38.724264,-8.972105,13.812,False,"Alcochete / Samouco marshes (2010, 2026)",
15,38.72436,-8.972416,14.243,False,"Alcochete / Samouco marshes (2010, 2026)",
16,38.724223,-8.971867,13.379,False,"Alcochete / Samouco marshes (2010, 2026)",
17,38.724086,-8.971318,13.373,False,"Alcochete / Samouco marshes (2010, 2026)",
18,38.723949,-8.970769,14.492,False,"Alcochete / Samouco marshes (2010, 2026)",
19,38.723812,-8.97022,14.939,False,"Alcochete / Samouco marshes (2010, 2026)",
20,38.723675,-8.969671,15.494,False,"Alcochete / Samouco marshes (2010, 2026)",
21,38.723538,-8.969123,16.0,False,"Alcochete / Samouco marshes (2010, 2026)",
22,38.723401,-8.968574,15.546,False,"Alcochete / Samouco marshes (2010, 2026)",
23,38.723264,-8.968025,15.26,False,"Alcochete / Samouco marshes (2010, 2026)",
24,38.723127,-8.967476,15.797,False,"Alcochete / Samouco marshes (2010, 2026)",
25,38.72299,-8.966927,15.246,False,"Alcochete / Samouco marshes (2010, 2026)",
26,38.722853,-8.966378,14.704,False,"Alcochete / Samouco marshes (2010, 2026)",
27,38.722716,-8.965829,16.169,False,"Alcochete / Samouco marshes (2010, 2026)",
28,38.722579,-8.96528,17.966,False,"Alcochete / Samouco marshes (2010, 2026)",
29,38.722442,-8.964732,19.631,False,"Alcochete / Samouco marshes (2010, 2026)",
30,38.722305,-8.964183,20.805,False,"Alcochete / Samouco marshes (2010, 2026)",
31,38.722168,-8.963634,20.137,False,"Alcochete / Samouco marshes (2010, 2026)",
32,38.722031,-8.963085,19.325,False,"Alcochete / Samouco marshes (2010, 2026)",
33,38.721893,-8.962536,20.505,False,"Alcochete / Samouco marshes (2010, 2026)",
34,38.721756,-8.961987,22.357,False,"Alcochete / Samouco marshes (2010, 2026)",
35,38.721619,-8.961438,23.823,False,"Alcochete / Samouco marshes (2010, 2026)",
36,38.721482,-8.960889,24.162,False,"Alcochete / Samouco marshes (2010, 2026)",
37,38.721345,-8.96034,24.43,False,"Alcochete / Samouco marshes (2010, 2026)",
38,38.721208,-8.959792,24.678,False,"Alcochete / Samouco marshes (2010, 2026)",
39,38.721071,-8.959243,25.387,False,"Alcochete / Samouco marshes (2010, 2026)",
40,38.720934,-8.958694,25.796,False,"Alcochete / Samouco marshes (2010, 2026)",
41,38.720797,-8.958145,25.936,False,"Alcochete / Samouco marshes (2010, 2026)",
42,38.72066,-8.957596,27.016,False,"Alcochete / Samouco marshes (2010, 2026)",
43,38.720523,-8.957047,27.77,False,"Alcochete / Samouco marshes (2010, 2026)",
44,38.720386,-8.956498,27.341,False,"Alcochete / Samouco marshes (2010, 2026)",
45,38.720249,-8.955949,25.967,False,"Alcochete / Samouco marshes (2010, 2026)",
46,38.720112,-8.955401,25.589,False,"Alcochete / Samouco marshes (2010, 2026)",
47,38.719975,-8.954852,26.12,False,"Alcochete / Samouco marshes (2010, 2026)",
48,38.719838,-8.954303,25.64,False,"Alcochete / Samouco marshes (2010, 2026)",
49,38.719701,-8.953754,25.493,False,"Alcochete / Samouco marshes (2010, 2026)",
50,38.719564,-8.953205,26.315,False,"Alcochete / Samouco marshes (2010, 2026)",
51,38.719427,-8.952656,28.375,False,"Alcochete / Samouco marshes (2010, 2026)",
52,38.71929,-8.952107,30.218,False,"Alcochete / Samouco marshes (2010, 2026)",
53,38.719153,-8.951558,32.128,False,"Alcochete / Samouco marshes (2010, 2026)",
54,38.719016,-8.951009,34.334,False,"Alcochete / Samouco marshes (2010, 2026)",
55,38.718879,-8.950461,36.056,False,"Alcochete / Samouco marshes (2010, 2026)",
56,38.718741,-8.949912,36.777,False,"Alcochete / Samouco marshes (2010, 2026)",
57,38.718604,-8.949363,35.865,False,"Alcochete / Samouco marshes (2010, 2026)",
58,38.718467,-8.948814,36.094,False,"Alcochete / Samouco marshes (2010, 2026)",
59,38.71833,-8.948265,38.072,False,"Alcochete / Samouco marshes (2010, 2026)",
60,38.718193,-8.947716,38.986,False,"Alcochete / Samouco marshes (2010, 2026)",
61,38.718056,-8.947167,39.197,False,"Alcochete / Samouco marshes (2010, 2026)",
62,38.717919,-8.946618,39.259,False,"Alcochete / Samouco marshes (2010, 2026)",
63,38.717782,-8.94607,39.261,False,"Alcochete / Samouco marshes (2010, 2026)",
64,38.717645,-8.945521,39.734,False,"Alcochete / Samouco marshes (2010, 2026)",
65,38.717508,-8.944972,40.975,False,"Alcochete / Samouco marshes (2010, 2026)",
66,38.717371,-8.944423,41.836,False,"Alcochete / Samouco marshes (2010, 2026)",
67,38.717234,-8.943874,42.444,False,"Alcochete / Samouco marshes (2010, 2026)",
68,38.717097,-8.943325,43.092,False,"Alcochete / Samouco marshes (2010, 2026)",
69,38.71696,-8.942776,42.171,False,"Alcochete / Samouco marshes (2010, 2026)",
70,38.716823,-8.942227,40.438,False,"Alcochete / Samouco marshes (2010, 2026)",
71,38.716686,-8.941678,39.743,False,"Alcochete / Samouco marshes (2010, 2026)",
72,38.716549,-8.94113,39.327,False,"Alcochete / Samouco marshes (2010, 2026)",
73,38.716412,-8.940581,38.933,False,"Alcochete / Samouco marshes (2010, 2026)",
74,38.716275,-8.940032,39.052,False,"Alcochete / Samouco marshes (2010, 2026)",
75,38.716138,-8.939483,39.318,False,"Alcochete / Samouco marshes (2010, 2026)",
76,38.716001,-8.938934,39.888,False,"Alcochete / Samouco marshes (2010, 2026)",
77,38.715864,-8.938385,40.813,False,"Alcochete / Samouco marshes (2010, 2026)",
78,38.715727,-8.937836,41.67,False,"Alcochete / Samouco marshes (2010, 2026)",
79,38.715589,-8.937287,42.05,False,"Alcochete / Samouco marshes (2010, 2026)",
80,38.715452,-8.936738,41.102,False,"Alcochete / Samouco marshes (2010, 2026)",
81,38.715315,-8.93619,40.506,False,"Alcochete / Samouco marshes (2010, 2026)",
82,38.715178,-8.935641,40.828,False,"Alcochete / Samouco marshes (2010, 2026)",
83,38.715041,-8.935092,42.566,False,"Alcochete / Samouco marshes (2010, 2026)",
84,38.714904,-8.934543,43.697,False,"Alcochete / Samouco marshes (2010, 2026)",
85,38.714767,-8.933994,44.38,False,"Alcochete / Samouco marshes (2010, 2026)",
86,38.71463,-8.933445,45.056,False,"Alcochete / Samouco marshes (2010, 2026)",
87,38.714493,-8.932896,46.542,False,"Alcochete / Samouco marshes (2010, 2026)",
88,38.714356,-8.932347,48.042,False,"Alcochete / Samouco marshes (2010, 2026)",
89,38.714219,-8.931799,49.193,False,"Alcochete / Samouco marshes (2010, 2026)",
90,38.714082,-8.93125,50.666,False,"Alcochete / Samouco marshes (2010, 2026)",
91,38.713945,-8.930701,51.488,False,"Alcochete / Samouco marshes (2010, 2026)",
92,38.713808,-8.930152,50.567,False,"Alcochete / Samouco marshes (2010, 2026)",
93,38.713671,-8.929603,49.884,False,"Alcochete / Samouco marshes (2010, 2026)",
94,38.713534,-8.929054,49.324,False,"Alcochete / Samouco marshes (2010, 2026)",
95,38.713397,-8.928505,48.06,False,"Alcochete / Samouco marshes (2010, 2026)",
