idx,lat,lon,elev_m,below_threshold,flood_zone,note
0,38.644686,-8.995774,8.816,False,Rail south approach (Fertagus) (tidal/SLR exposure),
1,38.644815,-8.996326,8.294,False,Rail south approach (Fertagus) (tidal/SLR exposure),
2,38.644944,-8.996878,7.482,False,Rail south approach (Fertagus) (tidal/SLR exposure),
3,38.645073,-8.997429,6.849,False,Rail south approach (Fertagus) (tidal/SLR exposure),
4,38.645202,-8.997981,7.02,False,Rail south approach (Fertagus) (tidal/SLR exposure),
5,38.645329,-8.998533,7.803,False,Rail south approach (Fertagus) (tidal/SLR exposure),
6,38.645455,-8.999086,8.23,False,Rail south approach (Fertagus) (tidal/SLR exposure),
7,38.645583,-8.999638,7.291,False,Rail south approach (Fertagus) (tidal/SLR exposure),
8,38.645719,-9.000186,7.119,False,Rail south approach (Fertagus) (tidal/SLR exposure),
9,38.645849,-9.000737,7.809,False,Rail south approach (Fertagus) (tidal/SLR exposure),
10,38.64598,-9.001288,8.356,False,Rail south approach (Fertagus) (tidal/SLR exposure),
11,38.646111,-9.001839,8.03,False,Rail south approach (Fertagus) (tidal/SLR exposure),
12,38.646241,-9.00239,7.883,False,Rail south approach (Fertagus) (tidal/SLR exposure),
13,38.646371,-9.002942,9.346,False,Rail south approach (Fertagus) (tidal/SLR exposure),
14,38.646499,-9.003493,10.256,False,Rail south approach (Fertagus) (tidal/SLR exposure),
15,38.646627,-9.004045,10.317,False,Rail south approach (Fertagus) (tidal/SLR exposure),
16,38.646755,-9.004597,10.272,False,Rail south approach (Fertagus) (tidal/SLR exposure),
17,38.646883,-9.005149,10.385,False,Rail south approach (Fertagus) (tidal/SLR exposure),
18,38.647011,-9.005701,10.785,False,Rail south approach (Fertagus) (tidal/SLR exposure),
19,38.64714,-9.006253,10.854,False,Rail south approach (Fertagus) (tidal/SLR exposure),
20,38.647268,-9.006804,10.81,False,Rail south approach (Fertagus) (tidal/SLR exposure),
21,38.647396,-9.007356,11.309,False,Rail south approach (Fertagus) (tidal/SLR exposure),
22,38.647525,-9.007908,12.17,False,Rail south approach (Fertagus) (tidal/SLR exposure),
23,38.647653,-9.00846,12.909,False,Rail south approach (Fertagus) (tidal/SLR exposure),
24,38.647782,-9.009011,13.305,False,Rail south approach (Fertagus) (tidal/SLR exposure),
25,38.64791,-9.009563,13.776,False,Rail south approach (Fertagus) (tidal/SLR exposure),
26,38.648039,-9.010115,13.584,False,Rail south approach (Fertagus) (tidal/SLR exposure),
