idx,lat,lon,elev_m,below_threshold
0,40.796987,-8.580362,23.348,False
1,40.79609,-8.580276,27.257,False
2,40.795193,-8.58019,28.529,False
3,40.794296,-8.580105,25.795,False
4,40.793399,-8.58002,20.584,False
5,40.792502,-8.579936,21.553,False
6,40.791605,-8.579851,27.468,False
7,40.790708,-8.579766,28.049,False
8,40.789811,-8.579682,28.069,False
9,40.788914,-8.579597,30.112,False
10,40.788017,-8.579514,30.071,False
11,40.78712,-8.579433,28.993,False
12,40.786223,-8.579347,27.707,False
13,40.785326,-8.579261,24.632,False
14,40.784429,-8.579175,24.113,False
15,40.783532,-8.579092,23.707,False
16,40.782635,-8.579007,22.464,False
17,40.781738,-8.578921,22.088,False
18,40.780841,-8.578836,22.237,False
19,40.779944,-8.578752,22.057,False
20,40.779047,-8.578668,21.292,False
21,40.77815,-8.578584,21.465,False
22,40.777253,-8.578499,21.247,False
23,40.776356,-8.578414,19.449,False
24,40.775459,-8.578329,20.239,False
25,40.774562,-8.578244,21.193,False
26,40.773665,-8.578158,22.549,False
27,40.772768,-8.57807,22.454,False
28,40.771871,-8.577982,19.645,False
29,40.770974,-8.577894,18.165,False
30,40.770077,-8.577806,17.476,False
31,40.76918,-8.577724,19.591,False
32,40.768283,-8.577645,20.981,False
33,40.767385,-8.577567,20.792,False
34,40.766488,-8.577484,20.253,False
35,40.765591,-8.577399,17.321,False
36,40.764694,-8.577314,16.569,False
37,40.763797,-8.577229,15.784,False
38,40.762901,-8.577138,16.663,False
39,40.762004,-8.577052,16.211,False
40,40.761106,-8.57697,14.784,False
41,40.760209,-8.576888,13.779,False
42,40.759312,-8.576805,13.034,False
43,40.758415,-8.576723,12.207,False
44,40.757518,-8.576638,11.969,False
45,40.756621,-8.576552,11.777,False
46,40.755724,-8.576466,9.857,False
47,40.754828,-8.57637,7.412,False
48,40.753934,-8.576238,6.484,False
49,40.753046,-8.576052,7.054,False
50,40.752166,-8.575809,6.941,False
51,40.751296,-8.575507,6.11,False
52,40.750414,-8.57562,4.052,False
53,40.749527,-8.575821,3.312,False
54,40.748641,-8.576022,2.87,True
55,40.747755,-8.576223,1.361,True
56,40.746868,-8.576424,0.987,True
57,40.745982,-8.576625,1.677,True
58,40.745096,-8.576825,1.461,True
59,40.744209,-8.577026,0.405,True
60,40.743323,-8.577227,0.211,True
61,40.742436,-8.577428,0.341,True
62,40.74155,-8.577629,0.709,True
63,40.740664,-8.57783,1.667,True
64,40.739777,-8.57803,2.993,True
65,40.738891,-8.578231,3.023,False
66,40.738005,-8.578432,1.191,True
67,40.737118,-8.578633,1.067,True
68,40.736232,-8.578834,0.249,True
69,40.735346,-8.579035,-0.824,True
70,40.734459,-8.579235,0.416,True
71,40.733573,-8.579436,0.793,True
72,40.732687,-8.579637,1.621,True
73,40.7318,-8.579838,1.948,True
74,40.730914,-8.580039,2.018,True
75,40.730028,-8.58024,1.66,True
76,40.729141,-8.58044,0.827,True
77,40.728255,-8.580641,1.03,True
78,40.727369,-8.580842,0.787,True
79,40.726482,-8.581043,0.2,True
80,40.725596,-8.581244,0.817,True
81,40.72471,-8.581444,0.124,True
82,40.723823,-8.581645,0.379,True
83,40.722937,-8.581846,1.077,True
84,40.72205,-8.582047,1.341,True
85,40.721164,-8.582248,0.584,True
86,40.720278,-8.582449,1.044,True
87,40.719391,-8.582649,1.528,True
88,40.718505,-8.58285,1.2,True
89,40.717619,-8.583051,2.115,True
90,40.716732,-8.583252,2.778,True
91,40.715846,-8.583453,2.727,True
92,40.71496,-8.583654,2.912,True
93,40.714073,-8.583854,3.316,False
94,40.713187,-8.584055,3.056,False
95,40.712301,-8.584256,3.035,False
96,40.711414,-8.584457,3.027,False
97,40.710528,-8.584658,2.655,True
98,40.709642,-8.584859,1.082,True
99,40.708755,-8.585059,1.171,True
100,40.707869,-8.58526,2.51,True
101,40.706983,-8.585461,2.969,True
102,40.706096,-8.585662,3.514,False
103,40.70521,-8.585863,4.729,False
104,40.704324,-8.586064,4.331,False
105,40.703437,-8.586264,3.493,False
106,40.702551,-8.586465,5.583,False
107,40.701664,-8.586666,5.079,False
108,40.700778,-8.586867,4.439,False
109,40.699892,-8.587068,3.959,False
110,40.699005,-8.587268,2.763,True
111,40.698119,-8.587469,2.944,True
112,40.697233,-8.58767,3.313,False
113,40.696346,-8.587871,2.889,True
114,40.69546,-8.588072,2.634,True
115,40.694574,-8.588273,3.354,False
116,40.693687,-8.588473,5.439,False
117,40.692801,-8.588674,5.205,False
118,40.691915,-8.588875,1.987,True
119,40.691028,-8.589076,3.405,False
120,40.690283,-8.589648,5.336,False
121,40.689641,-8.590478,4.788,False
122,40.689019,-8.591334,6.668,False
123,40.688421,-8.59222,9.809,False
124,40.687851,-8.593137,11.687,False
125,40.687289,-8.594063,9.641,False
126,40.68673,-8.594993,9.312,False
127,40.686196,-8.595887,9.312,False
128,40.686808,-8.595017,9.211,False
129,40.68742,-8.594148,9.414,False
130,40.688031,-8.593279,10.408,False
