scenario,year,slr_m,flooded_px,flooded_km2
ssp126,2030,0.07,15264,644.16
ssp126,2040,0.13,30381,1282.11
ssp126,2050,0.2,50473,2130.01
ssp126,2060,0.24,63263,2669.76
ssp126,2070,0.28,77130,3254.96
ssp126,2080,0.32,92057,3884.9
ssp126,2090,0.36,107898,4553.4
ssp126,2100,0.4,124519,5254.82
ssp245,2030,0.1,22583,953.02
ssp245,2040,0.2,50473,2130.01
ssp245,2050,0.3,84501,3566.03
ssp245,2060,0.36,107898,4553.4
ssp245,2070,0.42,132924,5609.52
ssp245,2080,0.48,159886,6747.35
ssp245,2090,0.54,209168,8827.1
ssp245,2100,0.6,239187,10093.93
ssp585,2030,0.13,30381,1282.11
ssp585,2040,0.27,73595,3105.78
ssp585,2050,0.4,124519,5254.82
ssp585,2060,0.52,199374,8413.78
ssp585,2070,0.64,259739,10961.24
ssp585,2080,0.76,323362,13646.19
ssp585,2090,0.88,388274,16385.55
ssp585,2100,1.0,460437,19430.89
