year,scenario,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
2025,ssp126,0.035,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2025,ssp126,0.035,Alentejo Litoral,1159,7057470,0.00016422,3133737000.0,514632.0
2025,ssp126,0.035,Algarve,795,6576139,0.00012089,11984171000.0,1448786.0
2025,ssp126,0.035,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2025,ssp126,0.035,Alto Minho,16,3118798,5.13e-06,4151610000.0,21299.0
2025,ssp126,0.035,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2025,ssp126,0.035,Ave,0,2028246,0.0,8045336000.0,0.0
2025,ssp126,0.035,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2025,ssp126,0.035,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2025,ssp126,0.035,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2025,ssp126,0.035,Cávado,0,1744158,0.0,8421876000.0,0.0
2025,ssp126,0.035,Douro,0,3853582,0.0,3054160000.0,0.0
2025,ssp126,0.035,Grande Lisboa,1184,1869180,0.00063343,75526356000.0,47840874.0
2025,ssp126,0.035,Lezíria do Tejo,140,5770151,2.426e-05,4573917000.0,110976.0
2025,ssp126,0.035,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2025,ssp126,0.035,Oeste,35,3003380,1.165e-05,6490912000.0,75642.0
2025,ssp126,0.035,Península de Setúbal,287,2178612,0.00013174,13176454000.0,1735803.0
2025,ssp126,0.035,Região de Aveiro,1805,2335224,0.00077295,8691000000.0,6717666.0
2025,ssp126,0.035,Região de Coimbra,1697,5944890,0.00028546,9133907000.0,2607322.0
2025,ssp126,0.035,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2025,ssp126,0.035,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2025,ssp126,0.035,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2025,ssp126,0.035,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2025,ssp126,0.035,Área Metropolitana do Porto,15,2835070,5.29e-06,39710799000.0,210105.0
2026,ssp126,0.042,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2026,ssp126,0.042,Alentejo Litoral,1388,7057470,0.00019667,3133737000.0,616315.0
2026,ssp126,0.042,Algarve,961,6576139,0.00014613,11984171000.0,1751299.0
2026,ssp126,0.042,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2026,ssp126,0.042,Alto Minho,20,3118798,6.41e-06,4151610000.0,26623.0
2026,ssp126,0.042,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2026,ssp126,0.042,Ave,0,2028246,0.0,8045336000.0,0.0
2026,ssp126,0.042,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2026,ssp126,0.042,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2026,ssp126,0.042,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
