year,scenario,slr_m,total_gdp_at_risk_eur,total_gdp_at_risk_bn
2025,ssp126,0.035,61283105.0,0.0613
2026,ssp126,0.042,74058787.0,0.0741
2027,ssp126,0.049,86215637.0,0.0862
2028,ssp126,0.056,99125658.0,0.0991
2029,ssp126,0.063,112403035.0,0.1124
2030,ssp126,0.07,126305630.0,0.1263
2031,ssp126,0.0765,139297396.0,0.1393
2032,ssp126,0.083,153282588.0,0.1533
2033,ssp126,0.0895,166735473.0,0.1667
2034,ssp126,0.096,180848236.0,0.1808
2035,ssp126,0.1025,195131470.0,0.1951
2036,ssp126,0.109,208639355.0,0.2086
2037,ssp126,0.1155,223367229.0,0.2234
2038,ssp126,0.122,237831819.0,0.2378
2039,ssp126,0.1285,252853767.0,0.2529
2040,ssp126,0.135,269537596.0,0.2695
2041,ssp126,0.1415,285546483.0,0.2855
2042,ssp126,0.148,302229906.0,0.3022
2043,ssp126,0.1545,319422624.0,0.3194
2044,ssp126,0.161,335367914.0,0.3354
2045,ssp126,0.1675,352865011.0,0.3529
2046,ssp126,0.174,369899788.0,0.3699
2047,ssp126,0.1805,388608111.0,0.3886
2048,ssp126,0.187,405756323.0,0.4058
2049,ssp126,0.1935,423391914.0,0.4234
2050,ssp126,0.2,441208244.0,0.4412
2051,ssp126,0.204,451881270.0,0.4519
2052,ssp126,0.208,463751489.0,0.4638
2053,ssp126,0.212,474872314.0,0.4749
2054,ssp126,0.216,487316762.0,0.4873
2055,ssp126,0.22,499917068.0,0.4999
2056,ssp126,0.224,511910488.0,0.5119
2057,ssp126,0.228,523811369.0,0.5238
2058,ssp126,0.232,537212777.0,0.5372
2059,ssp126,0.236,548506812.0,0.5485
2060,ssp126,0.24,561230341.0,0.5612
2061,ssp126,0.244,574082710.0,0.5741
2062,ssp126,0.248,587734812.0,0.5877
2063,ssp126,0.252,600623349.0,0.6006
2064,ssp126,0.256,613282082.0,0.6133
2065,ssp126,0.26,625705409.0,0.6257
2066,ssp126,0.264,639622072.0,0.6396
2067,ssp126,0.268,652996150.0,0.653
2068,ssp126,0.272,667602127.0,0.6676
2069,ssp126,0.276,681618424.0,0.6816
2070,ssp126,0.28,695500622.0,0.6955
2071,ssp126,0.284,709396839.0,0.7094
2072,ssp126,0.288,723569930.0,0.7236
2073,ssp126,0.292,738237420.0,0.7382
2074,ssp126,0.296,753861997.0,0.7539
2075,ssp126,0.3,768121277.0,0.7681
2076,ssp126,0.304,783342045.0,0.7833
2077,ssp126,0.308,798696522.0,0.7987
2078,ssp126,0.312,813054532.0,0.8131
2079,ssp126,0.316,828394008.0,0.8284
2080,ssp126,0.32,844118950.0,0.8441
2081,ssp126,0.324,858598360.0,0.8586
2082,ssp126,0.328,874032426.0,0.874
2083,ssp126,0.332,890518473.0,0.8905
2084,ssp126,0.336,908642823.0,0.9086
2085,ssp126,0.34,926653508.0,0.9267
2086,ssp126,0.344,942633711.0,0.9426
2087,ssp126,0.348,958826547.0,0.9588
2088,ssp126,0.352,976613619.0,0.9766
2089,ssp126,0.356,992827665.0,0.9928
2090,ssp126,0.36,1010244246.0,1.0102
2091,ssp126,0.364,1027192820.0,1.0272
2092,ssp126,0.368,1042261290.0,1.0423
2093,ssp126,0.372,1059619683.0,1.0596
2094,ssp126,0.376,1076835935.0,1.0768
2095,ssp126,0.38,1096650582.0,1.0967
2096,ssp126,0.384,1113696611.0,1.1137
2097,ssp126,0.388,1131860196.0,1.1319
2098,ssp126,0.392,1150422145.0,1.1504
2099,ssp126,0.396,1168257393.0,1.1683
2100,ssp126,0.4,1188290973.0,1.1883
2025,ssp245,0.05,87555241.0,0.0876
2026,ssp245,0.06,106211250.0,0.1062
2027,ssp245,0.07,126305630.0,0.1263
2028,ssp245,0.08,146907660.0,0.1469
2029,ssp245,0.09,168007846.0,0.168
2030,ssp245,0.1,189440798.0,0.1894
2031,ssp245,0.11,210716126.0,0.2107
2032,ssp245,0.12,233714311.0,0.2337
2033,ssp245,0.13,256890725.0,0.2569
2034,ssp245,0.14,281614241.0,0.2816
2035,ssp245,0.15,307532785.0,0.3075
2036,ssp245,0.16,332920806.0,0.3329
2037,ssp245,0.17,359724025.0,0.3597
2038,ssp245,0.18,387038997.0,0.387
2039,ssp245,0.19,413817437.0,0.4138
2040,ssp245,0.2,441208244.0,0.4412
2041,ssp245,0.21,469674470.0,0.4697
2042,ssp245,0.22,499917068.0,0.4999
2043,ssp245,0.23,530491653.0,0.5305
2044,ssp245,0.24,561230341.0,0.5612
2045,ssp245,0.25,594637961.0,0.5946
2046,ssp245,0.26,625705409.0,0.6257
2047,ssp245,0.27,660594382.0,0.6606
2048,ssp245,0.28,695500622.0,0.6955
2049,ssp245,0.29,731647842.0,0.7316
2050,ssp245,0.3,768121277.0,0.7681
2051,ssp245,0.306,790678274.0,0.7907
2052,ssp245,0.312,813054532.0,0.8131
2053,ssp245,0.318,836059969.0,0.8361
2054,ssp245,0.324,858598360.0,0.8586
2055,ssp245,0.33,882506423.0,0.8825
2056,ssp245,0.336,908642823.0,0.9086
2057,ssp245,0.342,934956857.0,0.935
2058,ssp245,0.348,958826547.0,0.9588
2059,ssp245,0.354,985026779.0,0.985
