scenario,year,variant,slr_m,flooded_pixels,flooded_km2
SSP1-2.6,2030,baseline,0.07,962,11.32
SSP1-2.6,2030,geoid_offset,0.22,3475,40.89
SSP1-2.6,2050,baseline,0.2,3103,36.51
SSP1-2.6,2050,geoid_offset,0.35,6418,75.52
SSP1-2.6,2075,baseline,0.3,5177,60.92
SSP1-2.6,2075,geoid_offset,0.45,9109,107.18
SSP1-2.6,2100,baseline,0.4,7697,90.57
SSP1-2.6,2100,geoid_offset,0.55,13341,156.98
SSP2-4.5,2030,baseline,0.1,1408,16.57
SSP2-4.5,2030,geoid_offset,0.25,4121,48.49
SSP2-4.5,2050,baseline,0.3,5177,60.92
SSP2-4.5,2050,geoid_offset,0.45,9109,107.18
SSP2-4.5,2075,baseline,0.45,9109,107.18
SSP2-4.5,2075,geoid_offset,0.6,14976,176.22
SSP2-4.5,2100,baseline,0.6,14976,176.22
SSP2-4.5,2100,geoid_offset,0.75,19895,234.1
SSP5-8.5,2030,baseline,0.13,1861,21.9
SSP5-8.5,2030,geoid_offset,0.28,4722,55.56
SSP5-8.5,2050,baseline,0.4,7697,90.57
SSP5-8.5,2050,geoid_offset,0.55,13341,156.98
SSP5-8.5,2075,baseline,0.7,18225,214.45
SSP5-8.5,2075,geoid_offset,0.85,23312,274.3
SSP5-8.5,2100,baseline,1.0,28881,339.83
SSP5-8.5,2100,geoid_offset,1.15,33670,396.18
