scenario,year,slr_baseline_m,slr_offset_m,area_baseline_km2,area_offset_km2,area_delta_km2,area_delta_pct,gdp_baseline_bn,gdp_offset_bn,gdp_delta_bn,gdp_delta_pct
SSP1-2.6,2030,0.07,0.22,11.32,40.89,29.57,261.2,0.122,0.495,0.373,306.7
SSP1-2.6,2050,0.2,0.35,36.51,75.52,39.01,106.8,0.434,0.946,0.512,118.1
SSP1-2.6,2075,0.3,0.45,60.92,107.18,46.26,75.9,0.753,1.413,0.66,87.6
SSP1-2.6,2100,0.4,0.55,90.57,156.98,66.41,73.3,1.158,2.025,0.866,74.8
SSP2-4.5,2030,0.1,0.25,16.57,48.49,31.92,192.6,0.19,0.598,0.409,215.6
SSP2-4.5,2050,0.3,0.45,60.92,107.18,46.26,75.9,0.753,1.413,0.66,87.6
SSP2-4.5,2075,0.45,0.6,107.18,176.22,69.04,64.4,1.413,2.347,0.934,66.1
SSP2-4.5,2100,0.6,0.75,176.22,234.1,57.88,32.8,2.347,3.372,1.025,43.7
SSP5-8.5,2030,0.13,0.28,21.9,55.56,33.66,153.7,0.252,0.69,0.438,173.4
SSP5-8.5,2050,0.4,0.55,90.57,156.98,66.41,73.3,1.158,2.025,0.866,74.8
SSP5-8.5,2075,0.7,0.85,214.45,274.3,59.85,27.9,3.002,4.113,1.111,37.0
SSP5-8.5,2100,1.0,1.15,339.83,396.18,56.35,16.6,5.302,6.35,1.048,19.8
