scenario,year,variant,variant_label,slr_m,buildings_count,buildings_bn,roads_bn,railways_bn,utilities_bn,total_bn
SSP1-2.6,2030,baseline,Baseline (IPCC AR6),0.07,3193.0,2.5166,0.0055,0.0017,0.0289,2.5527
SSP1-2.6,2030,geoid,+0.15m Geoid Correction,0.22,12009.0,9.6144,0.0086,0.0017,0.0484,9.6732
SSP1-2.6,2050,baseline,Baseline (IPCC AR6),0.2,10687.0,8.5401,0.0078,0.0017,0.0438,8.5935
SSP1-2.6,2050,geoid,+0.15m Geoid Correction,0.35,22335.0,17.9094,0.068,0.0582,0.0767,18.1124
SSP1-2.6,2075,baseline,Baseline (IPCC AR6),0.3,17975.0,14.4151,0.0651,0.0373,0.0674,14.5849
SSP1-2.6,2075,geoid,+0.15m Geoid Correction,0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036
SSP1-2.6,2100,baseline,Baseline (IPCC AR6),0.4,26813.0,21.5172,0.0973,0.0602,0.0829,21.7575
SSP1-2.6,2100,geoid,+0.15m Geoid Correction,0.55,44420.0,35.7281,0.1217,0.0662,0.1265,36.0425
SSP2-4.5,2030,baseline,Baseline (IPCC AR6),0.1,4762.0,3.7885,0.0057,0.0017,0.0297,3.8255
SSP2-4.5,2030,geoid,+0.15m Geoid Correction,0.25,14316.0,11.4798,0.0111,0.0091,0.0556,11.5556
SSP2-4.5,2050,baseline,Baseline (IPCC AR6),0.3,17975.0,14.4151,0.0651,0.0373,0.0674,14.5849
SSP2-4.5,2050,geoid,+0.15m Geoid Correction,0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036
SSP2-4.5,2075,baseline,Baseline (IPCC AR6),0.45,31864.0,25.6535,0.0993,0.0622,0.0885,25.9036
SSP2-4.5,2075,geoid,+0.15m Geoid Correction,0.6,50291.0,40.6599,0.2959,0.0695,0.1376,41.1631
SSP2-4.5,2100,baseline,Baseline (IPCC AR6),0.6,50291.0,40.6599,0.2959,0.0695,0.1376,41.1631
SSP2-4.5,2100,geoid,+0.15m Geoid Correction,0.75,68676.0,56.1938,0.3074,0.1296,0.1824,56.8132
SSP5-8.5,2030,baseline,Baseline (IPCC AR6),0.13,6430.0,5.1267,0.006,0.0017,0.0318,5.1662
SSP5-8.5,2030,geoid,+0.15m Geoid Correction,0.28,16497.0,13.2484,0.0642,0.0373,0.0615,13.4115
SSP5-8.5,2050,baseline,Baseline (IPCC AR6),0.4,26813.0,21.5172,0.0973,0.0602,0.0829,21.7575
SSP5-8.5,2050,geoid,+0.15m Geoid Correction,0.55,44420.0,35.7281,0.1217,0.0662,0.1265,36.0425
SSP5-8.5,2075,baseline,Baseline (IPCC AR6),0.7,62245.0,50.6969,0.305,0.1135,0.1705,51.286
SSP5-8.5,2075,geoid,+0.15m Geoid Correction,0.85,81045.0,66.7034,0.3143,0.1317,0.2018,67.3512
SSP5-8.5,2100,baseline,Baseline (IPCC AR6),1.0,99244.0,82.0112,0.3724,0.206,0.2502,82.8398
SSP5-8.5,2100,geoid,+0.15m Geoid Correction,1.15,113941.0,94.2473,0.3777,0.2141,0.26,95.0992
