year,scenario,slr_m,nuts3,buildings,storeys,value_eur
2025,ssp126,0.035,Alentejo Central,0.0,2.0,0.0
2025,ssp126,0.035,Alentejo Litoral,25.8,1.5,7683539.0
2025,ssp126,0.035,Algarve,117.8,3.0,70272228.0
2025,ssp126,0.035,Alto Alentejo,0.0,2.0,0.0
2025,ssp126,0.035,Alto Minho,0.7,1.5,212143.0
2025,ssp126,0.035,Alto Tâmega e Barroso,0.0,2.0,0.0
2025,ssp126,0.035,Ave,0.0,2.0,0.0
2025,ssp126,0.035,Baixo Alentejo,0.0,1.5,0.0
2025,ssp126,0.035,Beira Baixa,0.0,2.0,0.0
2025,ssp126,0.035,Beiras e Serra da Estrela,0.0,2.0,0.0
2025,ssp126,0.035,Cávado,0.0,2.5,0.0
2025,ssp126,0.035,Douro,0.0,2.0,0.0
2025,ssp126,0.035,Grande Lisboa,701.6,5.0,697713361.0
2025,ssp126,0.035,Lezíria do Tejo,4.1,1.5,1237498.0
2025,ssp126,0.035,Médio Tejo,0.0,2.0,0.0
2025,ssp126,0.035,Oeste,3.1,2.5,1546873.0
2025,ssp126,0.035,Península de Setúbal,85.0,3.0,50737433.0
2025,ssp126,0.035,Região de Aveiro,334.2,2.5,166196766.0
2025,ssp126,0.035,Região de Coimbra,100.6,2.5,50000827.0
2025,ssp126,0.035,Região de Leiria,0.0,2.0,0.0
2025,ssp126,0.035,Terras de Trás-os-Montes,0.0,2.0,0.0
2025,ssp126,0.035,Tâmega e Sousa,0.0,2.0,0.0
2025,ssp126,0.035,Viseu Dão Lafões,0.0,2.0,0.0
2025,ssp126,0.035,Área Metropolitana do Porto,5.6,4.0,4419637.0
2026,ssp126,0.042,Alentejo Central,0.0,2.0,0.0
2026,ssp126,0.042,Alentejo Litoral,30.8,1.5,9201684.0
2026,ssp126,0.042,Algarve,142.4,3.0,84945423.0
2026,ssp126,0.042,Alto Alentejo,0.0,2.0,0.0
2026,ssp126,0.042,Alto Minho,0.9,1.5,265178.0
2026,ssp126,0.042,Alto Tâmega e Barroso,0.0,2.0,0.0
2026,ssp126,0.042,Ave,0.0,2.0,0.0
2026,ssp126,0.042,Baixo Alentejo,0.0,1.5,0.0
2026,ssp126,0.042,Beira Baixa,0.0,2.0,0.0
2026,ssp126,0.042,Beiras e Serra da Estrela,0.0,2.0,0.0
2026,ssp126,0.042,Cávado,0.0,2.5,0.0
2026,ssp126,0.042,Douro,0.0,2.0,0.0
2026,ssp126,0.042,Grande Lisboa,849.7,5.0,845034594.0
2026,ssp126,0.042,Lezíria do Tejo,5.5,1.5,1644105.0
2026,ssp126,0.042,Médio Tejo,0.0,2.0,0.0
2026,ssp126,0.042,Oeste,4.2,2.5,2077229.0
2026,ssp126,0.042,Península de Setúbal,105.2,3.0,62758845.0
2026,ssp126,0.042,Região de Aveiro,397.6,2.5,197686680.0
2026,ssp126,0.042,Região de Coimbra,119.5,2.5,59399921.0
2026,ssp126,0.042,Região de Leiria,0.0,2.0,0.0
2026,ssp126,0.042,Terras de Trás-os-Montes,0.0,2.0,0.0
2026,ssp126,0.042,Tâmega e Sousa,0.0,2.0,0.0
2026,ssp126,0.042,Viseu Dão Lafões,0.0,2.0,0.0
2026,ssp126,0.042,Área Metropolitana do Porto,6.3,4.0,5008922.0
2027,ssp126,0.049,Alentejo Central,0.0,2.0,0.0
2027,ssp126,0.049,Alentejo Litoral,35.5,1.5,10587240.0
2027,ssp126,0.049,Algarve,170.2,3.0,101563258.0
2027,ssp126,0.049,Alto Alentejo,0.0,2.0,0.0
2027,ssp126,0.049,Alto Minho,1.0,1.5,304955.0
2027,ssp126,0.049,Alto Tâmega e Barroso,0.0,2.0,0.0
2027,ssp126,0.049,Ave,0.0,2.0,0.0
2027,ssp126,0.049,Baixo Alentejo,0.0,1.5,0.0
2027,ssp126,0.049,Beira Baixa,0.0,2.0,0.0
2027,ssp126,0.049,Beiras e Serra da Estrela,0.0,2.0,0.0
2027,ssp126,0.049,Cávado,0.0,2.5,0.0
2027,ssp126,0.049,Douro,0.0,2.0,0.0
2027,ssp126,0.049,Grande Lisboa,985.4,5.0,979980843.0
2027,ssp126,0.049,Lezíria do Tejo,6.8,1.5,2015354.0
2027,ssp126,0.049,Médio Tejo,0.0,2.0,0.0
2027,ssp126,0.049,Oeste,5.1,2.5,2519193.0
2027,ssp126,0.049,Península de Setúbal,126.2,3.0,75310614.0
2027,ssp126,0.049,Região de Aveiro,469.2,2.5,233320003.0
2027,ssp126,0.049,Região de Coimbra,138.7,2.5,68946337.0
2027,ssp126,0.049,Região de Leiria,0.0,2.0,0.0
2027,ssp126,0.049,Terras de Trás-os-Montes,0.0,2.0,0.0
2027,ssp126,0.049,Tâmega e Sousa,0.0,2.0,0.0
2027,ssp126,0.049,Viseu Dão Lafões,0.0,2.0,0.0
2027,ssp126,0.049,Área Metropolitana do Porto,7.4,4.0,5892849.0
