year,scenario,slr_m,buildings_count,buildings_eur,roads_km,roads_eur,railways_km,railways_eur,utilities_road_km,utility_water_eur,utility_sewage_eur,utility_elec_eur,utilities_total_eur,total_replacement_eur,total_bn_eur
2025,ssp126,0.035,1378.0,1050020304.0,24.79,2981774.0,0.17,866140.0,24.79,6198504.0,8677905.0,4958803.0,19835212.0,1073703430.0,1.0737
2026,ssp126,0.042,1662.0,1268022582.0,27.59,3338032.0,0.17,866140.0,27.59,6896606.0,9655249.0,5517285.0,22069140.0,1294295893.0,1.2943
2027,ssp126,0.049,1945.0,1480440649.0,27.59,3338032.0,0.17,866140.0,27.59,6896606.0,9655249.0,5517285.0,22069140.0,1506713960.0,1.5067
2028,ssp126,0.056,2239.0,1703772272.0,28.51,3443769.0,0.17,866140.0,28.51,7126470.0,9977058.0,5701176.0,22804703.0,1730886884.0,1.7309
2029,ssp126,0.063,2538.0,1931185430.0,32.57,5117289.0,0.17,866140.0,32.57,8141292.0,11397809.0,6513034.0,26052135.0,1963220993.0,1.9632
2030,ssp126,0.07,2847.0,2167606545.0,36.11,5525419.0,0.34,1715075.0,36.11,9028531.0,12639944.0,7222825.0,28891300.0,2203738339.0,2.2037
2031,ssp126,0.0765,3138.0,2390369509.0,36.26,5554194.0,0.34,1715075.0,36.26,9064501.0,12690301.0,7251601.0,29006403.0,2426645181.0,2.4266
2032,ssp126,0.083,3447.0,2627963301.0,36.91,5628762.0,0.34,1715075.0,36.91,9226604.0,12917245.0,7381283.0,29525132.0,2664832269.0,2.6648
2033,ssp126,0.0895,3746.0,2857476523.0,36.91,5628762.0,0.34,1715075.0,36.91,9226604.0,12917245.0,7381283.0,29525132.0,2894345492.0,2.8943
2034,ssp126,0.096,4059.0,3098497007.0,36.91,5628762.0,0.34,1715075.0,36.91,9226604.0,12917245.0,7381283.0,29525132.0,3135365976.0,3.1354
2035,ssp126,0.1025,4373.0,3340598093.0,37.09,5666334.0,0.34,1715075.0,37.09,9273569.0,12982996.0,7418855.0,29675421.0,3377654922.0,3.3777
2036,ssp126,0.109,4682.0,3574129502.0,39.03,5888853.0,0.34,1715075.0,39.03,9757306.0,13660228.0,7805845.0,31223378.0,3612956807.0,3.613
2037,ssp126,0.1155,5009.0,3825548655.0,39.03,5888853.0,0.34,1715075.0,39.03,9757306.0,13660228.0,7805845.0,31223378.0,3864375960.0,3.8644
2038,ssp126,0.122,5331.0,4072699912.0,39.74,5970805.0,0.34,1715075.0,39.74,9935464.0,13909649.0,7948371.0,31793484.0,4112179276.0,4.1122
2039,ssp126,0.1285,5658.0,4326950579.0,39.74,5970805.0,0.34,1715075.0,39.74,9935464.0,13909649.0,7948371.0,31793484.0,4366429943.0,4.3664
2040,ssp126,0.135,6011.0,4606276794.0,39.93,5991915.0,0.34,1715075.0,39.93,9981355.0,13973897.0,7985084.0,31940337.0,4645924121.0,4.6459
2041,ssp126,0.1415,6367.0,4879059736.0,41.57,6180915.0,0.34,1715075.0,41.57,10392223.0,14549112.0,8313779.0,33255114.0,4920210839.0,4.9202
2042,ssp126,0.148,6731.0,5162335632.0,42.27,6261843.0,0.34,1715075.0,42.27,10568155.0,14795417.0,8454524.0,33818095.0,5204130645.0,5.2041
2043,ssp126,0.1545,7098.0,5451096299.0,44.22,6485499.0,0.34,1715075.0,44.22,11054364.0,15476110.0,8843491.0,35373965.0,5494670838.0,5.4947
2044,ssp126,0.161,7452.0,5723519777.0,46.05,6802037.0,0.34,1715075.0,46.05,11512154.0,16117016.0,9209723.0,36838893.0,5768875781.0,5.7689
2045,ssp126,0.1675,7835.0,6021018065.0,46.05,6802037.0,0.34,1715075.0,46.05,11512154.0,16117016.0,9209723.0,36838893.0,6066374069.0,6.0664
2046,ssp126,0.174,8203.0,6309352973.0,46.05,6802037.0,0.34,1715075.0,46.05,11512154.0,16117016.0,9209723.0,36838893.0,6354708977.0,6.3547
2047,ssp126,0.1805,8598.0,6623284945.0,46.12,6810756.0,0.34,1715075.0,46.12,11531110.0,16143553.0,9224888.0,36899551.0,6668710327.0,6.6687
2048,ssp126,0.187,8976.0,6916281097.0,47.65,7021330.0,0.34,1715075.0,47.65,11912166.0,16677032.0,9529733.0,38118931.0,6963136432.0,6.9631
2049,ssp126,0.1935,9367.0,7218779468.0,54.71,7833525.0,0.34,1715075.0,54.71,13677809.0,19148932.0,10942247.0,43768988.0,7272097056.0,7.2721
2050,ssp126,0.2,9769.0,7526399462.0,54.72,7834481.0,0.34,1715075.0,54.72,13679886.0,19151840.0,10943908.0,43775634.0,7579724651.0,7.5797
2051,ssp126,0.204,10008.0,7710806606.0,57.27,8127298.0,0.34,1715075.0,57.27,14316446.0,20043025.0,11453157.0,45812628.0,7766461607.0,7.7665
2052,ssp126,0.208,10265.0,7912115178.0,57.65,8303860.0,0.34,1715075.0,57.65,14412963.0,20178149.0,11530371.0,46121483.0,7968255596.0,7.9683
2053,ssp126,0.212,10510.0,8101992359.0,59.75,8545292.0,0.34,1715075.0,59.75,14937815.0,20912940.0,11950252.0,47801007.0,8160053733.0,8.1601
2054,ssp126,0.216,10776.0,8311942059.0,60.55,8637209.0,0.34,1715075.0,60.55,15137634.0,21192687.0,12110107.0,48440428.0,8370734770.0,8.3707
2055,ssp126,0.22,11043.0,8523159457.0,60.55,8637209.0,0.34,1715075.0,60.55,15137634.0,21192687.0,12110107.0,48440428.0,8581952168.0,8.582
2056,ssp126,0.224,11303.0,8726278607.0,60.57,8640288.0,1.83,9129641.0,60.57,15141483.0,21198077.0,12113187.0,48452746.0,8792501283.0,8.7925
2057,ssp126,0.228,11563.0,8928387871.0,61.83,9270437.0,1.83,9129641.0,61.83,15456557.0,21639180.0,12365246.0,49460983.0,8996248931.0,8.9962
2058,ssp126,0.232,11851.0,9155280248.0,64.06,9527230.0,1.83,9129641.0,64.06,16014803.0,22420724.0,12811842.0,51247369.0,9225184488.0,9.2252
2059,ssp126,0.236,12107.0,9350564119.0,67.83,10869973.0,1.83,9129641.0,67.83,16958053.0,23741274.0,13566442.0,54265770.0,9424829503.0,9.4248
2060,ssp126,0.24,12384.0,9566788229.0,68.43,10938453.0,1.83,9129641.0,68.43,17106922.0,23949691.0,13685538.0,54742150.0,9641598473.0,9.6416
