year,scenario,slr_m,density_scenario,buildings_count,buildings_eur,roads_eur,railways_eur,utilities_eur,total_replacement_eur,total_bn_eur
2025,ssp126,0.035,base,1378.0,1050020304.0,2981774.0,866140.0,19835212.0,1073703430.0,1.0737
2026,ssp126,0.042,base,1662.0,1268022582.0,3338032.0,866140.0,22069140.0,1294295893.0,1.2943
2027,ssp126,0.049,base,1945.0,1480440649.0,3338032.0,866140.0,22069140.0,1506713960.0,1.5067
2028,ssp126,0.056,base,2239.0,1703772272.0,3443769.0,866140.0,22804703.0,1730886884.0,1.7309
2029,ssp126,0.063,base,2538.0,1931185430.0,5117289.0,866140.0,26052135.0,1963220993.0,1.9632
2030,ssp126,0.07,base,2847.0,2167606545.0,5525419.0,1715075.0,28891300.0,2203738339.0,2.2037
2031,ssp126,0.0765,base,3138.0,2390369509.0,5554194.0,1715075.0,29006403.0,2426645181.0,2.4266
2032,ssp126,0.083,base,3447.0,2627963301.0,5628762.0,1715075.0,29525132.0,2664832269.0,2.6648
2033,ssp126,0.0895,base,3746.0,2857476523.0,5628762.0,1715075.0,29525132.0,2894345492.0,2.8943
2034,ssp126,0.096,base,4059.0,3098497007.0,5628762.0,1715075.0,29525132.0,3135365976.0,3.1354
2035,ssp126,0.1025,base,4373.0,3340598093.0,5666334.0,1715075.0,29675421.0,3377654922.0,3.3777
2036,ssp126,0.109,base,4682.0,3574129502.0,5888853.0,1715075.0,31223378.0,3612956807.0,3.613
2037,ssp126,0.1155,base,5009.0,3825548655.0,5888853.0,1715075.0,31223378.0,3864375960.0,3.8644
2038,ssp126,0.122,base,5331.0,4072699912.0,5970805.0,1715075.0,31793484.0,4112179276.0,4.1122
2039,ssp126,0.1285,base,5658.0,4326950579.0,5970805.0,1715075.0,31793484.0,4366429943.0,4.3664
2040,ssp126,0.135,base,6011.0,4606276794.0,5991915.0,1715075.0,31940337.0,4645924121.0,4.6459
2041,ssp126,0.1415,base,6367.0,4879059736.0,6180915.0,1715075.0,33255114.0,4920210839.0,4.9202
2042,ssp126,0.148,base,6731.0,5162335632.0,6261843.0,1715075.0,33818095.0,5204130645.0,5.2041
2043,ssp126,0.1545,base,7098.0,5451096299.0,6485499.0,1715075.0,35373965.0,5494670838.0,5.4947
2044,ssp126,0.161,base,7452.0,5723519777.0,6802037.0,1715075.0,36838893.0,5768875781.0,5.7689
2045,ssp126,0.1675,base,7835.0,6021018065.0,6802037.0,1715075.0,36838893.0,6066374069.0,6.0664
2046,ssp126,0.174,base,8203.0,6309352973.0,6802037.0,1715075.0,36838893.0,6354708977.0,6.3547
2047,ssp126,0.1805,base,8598.0,6623284945.0,6810756.0,1715075.0,36899551.0,6668710327.0,6.6687
2048,ssp126,0.187,base,8976.0,6916281097.0,7021330.0,1715075.0,38118931.0,6963136432.0,6.9631
2049,ssp126,0.1935,base,9367.0,7218779468.0,7833525.0,1715075.0,43768988.0,7272097056.0,7.2721
2050,ssp126,0.2,base,9769.0,7526399462.0,7834481.0,1715075.0,43775634.0,7579724651.0,7.5797
2051,ssp126,0.204,base,10008.0,7710806606.0,8127298.0,1715075.0,45812628.0,7766461607.0,7.7665
2052,ssp126,0.208,base,10265.0,7912115178.0,8303860.0,1715075.0,46121483.0,7968255596.0,7.9683
2053,ssp126,0.212,base,10510.0,8101992359.0,8545292.0,1715075.0,47801007.0,8160053733.0,8.1601
2054,ssp126,0.216,base,10776.0,8311942059.0,8637209.0,1715075.0,48440428.0,8370734770.0,8.3707
2055,ssp126,0.22,base,11043.0,8523159457.0,8637209.0,1715075.0,48440428.0,8581952168.0,8.582
2056,ssp126,0.224,base,11303.0,8726278607.0,8640288.0,9129641.0,48452746.0,8792501283.0,8.7925
2057,ssp126,0.228,base,11563.0,8928387871.0,9270437.0,9129641.0,49460983.0,8996248931.0,8.9962
2058,ssp126,0.232,base,11851.0,9155280248.0,9527230.0,9129641.0,51247369.0,9225184488.0,9.2252
2059,ssp126,0.236,base,12107.0,9350564119.0,10869973.0,9129641.0,54265770.0,9424829503.0,9.4248
2060,ssp126,0.24,base,12384.0,9566788229.0,10938453.0,9129641.0,54742150.0,9641598473.0,9.6416
2061,ssp126,0.244,base,12667.0,9786725572.0,10938453.0,9129641.0,54742150.0,9861535816.0,9.8615
2062,ssp126,0.248,base,12956.0,10016696963.0,11067914.0,9129641.0,55642748.0,10092537265.0,10.0925
2063,ssp126,0.252,base,13239.0,10236134150.0,11067914.0,9129641.0,55642748.0,10311974452.0,10.312
2064,ssp126,0.256,base,13521.0,10454327945.0,11067914.0,9129641.0,55642748.0,10530168248.0,10.5302
