section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP1-2.6,2025,Baseline,0.035,3.14,0.319,5.4,1.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2025,+Geoid,0.185,1.11,0.901,6.9,6.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2026,Baseline,0.042,2.99,0.334,5.4,1.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2026,+Geoid,0.192,1.06,0.946,6.9,6.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2027,Baseline,0.049,2.85,0.351,5.5,1.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2027,+Geoid,0.199,1.01,0.993,7.0,6.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2028,Baseline,0.056,2.71,0.369,5.6,2.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2028,+Geoid,0.206,0.96,1.042,7.1,7.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2029,Baseline,0.063,2.58,0.387,5.6,2.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2029,+Geoid,0.213,0.91,1.094,7.1,7.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2030,Baseline,0.07,2.46,0.406,5.7,2.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2030,+Geoid,0.22,0.87,1.149,7.2,8.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2031,Baseline,0.077,2.35,0.425,5.8,2.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2031,+Geoid,0.227,0.83,1.202,7.3,8.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2032,Baseline,0.083,2.25,0.444,5.8,2.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2032,+Geoid,0.233,0.8,1.257,7.3,9.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2033,Baseline,0.09,2.15,0.465,5.9,2.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2033,+Geoid,0.239,0.76,1.315,7.4,9.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2034,Baseline,0.096,2.06,0.486,6.0,2.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2034,+Geoid,0.246,0.73,1.376,7.5,10.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2035,Baseline,0.103,1.97,0.509,6.0,3.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2035,+Geoid,0.253,0.69,1.439,7.5,10.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2036,Baseline,0.109,1.88,0.532,6.1,3.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2036,+Geoid,0.259,0.66,1.505,7.6,11.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2037,Baseline,0.116,1.8,0.557,6.2,3.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2037,+Geoid,0.266,0.64,1.575,7.7,12.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2038,Baseline,0.122,1.72,0.582,6.2,3.6
