section,section_type,option_id,option_label,scenario,variant,capex_low_eur,capex_mid_eur,capex_high_eur,breakeven_year_low,breakeven_year_mid,breakeven_year_high
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP1-2.6,+Geoid,180000000,240000000,300000000,2093,2101,2101
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP1-2.6,Baseline,180000000,240000000,300000000,2101,2101,2101
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP2-4.5,+Geoid,180000000,240000000,300000000,2071,2076,2080
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP2-4.5,Baseline,180000000,240000000,300000000,2093,2099,2101
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP5-8.5,+Geoid,180000000,240000000,300000000,2058,2061,2063
A1 Azambuja (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP5-8.5,Baseline,180000000,240000000,300000000,2070,2073,2076
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP1-2.6,+Geoid,180000000,240000000,300000000,2093,2101,2101
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP1-2.6,Baseline,180000000,240000000,300000000,2101,2101,2101
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP2-4.5,+Geoid,180000000,240000000,300000000,2071,2076,2080
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP2-4.5,Baseline,180000000,240000000,300000000,2093,2099,2101
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP5-8.5,+Geoid,180000000,240000000,300000000,2058,2061,2063
A1 Azambuja (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP5-8.5,Baseline,180000000,240000000,300000000,2070,2073,2076
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP1-2.6,+Geoid,43900000,58500000,73100000,2062,2068,2073
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP1-2.6,Baseline,43900000,58500000,73100000,2091,2098,2101
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP2-4.5,+Geoid,43900000,58500000,73100000,2052,2056,2059
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP2-4.5,Baseline,43900000,58500000,73100000,2070,2075,2079
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP5-8.5,+Geoid,43900000,58500000,73100000,2046,2049,2051
A1 Azambuja (road),Road,2,Opt 2: Barriers + drainage,SSP5-8.5,Baseline,43900000,58500000,73100000,2057,2060,2062
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP1-2.6,+Geoid,4200000,6000000,7800000,2032,2035,2037
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP1-2.6,Baseline,4200000,6000000,7800000,2044,2049,2052
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP2-4.5,+Geoid,4200000,6000000,7800000,2031,2033,2035
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP2-4.5,Baseline,4200000,6000000,7800000,2040,2043,2046
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP5-8.5,+Geoid,4200000,6000000,7800000,2030,2032,2033
A1 Azambuja (road),Road,3,Opt 3: Traffic mgmt,SSP5-8.5,Baseline,4200000,6000000,7800000,2037,2040,2041
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP1-2.6,+Geoid,165000000,220000000,275000000,2082,2089,2095
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP1-2.6,Baseline,165000000,220000000,275000000,2101,2101,2101
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP2-4.5,+Geoid,165000000,220000000,275000000,2064,2069,2072
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP2-4.5,Baseline,165000000,220000000,275000000,2085,2091,2095
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP5-8.5,+Geoid,165000000,220000000,275000000,2054,2057,2059
A14 Mondego (road),Road,1a,Opt 1a: Elevated road (SSP2-4.5),SSP5-8.5,Baseline,165000000,220000000,275000000,2066,2069,2071
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP1-2.6,+Geoid,275000000,357500000,440000000,2095,2101,2101
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP1-2.6,Baseline,275000000,357500000,440000000,2101,2101,2101
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP2-4.5,+Geoid,275000000,357500000,440000000,2072,2077,2081
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP2-4.5,Baseline,275000000,357500000,440000000,2095,2100,2101
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP5-8.5,+Geoid,275000000,357500000,440000000,2059,2062,2064
A14 Mondego (road),Road,1b,Opt 1b: Full reconstruction (SSP5-8.5),SSP5-8.5,Baseline,275000000,357500000,440000000,2071,2074,2076
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP1-2.6,+Geoid,40200000,53600000,67000000,2055,2060,2064
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP1-2.6,Baseline,40200000,53600000,67000000,2080,2087,2093
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP2-4.5,+Geoid,40200000,53600000,67000000,2047,2050,2053
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP2-4.5,Baseline,40200000,53600000,67000000,2063,2067,2071
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP5-8.5,+Geoid,40200000,53600000,67000000,2043,2045,2047
A14 Mondego (road),Road,2,Opt 2: Barriers + drainage,SSP5-8.5,Baseline,40200000,53600000,67000000,2053,2056,2058
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP1-2.6,+Geoid,2700000,3850000,5000000,2028,2030,2031
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP1-2.6,Baseline,2700000,3850000,5000000,2036,2039,2042
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP2-4.5,+Geoid,2700000,3850000,5000000,2028,2029,2030
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP2-4.5,Baseline,2700000,3850000,5000000,2034,2036,2038
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP5-8.5,+Geoid,2700000,3850000,5000000,2028,2029,2030
A14 Mondego (road),Road,3,Opt 3: Traffic mgmt,SSP5-8.5,Baseline,2700000,3850000,5000000,2032,2034,2036
Aveiro Ria (railway),Railway,1,Option 1: Extreme Viaduct on Current Alignment (10 km),SSP1-2.6,+Geoid,150000000,200000000,250000000,2037,2039,2041
Aveiro Ria (railway),Railway,1,Option 1: Extreme Viaduct on Current Alignment (10 km),SSP1-2.6,Baseline,150000000,200000000,250000000,2050,2054,2058
