section,section_type,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,cumulative_cost_mid_eur,cumulative_cost_low_eur,cumulative_cost_high_eur,barrier_breached,option,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn,port
Mondego (railway),Railway,SSP1-2.6,Baseline,2025,0.035,3.14,1.7,1704725.0,852362.0,2983268.0,1704725.0,852362.0,2983268.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2025,0.185,1.11,6.2,6173566.0,3086783.0,10803740.0,6173566.0,3086783.0,10803740.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2026,0.042,2.99,1.8,1812892.0,906446.0,3172561.0,3517617.0,1758808.0,6155829.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2026,0.192,1.06,6.5,6546719.0,3273359.0,11456758.0,12720285.0,6360142.0,22260498.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2027,0.049,2.85,1.9,1927601.0,963800.0,3373301.0,5445217.0,2722609.0,9529130.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2027,0.199,1.01,6.9,6941717.0,3470858.0,12148004.0,19662001.0,9831001.0,34408502.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2028,0.056,2.71,2.0,2049234.0,1024617.0,3586160.0,7494451.0,3747226.0,13115290.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2028,0.206,0.96,7.4,7359808.0,3679904.0,12879664.0,27021809.0,13510905.0,47288166.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2029,0.063,2.58,2.2,2178198.0,1089099.0,3811846.0,9672649.0,4836325.0,16927136.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2029,0.213,0.91,7.8,7802314.0,3901157.0,13654050.0,34824123.0,17412062.0,60942216.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2030,0.07,2.46,2.3,2314919.0,1157460.0,4051109.0,11987569.0,5993784.0,20978245.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2030,0.22,0.87,8.3,8270628.0,4135314.0,14473599.0,43094752.0,21547376.0,75415815.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2031,0.077,2.35,2.4,2449217.0,1224609.0,4286130.0,14436786.0,7218393.0,25264375.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2031,0.227,0.83,8.7,8729886.0,4364943.0,15277300.0,51824638.0,25912319.0,90693116.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2032,0.083,2.25,2.6,2590976.0,1295488.0,4534209.0,17027762.0,8513881.0,29798583.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2032,0.233,0.8,9.2,9213908.0,4606954.0,16124339.0,61038546.0,30519273.0,106817455.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2033,0.09,2.15,2.7,2740600.0,1370300.0,4796050.0,19768362.0,9884181.0,34594634.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2033,0.239,0.76,9.7,9724002.0,4862001.0,17017003.0,70762547.0,35381274.0,123834458.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2034,0.096,2.06,2.9,2898512.0,1449256.0,5072396.0,22666874.0,11333437.0,39667029.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2034,0.246,0.73,10.3,10261542.0,5130771.0,17957698.0,81024089.0,40512045.0,141792156.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2035,0.103,1.97,3.1,3065158.0,1532579.0,5364026.0,25732031.0,12866016.0,45031055.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2035,0.253,0.69,10.8,10827975.0,5413988.0,18948957.0,91852064.0,45926032.0,160741113.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2036,0.109,1.88,3.2,3241007.0,1620504.0,5671763.0,28973039.0,14486519.0,50702817.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2036,0.259,0.66,11.4,11424823.0,5712411.0,19993440.0,103276887.0,51638444.0,180734553.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2037,0.116,1.8,3.4,3426555.0,1713278.0,5996471.0,32399594.0,16199797.0,56699289.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2037,0.266,0.64,12.1,12053685.0,6026843.0,21093949.0,115330572.0,57665286.0,201828502.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2038,0.122,1.72,3.6,3622321.0,1811161.0,6339063.0,36021915.0,18010958.0,63038351.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2038,0.272,0.61,12.7,12716245.0,6358123.0,22253429.0,128046818.0,64023409.0,224081931.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2039,0.129,1.64,3.8,3828854.0,1914427.0,6700495.0,39850769.0,19925385.0,69738846.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2039,0.278,0.58,13.4,13414274.0,6707137.0,23474979.0,141461091.0,70730546.0,247556910.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2040,0.135,1.57,4.0,4046730.0,2023365.0,7081777.0,43897499.0,21948750.0,76820624.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2040,0.285,0.55,14.1,14149632.0,7074816.0,24761856.0,155610724.0,77805362.0,272318766.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2041,0.142,1.5,4.3,4276556.0,2138278.0,7483972.0,48174055.0,24087027.0,84304596.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2041,0.291,0.53,14.9,14924279.0,7462140.0,26117489.0,170535003.0,85267501.0,298436255.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2042,0.148,1.43,4.5,4518969.0,2259485.0,7908197.0,52693024.0,26346512.0,92212792.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2042,0.298,0.51,15.7,15740274.0,7870137.0,27545479.0,186275277.0,93137638.0,325981734.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2043,0.155,1.37,4.8,4774644.0,2387322.0,8355627.0,57467668.0,28733834.0,100568420.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2043,0.304,0.48,16.6,16599782.0,8299891.0,29049619.0,202875059.0,101437530.0,355031354.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2044,0.161,1.31,5.0,5044287.0,2522143.0,8827502.0,62511955.0,31255978.0,109395921.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2044,0.311,0.46,17.5,17505082.0,8752541.0,30633893.0,220380141.0,110190071.0,385665247.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2045,0.168,1.25,5.3,5328642.0,2664321.0,9325123.0,67840597.0,33920298.0,118721044.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2045,0.318,0.44,18.5,18458568.0,9229284.0,32302494.0,238838709.0,119419355.0,417967741.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2046,0.174,1.2,5.6,5628493.0,2814246.0,9849862.0,73469089.0,36734545.0,128570906.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2046,0.324,0.42,19.5,19462759.0,9731380.0,34059828.0,258301468.0,129150734.0,452027569.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2047,0.181,1.14,5.9,5944664.0,2972332.0,10403161.0,79413753.0,39706876.0,138974068.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2047,0.331,0.4,20.5,20520304.0,10260152.0,35910531.0,278821772.0,139410886.0,487938101.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,Baseline,2048,0.187,1.09,6.3,6278022.0,3139011.0,10986539.0,85691775.0,42845887.0,149960606.0,,,,,,,,,
Mondego (railway),Railway,SSP1-2.6,+Geoid,2048,0.337,0.39,21.6,21633986.0,10816993.0,37859476.0,300455758.0,150227879.0,525797577.0,,,,,,,,,
