section,section_type,scenario,variant,year,slr_m,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,cumulative_cost_mid_eur,cumulative_cost_low_eur,cumulative_cost_high_eur,return_period_yr,closure_days_yr
Mondego (railway),Railway,SSP1-2.6,Baseline,2025,0.035,1704725.00,852362.00,2983268.00,1704725.00,852362.00,2983268.00,3.14,1.7
Mondego (railway),Railway,SSP1-2.6,+Geoid,2025,0.185,6173566.00,3086783.00,10803740.00,6173566.00,3086783.00,10803740.00,1.11,6.2
Mondego (railway),Railway,SSP1-2.6,Baseline,2026,0.042,1812892.00,906446.00,3172561.00,3517617.00,1758808.00,6155829.00,2.99,1.8
Mondego (railway),Railway,SSP1-2.6,+Geoid,2026,0.192,6546719.00,3273359.00,11456758.00,12720285.00,6360142.00,22260498.00,1.06,6.5
Mondego (railway),Railway,SSP1-2.6,Baseline,2027,0.049,1927601.00,963800.00,3373301.00,5445217.00,2722609.00,9529130.00,2.85,1.9
Mondego (railway),Railway,SSP1-2.6,+Geoid,2027,0.199,6941717.00,3470858.00,12148004.00,19662001.00,9831001.00,34408502.00,1.01,6.9
Mondego (railway),Railway,SSP1-2.6,Baseline,2028,0.056,2049234.00,1024617.00,3586160.00,7494451.00,3747226.00,13115290.00,2.71,2.0
Mondego (railway),Railway,SSP1-2.6,+Geoid,2028,0.206,7359808.00,3679904.00,12879664.00,27021809.00,13510905.00,47288166.00,0.96,7.4
Mondego (railway),Railway,SSP1-2.6,Baseline,2029,0.063,2178198.00,1089099.00,3811846.00,9672649.00,4836325.00,16927136.00,2.58,2.2
Mondego (railway),Railway,SSP1-2.6,+Geoid,2029,0.213,7802314.00,3901157.00,13654050.00,34824123.00,17412062.00,60942216.00,0.91,7.8
Mondego (railway),Railway,SSP1-2.6,Baseline,2030,0.07,2314919.00,1157460.00,4051109.00,11987569.00,5993784.00,20978245.00,2.46,2.3
Mondego (railway),Railway,SSP1-2.6,+Geoid,2030,0.22,8270628.00,4135314.00,14473599.00,43094752.00,21547376.00,75415815.00,0.87,8.3
Mondego (railway),Railway,SSP1-2.6,Baseline,2031,0.077,2449217.00,1224609.00,4286130.00,14436786.00,7218393.00,25264375.00,2.35,2.4
Mondego (railway),Railway,SSP1-2.6,+Geoid,2031,0.227,8729886.00,4364943.00,15277300.00,51824638.00,25912319.00,90693116.00,0.83,8.7
Mondego (railway),Railway,SSP1-2.6,Baseline,2032,0.083,2590976.00,1295488.00,4534209.00,17027762.00,8513881.00,29798583.00,2.25,2.6
Mondego (railway),Railway,SSP1-2.6,+Geoid,2032,0.233,9213908.00,4606954.00,16124339.00,61038546.00,30519273.00,106817455.00,0.8,9.2
Mondego (railway),Railway,SSP1-2.6,Baseline,2033,0.09,2740600.00,1370300.00,4796050.00,19768362.00,9884181.00,34594634.00,2.15,2.7
Mondego (railway),Railway,SSP1-2.6,+Geoid,2033,0.239,9724002.00,4862001.00,17017003.00,70762547.00,35381274.00,123834458.00,0.76,9.7
Mondego (railway),Railway,SSP1-2.6,Baseline,2034,0.096,2898512.00,1449256.00,5072396.00,22666874.00,11333437.00,39667029.00,2.06,2.9
Mondego (railway),Railway,SSP1-2.6,+Geoid,2034,0.246,10261542.00,5130771.00,17957698.00,81024089.00,40512045.00,141792156.00,0.73,10.3
Mondego (railway),Railway,SSP1-2.6,Baseline,2035,0.103,3065158.00,1532579.00,5364026.00,25732031.00,12866016.00,45031055.00,1.97,3.1
Mondego (railway),Railway,SSP1-2.6,+Geoid,2035,0.253,10827975.00,5413988.00,18948957.00,91852064.00,45926032.00,160741113.00,0.69,10.8
