port,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,annual_cost_low_eur,annual_cost_mid_eur,annual_cost_high_eur,cumulative_cost_mid_eur
Leixões,SSP1-2.6,Baseline,2025,0.035,15.6917,0.136,204567.0,409134.0,681890.0,409134.0
Leixões,SSP1-2.6,Baseline,2026,0.042,14.9485,0.145,217547.0,435094.0,725157.0,844228.0
Leixões,SSP1-2.6,Baseline,2027,0.049,14.2405,0.154,231312.0,462624.0,771040.0,1306852.0
Leixões,SSP1-2.6,Baseline,2028,0.056,13.566,0.164,245908.0,491816.0,819694.0,1798668.0
Leixões,SSP1-2.6,Baseline,2029,0.063,12.9235,0.174,261384.0,522767.0,871279.0,2321436.0
Leixões,SSP1-2.6,Baseline,2030,0.07,12.3114,0.185,277790.0,555581.0,925968.0,2877016.0
Leixões,SSP1-2.6,Baseline,2031,0.0765,11.7691,0.196,293906.0,587812.0,979687.0,3464829.0
Leixões,SSP1-2.6,Baseline,2032,0.083,11.2506,0.207,310917.0,621834.0,1036391.0,4086663.0
Leixões,SSP1-2.6,Baseline,2033,0.0895,10.7549,0.219,328872.0,657744.0,1096240.0,4744407.0
Leixões,SSP1-2.6,Baseline,2034,0.096,10.2811,0.232,347821.0,695643.0,1159405.0,5440050.0
Leixões,SSP1-2.6,Baseline,2035,0.1025,9.8282,0.245,367819.0,735638.0,1226063.0,6175688.0
Leixões,SSP1-2.6,Baseline,2036,0.109,9.3952,0.259,388921.0,777842.0,1296403.0,6953529.0
Leixões,SSP1-2.6,Baseline,2037,0.1155,8.9813,0.274,411187.0,822373.0,1370622.0,7775902.0
Leixões,SSP1-2.6,Baseline,2038,0.122,8.5857,0.29,434679.0,869357.0,1448929.0,8645260.0
Leixões,SSP1-2.6,Baseline,2039,0.1285,8.2074,0.306,459463.0,918925.0,1531542.0,9564185.0
Leixões,SSP1-2.6,Baseline,2040,0.135,7.8458,0.324,485608.0,971215.0,1618692.0,10535400.0
Leixões,SSP1-2.6,Baseline,2041,0.1415,7.5002,0.342,513187.0,1026373.0,1710622.0,11561773.0
Leixões,SSP1-2.6,Baseline,2042,0.148,7.1698,0.362,542276.0,1084553.0,1807588.0,12646326.0
Leixões,SSP1-2.6,Baseline,2043,0.1545,6.8539,0.382,572957.0,1145915.0,1909858.0,13792240.0
Leixões,SSP1-2.6,Baseline,2044,0.161,6.552,0.404,605314.0,1210629.0,2017715.0,15002869.0
Leixões,SSP1-2.6,Baseline,2045,0.1675,6.2633,0.426,639437.0,1278874.0,2131457.0,16281743.0
Leixões,SSP1-2.6,Baseline,2046,0.174,5.9874,0.45,675419.0,1350838.0,2251397.0,17632581.0
Leixões,SSP1-2.6,Baseline,2047,0.1805,5.7236,0.476,713360.0,1426719.0,2377865.0,19059301.0
Leixões,SSP1-2.6,Baseline,2048,0.187,5.4715,0.502,753363.0,1506725.0,2511209.0,20566026.0
Leixões,SSP1-2.6,Baseline,2049,0.1935,5.2304,0.53,795538.0,1591075.0,2651792.0,22157101.0
Leixões,SSP1-2.6,Baseline,2050,0.2,5.0,0.56,840000.0,1680000.0,2800000.0,23837101.0
Leixões,SSP1-2.6,Baseline,2051,0.204,4.8633,0.579,868551.0,1737101.0,2895169.0,25574202.0
Leixões,SSP1-2.6,Baseline,2052,0.208,4.7303,0.599,898043.0,1796085.0,2993475.0,27370288.0
Leixões,SSP1-2.6,Baseline,2053,0.212,4.6009,0.619,928506.0,1857013.0,3095021.0,29227300.0
Leixões,SSP1-2.6,Baseline,2054,0.216,4.4751,0.64,959973.0,1919946.0,3199910.0,31147246.0
Leixões,SSP1-2.6,Baseline,2055,0.22,4.3528,0.662,992475.0,1984951.0,3308251.0,33132197.0
Leixões,SSP1-2.6,Baseline,2056,0.224,4.2337,0.684,1026046.0,2052093.0,3420155.0,35184290.0
Leixões,SSP1-2.6,Baseline,2057,0.228,4.118,0.707,1060721.0,2121441.0,3535736.0,37305731.0
Leixões,SSP1-2.6,Baseline,2058,0.232,4.0053,0.731,1096534.0,2193067.0,3655112.0,39498798.0
Leixões,SSP1-2.6,Baseline,2059,0.236,3.8958,0.756,1133522.0,2267044.0,3778406.0,41765842.0
Leixões,SSP1-2.6,Baseline,2060,0.24,3.7893,0.781,1171723.0,2343446.0,3905743.0,44109288.0
