port,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,at_cap
Leixões,SSP1-2.6,Baseline,2030,0.07,12.311,0.2,False
Leixões,SSP1-2.6,Baseline,2050,0.2,5.0,0.6,False
Leixões,SSP1-2.6,Baseline,2075,0.3,2.5,1.3,False
Leixões,SSP1-2.6,Baseline,2100,0.4,1.25,2.9,False
Leixões,SSP1-2.6,+Geoid,2030,0.22,4.353,0.7,False
Leixões,SSP1-2.6,+Geoid,2050,0.35,1.768,1.9,False
Leixões,SSP1-2.6,+Geoid,2075,0.45,0.884,4.3,False
Leixões,SSP1-2.6,+Geoid,2100,0.55,0.442,9.5,False
Leixões,SSP2-4.5,Baseline,2030,0.1,10.0,0.2,False
Leixões,SSP2-4.5,Baseline,2050,0.3,2.5,1.3,False
Leixões,SSP2-4.5,Baseline,2075,0.45,0.884,4.3,False
Leixões,SSP2-4.5,Baseline,2100,0.6,0.313,14.1,False
Leixões,SSP2-4.5,+Geoid,2030,0.25,3.536,0.8,False
Leixões,SSP2-4.5,+Geoid,2050,0.45,0.884,4.3,False
Leixões,SSP2-4.5,+Geoid,2075,0.6,0.313,14.1,False
Leixões,SSP2-4.5,+Geoid,2100,0.75,0.11,45.3,False
Leixões,SSP5-8.5,Baseline,2030,0.13,8.123,0.3,False
Leixões,SSP5-8.5,Baseline,2050,0.4,1.25,2.9,False
Leixões,SSP5-8.5,Baseline,2075,0.7,0.156,30.7,False
Leixões,SSP5-8.5,Baseline,2100,1.0,0.02,307.2,False
Leixões,SSP5-8.5,+Geoid,2030,0.28,2.872,1.1,False
Leixões,SSP5-8.5,+Geoid,2050,0.55,0.442,9.5,False
Leixões,SSP5-8.5,+Geoid,2075,0.85,0.055,97.8,False
Leixões,SSP5-8.5,+Geoid,2100,1.15,0.007,365.0,True
Lisbon,SSP1-2.6,Baseline,2030,0.07,6.156,0.6,False
Lisbon,SSP1-2.6,Baseline,2050,0.2,2.5,1.7,False
Lisbon,SSP1-2.6,Baseline,2075,0.3,1.25,3.8,False
Lisbon,SSP1-2.6,Baseline,2100,0.4,0.625,8.6,False
Lisbon,SSP1-2.6,+Geoid,2030,0.22,2.176,2.0,False
Lisbon,SSP1-2.6,+Geoid,2050,0.35,0.884,5.8,False
Lisbon,SSP1-2.6,+Geoid,2075,0.45,0.442,12.9,False
Lisbon,SSP1-2.6,+Geoid,2100,0.55,0.221,28.5,False
Lisbon,SSP2-4.5,Baseline,2030,0.1,5.0,0.7,False
Lisbon,SSP2-4.5,Baseline,2050,0.3,1.25,3.8,False
Lisbon,SSP2-4.5,Baseline,2075,0.45,0.442,12.9,False
Lisbon,SSP2-4.5,Baseline,2100,0.6,0.156,42.2,False
Lisbon,SSP2-4.5,+Geoid,2030,0.25,1.768,2.5,False
Lisbon,SSP2-4.5,+Geoid,2050,0.45,0.442,12.9,False
Lisbon,SSP2-4.5,+Geoid,2075,0.6,0.156,42.2,False
Lisbon,SSP2-4.5,+Geoid,2100,0.75,0.055,135.8,False
Lisbon,SSP5-8.5,Baseline,2030,0.13,4.061,0.9,False
Lisbon,SSP5-8.5,Baseline,2050,0.4,0.625,8.6,False
Lisbon,SSP5-8.5,Baseline,2075,0.7,0.078,92.2,False
Lisbon,SSP5-8.5,Baseline,2100,1.0,0.01,365.0,True
Lisbon,SSP5-8.5,+Geoid,2030,0.28,1.436,3.3,False
Lisbon,SSP5-8.5,+Geoid,2050,0.55,0.221,28.5,False
Lisbon,SSP5-8.5,+Geoid,2075,0.85,0.028,293.3,False
Lisbon,SSP5-8.5,+Geoid,2100,1.15,0.003,365.0,True
Setúbal,SSP1-2.6,Baseline,2030,0.07,7.387,0.5,False
Setúbal,SSP1-2.6,Baseline,2050,0.2,3.0,1.4,False
Setúbal,SSP1-2.6,Baseline,2075,0.3,1.5,3.2,False
Setúbal,SSP1-2.6,Baseline,2100,0.4,0.75,7.2,False
Setúbal,SSP1-2.6,+Geoid,2030,0.22,2.612,1.7,False
Setúbal,SSP1-2.6,+Geoid,2050,0.35,1.061,4.8,False
Setúbal,SSP1-2.6,+Geoid,2075,0.45,0.53,10.7,False
Setúbal,SSP1-2.6,+Geoid,2100,0.55,0.265,23.8,False
Setúbal,SSP2-4.5,Baseline,2030,0.1,6.0,0.6,False
Setúbal,SSP2-4.5,Baseline,2050,0.3,1.5,3.2,False
Setúbal,SSP2-4.5,Baseline,2075,0.45,0.53,10.7,False
Setúbal,SSP2-4.5,Baseline,2100,0.6,0.188,35.2,False
Setúbal,SSP2-4.5,+Geoid,2030,0.25,2.121,2.1,False
Setúbal,SSP2-4.5,+Geoid,2050,0.45,0.53,10.7,False
Setúbal,SSP2-4.5,+Geoid,2075,0.6,0.188,35.2,False
Setúbal,SSP2-4.5,+Geoid,2100,0.75,0.066,113.1,False
Setúbal,SSP5-8.5,Baseline,2030,0.13,4.874,0.8,False
Setúbal,SSP5-8.5,Baseline,2050,0.4,0.75,7.2,False
Setúbal,SSP5-8.5,Baseline,2075,0.7,0.094,76.8,False
Setúbal,SSP5-8.5,Baseline,2100,1.0,0.012,365.0,True
Setúbal,SSP5-8.5,+Geoid,2030,0.28,1.723,2.7,False
Setúbal,SSP5-8.5,+Geoid,2050,0.55,0.265,23.8,False
Setúbal,SSP5-8.5,+Geoid,2075,0.85,0.033,244.4,False
Setúbal,SSP5-8.5,+Geoid,2100,1.15,0.004,365.0,True
