year_decimal,sea_level_m,flag
1882.0417,6.845,99
1882.125,6.882,0
1882.2083,6.843,0
1882.2917,6.801,0
1882.375,6.861,0
1882.4583,6.754,0
1882.5417,6.773,0
1882.625,6.819,0
1882.7083,6.825,0
1882.7917,6.87,0
1882.875,6.794,0
1882.9583,6.859,0
1883.0417,6.839,0
1883.125,6.833,0
1883.2083,6.919,0
1883.2917,6.832,0
1883.375,6.857,0
1883.4583,6.792,0
1883.5417,6.737,0
1883.625,6.804,0
1883.7083,6.799,0
1883.7917,6.826,0
1883.875,6.805,0
1883.9583,6.822,0
1884.0417,6.845,0
1884.125,6.873,0
1884.2083,6.898,0
1884.2917,6.977,0
1884.375,6.842,99
1884.4583,6.847,0
1884.5417,6.881,0
1884.625,6.932,0
1884.7083,6.867,0
1884.7917,6.862,0
1884.875,6.911,0
1884.9583,6.803,0
1885.0417,6.895,99
1885.125,6.884,0
1885.2083,6.909,0
1885.2917,6.813,0
1885.375,6.85,0
1885.4583,6.858,0
1885.5417,6.846,0
1885.625,6.87,0
1885.7083,6.856,0
1885.7917,6.907,0
1885.875,6.955,0
1885.9583,6.929,0
1886.0417,6.88,0
1886.125,6.876,0
1886.2083,6.915,0
1886.2917,6.931,0
1886.375,6.948,99
1886.4583,6.904,99
1886.5417,6.879,0
1886.625,6.875,0
1886.7083,6.9,0
1886.7917,6.878,0
1886.875,6.9,0
1886.9583,6.934,0
1887.0417,6.914,0
1887.125,6.886,0
1887.2083,6.943,0
1887.2917,6.914,0
1887.375,6.927,0
1887.4583,6.949,0
1887.5417,6.915,0
1887.625,6.924,0
1887.7083,6.911,0
1887.7917,6.943,0
1887.875,6.993,0
1887.9583,6.937,0
1888.0417,6.889,0
1888.125,6.897,0
1888.2083,6.921,0
1888.2917,6.918,0
1888.375,6.882,0
1888.4583,6.836,0
1888.5417,6.834,0
1888.625,6.856,0
1888.7083,6.914,0
1888.7917,6.964,0
1888.875,6.963,0
1888.9583,7.001,0
1889.0417,6.842,0
1889.125,6.832,0
1889.2083,6.891,0
1889.2917,6.833,0
1889.375,6.867,0
1889.4583,6.871,0
1889.5417,6.841,0
1889.625,6.804,0
1889.7083,6.808,0
1889.7917,6.844,0
1889.875,6.905,0
1889.9583,6.862,0
1890.0417,6.802,0
1890.125,6.867,0
1890.2083,6.868,0
1890.2917,6.866,0
1890.375,6.896,0
1890.4583,6.83,0
1890.5417,6.801,0
1890.625,6.889,0
1890.7083,6.896,0
