year_decimal,sea_level_m,flag
1908.7917,7.03,0
1908.875,7.038,0
1908.9583,6.91,0
1909.0417,6.887,0
1909.125,6.93,0
1909.2083,6.928,0
1909.2917,6.91,0
1909.375,6.938,0
1909.4583,6.856,0
1909.5417,6.951,0
1909.625,6.942,0
1909.7083,6.941,0
1909.7917,6.973,0
1909.875,7.06,0
1909.9583,6.951,0
1910.0417,6.862,0
1910.125,6.784,0
1910.2083,6.856,0
1910.2917,6.859,0
1910.375,6.939,0
1910.4583,6.887,0
1910.5417,6.904,0
1910.625,6.89,0
1910.7083,6.958,0
1910.7917,7.003,0
1910.875,6.928,0
1910.9583,6.919,0
1911.0417,6.82,0
1911.125,6.884,0
1911.2083,6.846,0
1911.4583,6.872,0
1911.5417,6.921,0
1911.625,6.922,0
1911.7083,6.929,0
1911.7917,6.954,0
1911.875,6.917,0
1911.9583,6.841,0
1912.0417,6.915,0
1912.125,6.955,0
1912.2083,6.794,0
1912.2917,6.885,0
1912.375,6.851,0
1912.4583,6.862,0
1912.5417,6.895,0
1912.625,6.924,0
1912.7083,7.031,0
1912.7917,7.0,0
1912.9583,6.925,99
1913.125,6.913,0
1913.2083,6.908,0
1913.2917,6.918,0
1913.375,6.919,0
1913.4583,6.95,0
1913.5417,6.972,0
1913.625,6.981,0
1913.7083,7.033,0
1913.7917,7.107,0
1913.875,6.977,0
1913.9583,6.955,0
1914.0417,6.956,0
1914.2083,6.819,0
1914.2917,6.944,0
1914.375,6.931,0
1914.4583,6.947,0
1914.5417,6.947,0
1914.625,6.973,0
1914.7083,7.009,0
1914.7917,7.018,0
1914.875,7.099,0
1914.9583,6.941,0
1915.0417,6.89,0
1915.125,6.848,0
1915.2083,7.021,0
1915.2917,6.885,0
1915.375,6.995,0
1915.4583,6.953,0
1915.5417,7.002,0
1915.625,6.994,0
1915.7083,6.987,0
1915.7917,6.986,0
1915.875,7.081,0
1915.9583,7.017,0
1916.0417,6.866,0
1916.125,6.883,0
1916.2083,7.074,0
1916.2917,6.937,0
1916.375,6.984,0
1916.4583,6.969,0
1916.5417,6.941,0
1916.625,6.987,0
1916.7083,7.019,0
1916.7917,6.997,0
1916.875,6.978,99
1917.125,7.029,0
1917.2083,6.909,0
1917.2917,6.965,0
1917.375,6.975,0
1917.4583,6.94,0
1917.5417,6.989,0
1917.625,6.954,0
1917.7083,6.956,0
1917.7917,6.979,0
1917.875,6.932,0
1917.9583,6.987,0
1918.0417,7.045,0
1918.125,6.882,0
1918.2083,6.958,0
1918.2917,6.971,0
1918.375,6.952,0
1918.4583,6.945,0
1918.5417,6.977,0
1918.625,7.028,0
1918.7083,6.968,0
1918.7917,6.993,0
1918.875,7.019,0
