year_decimal,sea_level_m,flag
1956.0417,6.863,2
1956.125,6.774,1
1956.2083,7.04,0
1956.2917,7.006,0
1956.375,6.871,0
1956.4583,6.799,0
1956.5417,6.836,0
1956.625,6.831,0
1956.7083,6.922,0
1956.7917,6.93,0
1956.875,6.851,0
1956.9583,6.884,0
1957.0417,6.847,0
1957.125,6.912,0
1957.2083,6.928,0
1957.2917,6.907,0
1957.375,6.986,0
1957.4583,6.988,0
1957.5417,7.001,3
1957.625,6.996,0
1957.7083,7.008,0
1957.7917,7.077,0
1957.875,7.105,0
1957.9583,7.068,0
1958.0417,7.01,0
1958.125,6.996,0
1958.2083,7.073,0
1958.2917,6.968,0
1958.375,6.962,0
1958.4583,7.013,0
1958.5417,6.951,0
1958.625,7.015,0
1958.7083,7.058,0
1958.7917,7.027,0
1958.875,6.986,0
1958.9583,7.058,0
1959.0417,7.091,0
1959.125,6.94,0
1959.2083,7.096,0
1959.2917,6.978,0
1959.375,7.02,0
1959.4583,6.972,0
1959.5417,7.041,0
1959.625,6.986,0
1959.7083,7.027,0
1959.7917,7.033,0
1959.875,7.022,0
1959.9583,7.0,0
1960.0417,7.121,0
1960.125,7.237,0
1960.2083,7.201,0
1960.2917,7.045,0
1960.375,7.097,0
1960.4583,7.026,0
1960.5417,7.002,0
1960.625,7.056,0
1960.7083,7.051,0
1960.7917,7.316,0
1960.875,7.271,0
1960.9583,7.114,0
1961.0417,7.073,0
1961.125,7.114,0
1961.2083,7.187,0
1961.2917,7.238,0
1961.375,7.266,0
1961.4583,7.126,0
1961.5417,7.133,0
1961.625,7.159,0
1961.7083,7.2,0
1961.7917,7.195,0
1961.875,7.283,0
1961.9583,7.323,0
1962.0417,7.195,0
1962.125,7.044,0
1962.2083,7.303,0
1962.2917,7.152,0
1962.375,7.114,0
1962.4583,7.177,0
1962.5417,7.159,0
1962.625,7.145,0
1962.7083,7.232,0
1962.7917,7.291,0
1962.875,7.224,0
1962.9583,7.184,0
1963.0417,7.358,0
1963.125,7.252,0
1963.2083,6.992,0
1963.2917,7.024,0
1963.375,6.966,0
1963.4583,7.045,0
1963.5417,7.014,0
1963.625,6.957,0
1963.7083,6.99,0
1963.7917,7.031,0
1963.875,7.225,0
1963.9583,7.249,0
1964.0417,7.261,0
1964.125,7.237,0
1964.2083,7.155,0
1964.2917,6.973,0
1964.375,6.996,0
1964.4583,7.039,0
1964.5417,6.965,0
1964.625,6.977,0
1964.7083,7.031,0
1964.7917,7.025,0
1964.875,7.033,0
1964.9583,7.045,0
1965.0417,7.012,0
1965.125,7.083,0
1965.2083,7.051,0
1965.2917,6.883,0
1965.375,6.931,0
1965.4583,7.017,0
1965.5417,7.01,0
1965.625,6.972,0
1965.7083,7.023,0
1965.7917,7.171,0
1965.875,7.126,0
1965.9583,6.968,0
1966.0417,7.117,0
1966.125,7.254,0
1966.2083,6.959,0
1966.2917,7.051,0
1966.375,6.951,0
1966.4583,7.007,0
1966.5417,7.004,0
1966.625,7.006,0
1966.7083,7.053,0
1966.7917,7.108,0
1966.875,7.018,0
1966.9583,6.919,0
1967.0417,6.954,0
1967.125,6.993,0
1967.2083,6.932,0
1967.2917,6.996,0
1967.375,7.068,0
1967.4583,6.968,0
1967.5417,6.98,0
1967.625,6.982,0
1967.7083,7.03,0
1967.7917,7.04,0
1967.875,7.083,0
1967.9583,6.94,0
1968.0417,6.889,0
1968.125,7.101,0
1968.2083,6.96,0
1968.2917,7.08,0
1968.375,6.991,0
1968.4583,6.967,0
1968.5417,7.006,0
1968.625,6.989,0
1968.7083,6.998,0
1968.7917,7.056,0
1968.875,7.203,0
1968.9583,7.1,0
1969.0417,7.142,0
1969.125,7.182,0
1969.2083,7.153,0
1969.2917,6.966,0
1969.375,7.068,0
1969.4583,7.064,0
1969.5417,7.016,0
1969.625,7.011,0
1969.7083,7.033,0
1969.7917,7.118,0
1969.875,7.114,0
1969.9583,6.96,0
1970.0417,7.154,8
1970.125,6.921,0
1970.2083,6.986,0
1970.2917,6.943,0
1970.375,7.027,0
1970.4583,7.044,0
1970.5417,6.995,0
1970.625,6.998,0
1970.7083,6.983,0
1970.7917,6.98,0
1970.875,7.047,0
1970.9583,7.014,0
1971.0417,7.06,0
1971.125,6.895,0
1971.2083,6.949,0
1971.2917,7.019,0
1971.375,7.015,0
1971.4583,6.976,0
1971.5417,6.982,0
1971.625,6.931,0
1971.7083,6.938,0
1971.7917,6.958,0
1971.875,6.946,0
1971.9583,6.943,0
1972.0417,6.985,0
1972.125,7.103,0
1972.2083,7.037,0
1972.2917,6.955,0
1972.375,6.934,0
1972.4583,6.97,0
1972.5417,6.992,0
1972.625,7.013,0
1972.7083,7.117,0
1972.7917,7.207,0
1972.875,7.11,0
1972.9583,7.099,0
1973.0417,7.006,0
1973.125,6.904,0
1973.2083,6.991,0
1973.2917,7.007,0
1973.375,7.096,0
1973.4583,7.033,0
1973.5417,7.051,0
1973.625,7.042,0
1973.7083,7.05,0
1973.7917,7.059,0
1973.875,7.087,0
1973.9583,7.063,0
1974.0417,7.089,0
1974.125,7.055,0
1974.2083,7.048,0
1974.2917,7.112,0
1974.375,7.092,0
1974.4583,7.139,0
1974.5417,7.083,0
1974.625,7.087,0
1974.7083,7.119,0
1974.7917,7.045,0
1974.875,7.11,0
1974.9583,7.004,0
1975.0417,7.071,0
1975.125,7.109,0
1975.2083,7.094,0
1975.2917,6.985,0
1975.375,7.032,0
1975.4583,7.036,0
1975.5417,7.046,0
1975.625,7.055,0
1975.7083,7.054,0
1975.7917,7.109,0
1975.875,7.063,0
1975.9583,7.067,0
1976.0417,7.011,0
1976.125,7.063,0
1976.2083,7.035,0
1976.2917,7.065,0
1976.375,6.98,0
1976.4583,7.045,0
1976.5417,7.055,0
1976.625,7.106,0
1976.7083,7.109,0
1976.7917,7.225,0
1976.875,7.077,0
1976.9583,7.214,0
1977.0417,7.186,0
1977.125,7.152,0
1977.2083,7.125,0
1977.2917,7.057,0
1977.375,7.02,0
1977.4583,7.051,0
1977.5417,6.986,0
1977.625,7.018,0
1977.7083,7.091,0
1977.7917,7.121,4
1977.875,7.006,0
1977.9583,7.137,0
1978.0417,6.974,0
1978.125,7.095,0
1978.2083,6.88,0
1978.2917,6.947,0
1978.375,6.955,0
1978.4583,6.952,0
1978.5417,6.886,0
1978.625,6.917,0
1978.7083,6.948,0
1978.7917,6.956,0
1978.875,6.936,0
1978.9583,7.197,0
1979.0417,7.078,0
1979.125,7.042,0
1979.2083,7.039,0
1979.2917,7.015,0
1979.375,7.023,0
1979.4583,7.029,0
1979.5417,7.003,0
1979.625,6.981,0
1979.7083,7.017,0
1979.7917,7.166,0
1979.875,6.968,0
1979.9583,7.005,0
1980.0417,7.084,0
1980.125,7.05,0
1980.2083,7.051,0
1980.2917,7.05,0
1980.375,7.033,0
1980.4583,6.991,0
1980.5417,7.016,0
1980.625,7.031,0
1980.7083,7.064,0
1980.7917,7.09,0
1980.875,7.147,0
1980.9583,6.933,0
1981.0417,6.89,0
1981.125,6.987,0
1981.2083,7.1,0
1981.2917,7.191,0
1981.375,7.231,0
1981.4583,7.226,0
1981.5417,7.154,0
1981.625,7.241,0
1981.7083,7.197,0
1981.7917,7.129,0
1981.875,7.113,0
1981.9583,7.239,0
1982.0417,7.199,0
1982.125,7.15,0
1982.2083,6.98,0
1982.2917,7.11,2
1982.375,6.962,0
1982.4583,6.992,0
1982.5417,7.022,4
1982.625,6.98,0
1982.7083,7.119,0
1982.7917,7.05,0
1982.875,7.103,0
1982.9583,6.97,0
1983.0417,6.934,0
1983.125,7.04,0
1983.2083,6.976,0
1983.2917,7.087,0
1983.375,7.095,0
1983.4583,7.018,0
1983.5417,7.044,0
1983.625,7.012,0
1983.7083,7.002,0
1983.7917,7.057,3
1983.875,7.259,0
1983.9583,7.145,0
1984.0417,6.987,0
1984.125,6.918,0
1984.2083,7.061,0
1984.2917,7.064,0
1984.375,7.033,0
1984.4583,7.019,0
1984.5417,6.993,0
1984.625,6.994,0
1984.7083,6.997,0
1984.7917,7.036,0
1984.875,7.193,0
1984.9583,7.045,0
1985.0417,7.153,0
1985.125,7.159,0
1985.2083,6.979,0
1985.2917,7.05,0
1985.375,7.035,0
1985.4583,7.045,0
1985.5417,6.995,0
1985.625,6.953,0
1985.7083,7.003,0
1985.7917,7.047,0
1985.875,7.136,0
1985.9583,7.076,2
1995.0417,6.955,0
1995.125,6.971,0
1995.2083,6.95,0
1995.2917,7.042,0
1995.375,6.99,5
1995.4583,7.028,0
1995.5417,7.031,0
1995.7083,7.038,0
1995.7917,7.119,0
1995.875,7.209,0
1995.9583,7.231,0
2002.625,6.922,5
2002.7083,7.081,0
2002.7917,7.189,0
2002.875,7.186,0
2002.9583,7.203,0
2003.0417,7.047,0
2003.125,7.036,0
2003.2083,7.111,0
2003.2917,7.161,0
2003.375,7.002,0
2003.4583,7.084,0
2003.5417,7.019,0
2003.625,7.083,0
2003.7083,7.081,0
2003.7917,7.199,0
2003.875,7.157,0
2003.9583,7.115,0
2004.0417,7.042,0
2004.125,7.095,0
2004.2083,6.997,9
2004.2917,7.08,15
2004.375,7.054,0
2004.4583,7.032,0
2004.5417,7.013,3
2004.7083,7.067,0
2004.7917,7.198,6
2004.875,7.035,2
2005.2917,6.994,14
2005.375,6.994,0
2005.4583,7.054,0
2005.5417,7.018,0
2005.625,7.028,0
2005.7083,7.017,0
2005.7917,7.133,0
2005.875,7.094,0
2005.9583,7.051,0
2006.0417,6.974,0
2006.125,7.013,0
2006.2083,7.06,0
2006.2917,7.043,0
2006.375,6.993,0
2006.4583,7.037,0
2006.5417,7.007,0
2006.625,7.031,0
2006.7083,7.091,0
2006.7917,7.221,4
2006.875,7.216,0
2006.9583,7.037,0
2007.0417,7.007,0
2007.125,7.083,0
2007.2083,6.963,0
2007.2917,7.017,0
