year_decimal,sea_level_m,flag
1977.375,7.014,9
1977.4583,7.01,0
1977.5417,6.998,0
1977.625,7.023,0
1977.7083,7.075,0
1977.7917,7.143,0
1977.875,7.071,0
1977.9583,7.195,0
1978.0417,7.102,0
1978.125,7.136,0
1978.2083,6.932,0
1978.2917,6.989,0
1978.375,6.983,0
1978.4583,6.982,0
1978.5417,6.991,0
1978.625,7.003,0
1978.7083,7.055,0
1978.7917,7.111,0
1978.875,7.066,0
1978.9583,7.142,0
1979.0417,7.179,0
1979.2083,6.987,0
1979.2917,6.987,0
1979.375,6.975,0
1979.4583,7.044,0
1979.625,7.063,6
1979.7083,7.08,0
1979.7917,7.171,0
1979.875,7.022,0
1979.9583,7.016,4
1980.0417,7.051,0
1980.125,7.011,0
1980.2083,7.031,0
1980.2917,7.09,0
1980.375,7.035,0
1980.4583,7.022,0
1980.5417,7.044,0
1980.625,7.046,0
1980.7083,7.086,0
1980.7917,7.107,0
1980.875,7.131,0
1980.9583,6.952,0
1981.0417,6.924,0
1981.125,6.993,0
1981.2083,7.03,0
1981.2917,7.038,0
1981.375,7.014,0
1981.5417,7.023,0
1981.625,7.068,0
1981.7083,7.05,0
1981.7917,7.069,0
1981.875,7.093,0
1981.9583,7.107,0
1982.0417,7.065,0
1982.125,7.043,0
1982.2083,6.978,0
1982.2917,7.094,0
1982.375,6.996,0
1982.4583,6.992,0
1982.5417,7.009,0
1982.625,7.033,0
1982.7083,7.105,0
1982.7917,7.028,0
1982.875,7.09,0
1982.9583,6.952,0
1983.0417,6.936,0
1983.125,7.041,0
1983.2083,7.025,0
1983.2917,7.045,0
1983.375,7.018,0
1983.4583,7.021,0
1983.5417,7.02,0
1983.625,7.023,0
1983.7083,7.051,0
1983.7917,7.093,0
1983.875,7.241,0
1983.9583,7.095,0
1984.0417,6.933,0
1984.125,6.94,1
1984.2083,7.068,0
1984.2917,7.081,6
1984.375,7.042,0
1984.4583,7.019,0
1984.5417,7.011,0
1984.625,7.043,0
1984.7083,7.061,0
1984.7917,7.033,0
1984.875,7.123,0
1984.9583,7.044,0
1985.0417,7.101,0
1985.125,7.075,0
1985.2083,6.967,0
1985.2917,7.03,0
1985.375,7.064,0
1985.4583,7.039,0
1985.5417,7.027,0
1985.625,6.999,0
1985.7083,7.05,0
1985.7917,7.09,0
1985.875,7.128,0
1985.9583,7.054,0
1986.0417,6.936,0
1986.125,7.069,0
1986.2083,6.96,0
1986.2917,7.025,0
1986.375,7.001,0
1986.4583,7.062,0
1986.5417,7.081,0
1986.625,7.029,4
1986.7083,7.093,1
1986.7917,7.093,4
1986.875,6.995,0
1986.9583,6.97,0
1987.0417,7.063,0
1987.125,7.011,0
1987.2083,7.038,0
1987.2917,7.053,0
1987.4583,7.025,0
1987.5417,7.105,9
1987.625,7.124,0
1987.7083,7.143,0
1987.7917,7.144,0
1987.875,7.123,0
1987.9583,7.174,0
1991.0417,7.002,0
1991.125,7.031,0
1991.2083,7.077,0
1991.2917,7.041,0
1991.375,7.037,0
1991.4583,7.063,0
1991.5417,7.102,10
1991.625,7.125,14
1991.7083,7.095,0
1991.7917,7.118,0
1991.875,7.06,0
1991.9583,7.059,0
1992.0417,7.041,0
1992.125,7.003,0
1992.2083,6.995,0
1992.2917,7.008,8
1992.375,7.062,6
1992.4583,7.069,0
1992.5417,7.067,2
1992.625,7.096,0
1992.7083,7.058,0
1992.7917,7.109,0
1997.2083,7.062,6
1997.2917,7.081,0
1997.375,7.073,0
1997.4583,7.06,0
1997.5417,7.011,0
1997.625,7.049,0
1997.7083,7.099,0
1997.7917,7.164,0
1997.875,7.149,0
1997.9583,7.09,0
1998.0417,7.07,0
1998.125,7.118,0
1998.2083,7.028,0
1998.2917,7.02,0
1998.375,7.077,6
1998.4583,7.034,0
1998.5417,7.064,0
1998.625,7.085,0
1998.7083,7.089,0
1998.7917,7.038,0
1998.875,7.048,0
1998.9583,7.003,0
1999.0417,6.995,0
1999.125,6.945,0
1999.2083,7.041,0
1999.2917,6.988,0
1999.375,7.029,0
1999.4583,7.025,0
1999.5417,7.051,0
1999.625,7.077,0
1999.7083,7.096,0
1999.7917,7.141,0
1999.875,7.108,0
1999.9583,7.007,0
2000.0417,7.013,0
2000.125,6.937,0
2000.2083,7.021,0
2000.2917,7.116,0
2000.375,7.086,0
2000.4583,7.02,0
2000.5417,7.052,0
2000.625,7.056,0
2000.7083,7.091,0
2000.7917,7.054,0
2000.875,7.084,0
2000.9583,7.144,0
2001.0417,7.063,0
2001.125,7.018,0
2001.2083,7.099,0
2001.2917,6.975,0
2001.375,7.049,0
2001.4583,7.016,0
2001.5417,7.021,0
2001.625,7.039,0
2001.7083,7.135,3
2001.875,7.097,8
2001.9583,7.148,0
2002.0417,7.067,7
2002.2083,7.098,9
2002.2917,7.127,0
2002.375,7.028,0
2002.4583,7.04,0
2002.5417,7.048,0
2002.625,7.065,0
2002.7083,7.163,4
2002.7917,7.159,8
2002.875,7.151,0
2002.9583,7.15,0
2003.0417,7.021,0
2003.125,7.028,0
