station,feature_set,features,n_years_used,year_range_used,cv_folds,model,can_extrapolate_trend,rmse_mm_mean,rmse_mm_std,mae_mm_mean,mae_mm_std,r2_mean,r2_std
Leixões,year_only,year,50,1956-2022,5,Linear Regression,True,66.2,63.6,59.9,63.1,-8.252,15.379
Leixões,year_only,year,50,1956-2022,5,Ridge Regression,True,63.5,58.1,57.2,57.8,-7.138,13.167
Leixões,year_only,year,50,1956-2022,5,Lasso Regression,True,42.4,13.3,34.2,13.2,-1.471,1.713
Leixões,year_only,year,50,1956-2022,5,K-Nearest Neighbors,False,46.8,27.7,40.5,27.7,-2.01,3.288
Leixões,year_only,year,50,1956-2022,5,Decision Tree,False,49.9,21.7,43.3,23.3,-6.136,11.141
Leixões,year_only,year,50,1956-2022,5,Random Forest,False,42.6,11.3,35.3,11.6,-2.261,3.544
Leixões,year_only,year,50,1956-2022,5,Gradient Boosting,False,49.1,21.9,42.6,23.5,-6.001,11.034
Leixões,year_only,year,50,1956-2022,5,Support Vector Regression,True,68.3,56.0,61.5,55.7,-8.364,12.981
Leixões,year_only,year,50,1956-2022,5,Gaussian Process Regression,True,50.1,16.8,40.8,16.1,-2.491,2.037
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Linear Regression,True,93.3,59.5,81.9,57.4,-17.144,19.041
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Ridge Regression,True,81.7,49.1,71.3,48.6,-12.888,14.495
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Lasso Regression,True,42.4,13.3,34.2,13.2,-1.471,1.713
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,K-Nearest Neighbors,False,46.8,27.7,40.5,27.7,-2.01,3.288
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Decision Tree,False,48.6,23.0,42.6,23.8,-6.306,11.817
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Random Forest,False,44.9,15.2,37.6,11.4,-3.163,5.263
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Gradient Boosting,False,48.9,29.8,42.3,27.0,-8.201,16.128
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Support Vector Regression,True,85.6,49.6,77.0,49.2,-15.28,17.586
Leixões,year+NAO+AMO,"year,nao_annual,amo_annual",50,1956-2022,5,Gaussian Process Regression,True,65.7,50.7,57.8,50.3,-6.602,10.824
Sines,year_only,year,39,1977-2022,5,Linear Regression,True,35.4,15.5,31.9,14.1,-1.712,1.553
Sines,year_only,year,39,1977-2022,5,Ridge Regression,True,35.7,14.8,32.4,13.4,-1.789,1.482
Sines,year_only,year,39,1977-2022,5,Lasso Regression,True,60.6,23.0,56.0,24.9,-14.688,19.81
Sines,year_only,year,39,1977-2022,5,K-Nearest Neighbors,False,35.6,12.7,31.3,12.3,-2.631,3.26
Sines,year_only,year,39,1977-2022,5,Decision Tree,False,32.9,11.3,26.4,11.3,-1.59,1.954
Sines,year_only,year,39,1977-2022,5,Random Forest,False,31.7,5.6,26.1,4.2,-1.372,1.138
Sines,year_only,year,39,1977-2022,5,Gradient Boosting,False,33.0,10.9,26.5,10.8,-1.597,1.885
Sines,year_only,year,39,1977-2022,5,Support Vector Regression,True,40.4,24.2,36.2,23.0,-2.563,3.084
Sines,year_only,year,39,1977-2022,5,Gaussian Process Regression,True,37.2,13.0,31.0,12.2,-1.925,1.249
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Linear Regression,True,39.7,8.9,35.7,8.7,-2.756,1.743
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Ridge Regression,True,39.7,8.3,35.7,8.2,-2.808,1.867
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Lasso Regression,True,60.6,23.0,56.0,24.9,-14.688,19.81
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,K-Nearest Neighbors,False,35.6,12.7,31.3,12.3,-2.631,3.26
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Decision Tree,False,35.1,9.9,28.5,10.0,-3.789,6.465
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Random Forest,False,33.0,9.2,27.5,8.9,-2.339,3.381
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Gradient Boosting,False,36.3,7.6,30.3,7.4,-3.493,5.095
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Support Vector Regression,True,36.3,12.6,32.5,11.6,-1.995,1.611
Sines,year+NAO+AMO,"year,nao_annual,amo_annual",39,1977-2022,5,Gaussian Process Regression,True,44.1,16.2,40.2,14.9,-4.281,4.164
Cascais,year_only,year,26,1958-1985,5,Linear Regression,True,41.6,17.9,38.5,18.6,-9.426,10.592
Cascais,year_only,year,26,1958-1985,5,Ridge Regression,True,38.9,15.0,35.7,15.5,-8.188,9.283
Cascais,year_only,year,26,1958-1985,5,Lasso Regression,True,22.4,8.6,18.2,7.5,-1.523,1.587
Cascais,year_only,year,26,1958-1985,5,K-Nearest Neighbors,False,25.9,5.2,21.6,4.2,-2.627,1.637
Cascais,year_only,year,26,1958-1985,5,Decision Tree,False,30.2,10.6,25.9,11.6,-6.722,10.412
