station,scenario,scenario_note,n_years_used,year_range_used,cv_folds,model,can_extrapolate_trend,rmse_mm_mean,rmse_mm_std,mae_mm_mean,mae_mm_std,r2_mean,r2_std,prediction_2100_m,change_vs_last_observed_mm
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Linear Regression,True,66.2,63.6,59.9,63.1,-8.252,15.379,7.17,27.5
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Ridge Regression,True,63.5,58.1,57.2,57.8,-7.138,13.167,7.168,25.4
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Lasso Regression,True,42.4,13.3,34.2,13.2,-1.471,1.713,7.062,-80.6
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,K-Nearest Neighbors,False,46.8,27.7,40.5,27.7,-2.01,3.288,7.119,-23.5
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Decision Tree,False,49.9,21.7,43.3,23.3,-6.136,11.141,7.143,0.0
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Random Forest,False,42.6,11.3,35.3,11.6,-2.261,3.544,7.134,-8.7
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Gradient Boosting,False,49.1,21.9,42.6,23.5,-6.001,11.034,7.14,-2.5
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Support Vector Regression,True,68.3,56.0,61.5,55.7,-8.364,12.981,7.198,54.9
Leixões,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,50,1956-2022,5,Gaussian Process Regression,True,50.1,16.8,40.8,16.1,-2.491,2.037,7.17,27.1
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Linear Regression,True,62.9,54.4,56.9,53.6,-7.002,11.893,7.187,44.3
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Ridge Regression,True,59.9,48.7,53.8,48.1,-5.915,9.872,7.185,41.7
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Lasso Regression,True,43.0,13.6,34.9,13.4,-1.587,1.93,7.06,-83.3
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,K-Nearest Neighbors,False,44.4,23.8,38.0,23.4,-1.557,2.383,7.119,-23.5
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Decision Tree,False,49.9,21.7,43.3,23.3,-6.136,11.141,7.143,0.0
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Random Forest,False,42.1,11.6,34.8,11.9,-2.328,3.807,7.134,-9.2
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Gradient Boosting,False,48.9,21.5,42.4,23.1,-5.87,10.778,7.141,-2.3
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Support Vector Regression,True,68.9,53.2,62.4,52.9,-8.742,12.135,7.202,59.0
Leixões,no_outliers,"Year(s) [1961] removed (flagged by 13a3's own outlier check, >3 standard deviations from a simple trend line).",49,1956-2022,5,Gaussian Process Regression,True,46.4,7.1,38.5,6.9,-2.435,2.74,7.178,34.8
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Linear Regression,True,26.9,7.3,22.7,5.8,-1.843,2.699,7.363,219.9
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Ridge Regression,True,27.2,7.3,23.0,5.8,-1.981,2.976,7.35,206.7
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Lasso Regression,True,35.1,10.5,29.8,12.0,-6.031,9.583,7.085,-58.0
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,K-Nearest Neighbors,False,28.5,8.7,24.5,8.3,-3.12,5.469,7.119,-23.5
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Decision Tree,False,29.2,8.2,25.7,7.7,-2.079,2.512,7.143,0.0
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Random Forest,False,26.7,7.5,24.0,6.5,-1.946,2.928,7.135,-8.1
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Gradient Boosting,False,29.2,8.2,25.7,7.7,-2.085,2.526,7.143,-0.4
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Support Vector Regression,True,32.6,8.2,26.8,6.6,-2.466,1.953,7.445,301.9
Leixões,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",20,1995-2022,5,Gaussian Process Regression,True,33.1,8.3,30.5,8.9,-3.414,4.392,7.32,177.0
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Linear Regression,True,22.7,2.9,20.4,3.3,-1.48,1.041,7.49,347.0
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Ridge Regression,True,22.2,3.0,19.4,3.5,-1.526,1.462,7.465,322.3
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Lasso Regression,True,32.4,11.0,29.4,11.3,-6.563,7.975,7.094,-48.8
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,K-Nearest Neighbors,False,28.2,10.9,26.1,10.4,-4.918,6.461,7.119,-23.5
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Decision Tree,False,24.3,7.1,21.3,6.9,-2.513,3.103,7.143,0.0
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Random Forest,False,22.4,6.7,20.3,6.3,-2.434,3.438,7.133,-9.5
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Gradient Boosting,False,24.3,7.1,21.3,6.9,-2.499,3.083,7.143,-0.3
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Support Vector Regression,True,24.2,13.3,20.3,11.8,-1.283,1.042,7.535,391.6
Leixões,short_term_recent,"Most recent 15 years only (2008-2022). CAUTION: a trend fit on this few years is a much weaker basis for an 80-year extrapolation to 2100 than the full record — included because it was requested, not because it is the most defensible scenario.",15,2008-2022,3,Gaussian Process Regression,True,23.7,7.6,20.3,7.6,-2.232,2.778,7.46,317.4
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Linear Regression,True,46.4,20.7,39.3,17.4,-1.017,0.327,7.17,27.5
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Ridge Regression,True,45.3,19.7,38.3,16.4,-0.942,0.316,7.168,25.4
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Lasso Regression,True,42.2,14.8,33.9,14.6,-1.101,1.353,7.062,-80.6
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,K-Nearest Neighbors,False,39.0,13.6,31.2,12.5,-0.654,0.825,7.119,-23.5
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Decision Tree,False,56.2,23.7,50.2,25.1,-6.433,8.904,7.143,0.0
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Random Forest,False,43.6,8.7,37.8,7.5,-2.037,2.682,7.134,-8.7
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Gradient Boosting,False,56.1,23.5,50.3,24.6,-6.356,8.788,7.14,-2.5
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Support Vector Regression,True,47.6,6.5,39.7,5.5,-2.353,2.55,7.198,54.9
Leixões,fold_count_check,"Same data as full_record, but 3 CV folds instead of 5, to check whether the fold count itself changes the conclusion (not a different dataset at all).",50,1956-2022,3,Gaussian Process Regression,True,55.8,21.4,47.0,19.9,-2.052,0.22,7.17,27.1
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Linear Regression,True,35.4,15.5,31.9,14.1,-1.712,1.553,7.43,238.8
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Ridge Regression,True,35.7,14.8,32.4,13.4,-1.789,1.482,7.421,230.6
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Lasso Regression,True,60.6,23.0,56.0,24.9,-14.688,19.81,7.102,-89.1
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,K-Nearest Neighbors,False,35.6,12.7,31.3,12.3,-2.631,3.26,7.176,-15.1
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Decision Tree,False,32.9,11.3,26.4,11.3,-1.59,1.954,7.191,0.0
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Random Forest,False,31.7,5.6,26.1,4.2,-1.372,1.138,7.187,-4.1
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Gradient Boosting,False,33.0,10.9,26.5,10.8,-1.597,1.885,7.19,-0.9
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Support Vector Regression,True,40.4,24.2,36.2,23.0,-2.563,3.084,7.456,265.6
Sines,full_record,Every year on file (same data as 13a3_sealevel_ml_models.py).,39,1977-2022,5,Gaussian Process Regression,True,37.2,13.0,31.0,12.2,-1.925,1.249,7.414,223.3
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Linear Regression,True,35.4,15.5,31.9,14.1,-1.712,1.553,7.43,238.8
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Ridge Regression,True,35.7,14.8,32.4,13.4,-1.789,1.482,7.421,230.6
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Lasso Regression,True,60.6,23.0,56.0,24.9,-14.688,19.81,7.102,-89.1
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,K-Nearest Neighbors,False,35.6,12.7,31.3,12.3,-2.631,3.26,7.176,-15.1
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Decision Tree,False,32.9,11.3,26.4,11.3,-1.59,1.954,7.191,0.0
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Random Forest,False,31.7,5.6,26.1,4.2,-1.372,1.138,7.187,-4.1
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Gradient Boosting,False,33.0,10.9,26.5,10.8,-1.597,1.885,7.19,-0.9
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Support Vector Regression,True,40.4,24.2,36.2,23.0,-2.563,3.084,7.456,265.6
Sines,no_outliers,"No year was flagged by the outlier check for this station, so this scenario is IDENTICAL to full_record here.",39,1977-2022,5,Gaussian Process Regression,True,37.2,13.0,31.0,12.2,-1.925,1.249,7.414,223.3
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Linear Regression,True,32.7,17.1,30.4,16.8,-13.504,23.25,7.585,394.7
Sines,recent_period,"Restricted to year >= 1993 — the same cutoff already used in 13a_sealevel_regression.py, not a new one chosen here.",26,1997-2022,5,Ridge Regression,True,31.1,16.8,28.5,16.6,-12.989,23.435,7.568,377.7
