year,scenario,scenario_label,slr_m,gdp_at_risk_bn,infra_replacement_bn,infra_buildings_bn,infra_roads_bn,infra_railways_bn,infra_utilities_bn,total_exposure_bn,buildings_count,roads_km,railways_km
2025,ssp126,SSP1-2.6 (Low),0.035,0.0613,1.0737,1.050020304,0.002981774,0.00086614,0.019835212,1.135,1378.0,24.79,0.17
2026,ssp126,SSP1-2.6 (Low),0.042,0.0741,1.2943,1.268022582,0.003338032,0.00086614,0.02206914,1.3684,1662.0,27.59,0.17
2027,ssp126,SSP1-2.6 (Low),0.049,0.0862,1.5067,1.480440649,0.003338032,0.00086614,0.02206914,1.5929,1945.0,27.59,0.17
2028,ssp126,SSP1-2.6 (Low),0.056,0.0991,1.7309,1.703772272,0.003443769,0.00086614,0.022804703,1.83,2239.0,28.51,0.17
2029,ssp126,SSP1-2.6 (Low),0.063,0.1124,1.9632,1.93118543,0.005117289,0.00086614,0.026052135,2.0756,2538.0,32.57,0.17
2030,ssp126,SSP1-2.6 (Low),0.07,0.1263,2.2037,2.167606545,0.005525419,0.001715075,0.0288913,2.33,2847.0,36.11,0.34
2031,ssp126,SSP1-2.6 (Low),0.0765,0.1393,2.4266,2.390369509,0.005554194,0.001715075,0.029006403,2.5659,3138.0,36.26,0.34
2032,ssp126,SSP1-2.6 (Low),0.083,0.1533,2.6648,2.627963301,0.005628762,0.001715075,0.029525132,2.8181000000000003,3447.0,36.91,0.34
2033,ssp126,SSP1-2.6 (Low),0.0895,0.1667,2.8943,2.857476523,0.005628762,0.001715075,0.029525132,3.061,3746.0,36.91,0.34
2034,ssp126,SSP1-2.6 (Low),0.096,0.1808,3.1354,3.098497007,0.005628762,0.001715075,0.029525132,3.3162000000000003,4059.0,36.91,0.34
2035,ssp126,SSP1-2.6 (Low),0.1025,0.1951,3.3777,3.340598093,0.005666334,0.001715075,0.029675421,3.5728,4373.0,37.09,0.34
2036,ssp126,SSP1-2.6 (Low),0.109,0.2086,3.613,3.574129502,0.005888853,0.001715075,0.031223378,3.8216,4682.0,39.03,0.34
2037,ssp126,SSP1-2.6 (Low),0.1155,0.2234,3.8644,3.825548655,0.005888853,0.001715075,0.031223378,4.0878,5009.0,39.03,0.34
2038,ssp126,SSP1-2.6 (Low),0.122,0.2378,4.1122,4.072699912,0.005970805,0.001715075,0.031793484,4.35,5331.0,39.74,0.34
2039,ssp126,SSP1-2.6 (Low),0.1285,0.2529,4.3664,4.326950579,0.005970805,0.001715075,0.031793484,4.6193,5658.0,39.74,0.34
2040,ssp126,SSP1-2.6 (Low),0.135,0.2695,4.6459,4.606276794,0.005991915,0.001715075,0.031940337,4.9154,6011.0,39.93,0.34
2041,ssp126,SSP1-2.6 (Low),0.1415,0.2855,4.9202,4.879059736,0.006180915,0.001715075,0.033255114,5.2057,6367.0,41.57,0.34
2042,ssp126,SSP1-2.6 (Low),0.148,0.3022,5.2041,5.162335632,0.006261843,0.001715075,0.033818095,5.5063,6731.0,42.27,0.34
2043,ssp126,SSP1-2.6 (Low),0.1545,0.3194,5.4947,5.451096299,0.006485499,0.001715075,0.035373965,5.8141,7098.0,44.22,0.34
2044,ssp126,SSP1-2.6 (Low),0.161,0.3354,5.7689,5.723519777,0.006802037,0.001715075,0.036838893,6.1043,7452.0,46.05,0.34
2045,ssp126,SSP1-2.6 (Low),0.1675,0.3529,6.0664,6.021018065,0.006802037,0.001715075,0.036838893,6.4193,7835.0,46.05,0.34
2046,ssp126,SSP1-2.6 (Low),0.174,0.3699,6.3547,6.309352973,0.006802037,0.001715075,0.036838893,6.724600000000001,8203.0,46.05,0.34
2047,ssp126,SSP1-2.6 (Low),0.1805,0.3886,6.6687,6.623284945,0.006810756,0.001715075,0.036899551,7.057300000000001,8598.0,46.12,0.34
