year,scenario,scenario_label,slr_m,density_scenario,density_label,buildings_count,infra_buildings_bn,roads_eur,railways_eur,utilities_eur,infra_replacement_bn,gdp_at_risk_bn,total_exposure_bn
2025,ssp126,SSP1-2.6 (Low),0.035,base,Base estimate,1378.0,1.050020304,2981774.0,866140.0,19835212.0,1.0737,0.0613,1.135
2026,ssp126,SSP1-2.6 (Low),0.042,base,Base estimate,1662.0,1.268022582,3338032.0,866140.0,22069140.0,1.2943,0.0741,1.3684
2027,ssp126,SSP1-2.6 (Low),0.049,base,Base estimate,1945.0,1.480440649,3338032.0,866140.0,22069140.0,1.5067,0.0862,1.5929
2028,ssp126,SSP1-2.6 (Low),0.056,base,Base estimate,2239.0,1.703772272,3443769.0,866140.0,22804703.0,1.7309,0.0991,1.83
2029,ssp126,SSP1-2.6 (Low),0.063,base,Base estimate,2538.0,1.93118543,5117289.0,866140.0,26052135.0,1.9632,0.1124,2.0756
2030,ssp126,SSP1-2.6 (Low),0.07,base,Base estimate,2847.0,2.167606545,5525419.0,1715075.0,28891300.0,2.2037,0.1263,2.33
2031,ssp126,SSP1-2.6 (Low),0.0765,base,Base estimate,3138.0,2.390369509,5554194.0,1715075.0,29006403.0,2.4266,0.1393,2.5659
2032,ssp126,SSP1-2.6 (Low),0.083,base,Base estimate,3447.0,2.627963301,5628762.0,1715075.0,29525132.0,2.6648,0.1533,2.8181000000000003
2033,ssp126,SSP1-2.6 (Low),0.0895,base,Base estimate,3746.0,2.857476523,5628762.0,1715075.0,29525132.0,2.8943,0.1667,3.061
2034,ssp126,SSP1-2.6 (Low),0.096,base,Base estimate,4059.0,3.098497007,5628762.0,1715075.0,29525132.0,3.1354,0.1808,3.3162000000000003
2035,ssp126,SSP1-2.6 (Low),0.1025,base,Base estimate,4373.0,3.340598093,5666334.0,1715075.0,29675421.0,3.3777,0.1951,3.5728
2036,ssp126,SSP1-2.6 (Low),0.109,base,Base estimate,4682.0,3.574129502,5888853.0,1715075.0,31223378.0,3.613,0.2086,3.8216
2037,ssp126,SSP1-2.6 (Low),0.1155,base,Base estimate,5009.0,3.825548655,5888853.0,1715075.0,31223378.0,3.8644,0.2234,4.0878
2038,ssp126,SSP1-2.6 (Low),0.122,base,Base estimate,5331.0,4.072699912,5970805.0,1715075.0,31793484.0,4.1122,0.2378,4.35
2039,ssp126,SSP1-2.6 (Low),0.1285,base,Base estimate,5658.0,4.326950579,5970805.0,1715075.0,31793484.0,4.3664,0.2529,4.6193
2040,ssp126,SSP1-2.6 (Low),0.135,base,Base estimate,6011.0,4.606276794,5991915.0,1715075.0,31940337.0,4.6459,0.2695,4.9154
2041,ssp126,SSP1-2.6 (Low),0.1415,base,Base estimate,6367.0,4.879059736,6180915.0,1715075.0,33255114.0,4.9202,0.2855,5.2057
2042,ssp126,SSP1-2.6 (Low),0.148,base,Base estimate,6731.0,5.162335632,6261843.0,1715075.0,33818095.0,5.2041,0.3022,5.5063
2043,ssp126,SSP1-2.6 (Low),0.1545,base,Base estimate,7098.0,5.451096299,6485499.0,1715075.0,35373965.0,5.4947,0.3194,5.8141
2044,ssp126,SSP1-2.6 (Low),0.161,base,Base estimate,7452.0,5.723519777,6802037.0,1715075.0,36838893.0,5.7689,0.3354,6.1043
2045,ssp126,SSP1-2.6 (Low),0.1675,base,Base estimate,7835.0,6.021018065,6802037.0,1715075.0,36838893.0,6.0664,0.3529,6.4193
2046,ssp126,SSP1-2.6 (Low),0.174,base,Base estimate,8203.0,6.309352973,6802037.0,1715075.0,36838893.0,6.3547,0.3699,6.724600000000001
2047,ssp126,SSP1-2.6 (Low),0.1805,base,Base estimate,8598.0,6.623284945,6810756.0,1715075.0,36899551.0,6.6687,0.3886,7.057300000000001
2048,ssp126,SSP1-2.6 (Low),0.187,base,Base estimate,8976.0,6.916281097,7021330.0,1715075.0,38118931.0,6.9631,0.4058,7.3689
