feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,residential,Residential,1.0354032516479492,0.1603,18431.391273588662,0.02,38.175,-8.569129,38.175099,-8.569951,38.174955,-8.56813
road,Road,primary,Primary,0.9845368266105652,0.9161,1832263.3572336745,1.83,41.694618,-8.820761,41.689725,-8.814597,41.695658,-8.822205
road,Road,residential,Residential,0.3226036429405212,0.3088,35516.94309310793,0.04,37.033829,-7.833263,37.032463,-7.834105,37.034878,-7.832612
road,Road,residential,Residential,0.9221521615982056,0.7059,81177.6945360367,0.08,37.146447,-8.553281,37.145477,-8.556514,37.14441,-8.55153
road,Road,residential,Residential,0.9642245769500732,0.3403,39140.07984876451,0.04,37.08565,-8.01612,37.085669,-8.014523,37.085725,-8.018357
road,Road,unclassified,Unclassified,0.7355349659919739,0.0865,9948.871098307029,0.01,38.189404,-8.674883,38.189897,-8.67454,38.189226,-8.674845
road,Road,residential,Residential,0.8587536811828613,0.0636,7317.697169767232,0.01,38.015017,-8.691905,38.01475,-8.691553,38.015141,-8.692052
road,Road,residential,Residential,0.9642245769500732,0.0717,8240.995653194037,0.01,37.511654,-8.060117,37.511552,-8.060549,37.511834,-8.059873
road,Road,unclassified,Unclassified,0.9694462418556212,1.0622,122150.65871142811,0.12,41.687231,-8.770244,41.692194,-8.773441,41.684341,-8.767733
railway,Railway,rail,Rail,0.3213192224502563,0.17,849931.6575537517,0.85,41.875494,-8.830796,41.874738,-8.83258,41.875494,-8.830796
road,Road,primary,Primary,0.370579183101654,0.075,149951.95765107186,0.15,37.897155,-8.239565,37.897089,-8.239195,37.897242,-8.240027
railway,Railway,rail,Rail,0.9845368266105652,0.647,3234913.3005419415,3.23,41.694601,-8.820739,41.691249,-8.816385,41.695431,-8.821801
road,Road,residential,Residential,0.9642245769500732,0.0485,5578.924855935222,0.01,38.091797,-7.973097,38.091379,-7.972938,38.091797,-7.973097
road,Road,residential,Residential,0.7214353084564209,0.35,40247.8589980156,0.04,37.088171,-8.221726,37.089376,-8.222881,37.089127,-8.221837
road,Road,residential,Residential,0.8587536811828613,0.0127,1460.940167256755,0.0,37.952483,-8.874496,37.952464,-8.874354,37.952483,-8.874496
road,Road,unclassified,Unclassified,0.5,0.2732,31419.43886467203,0.03,37.138414,-8.164055,37.139255,-8.163061,37.137773,-8.164681
road,Road,residential,Residential,0.9158198237419128,0.0162,1862.3256829759473,0.0,37.70649,-8.084184,37.706389,-8.084232,37.706527,-8.084171
road,Road,residential,Residential,0.9158198237419128,0.0086,983.604828922838,0.0,37.509146,-8.057109,37.509071,-8.057129,37.509146,-8.057109
road,Road,residential,Residential,0.9158198237419128,0.0266,3054.660892893153,0.0,37.691602,-8.049698,37.691455,-8.049828,37.691661,-8.049686
road,Road,residential,Residential,0.6402015686035156,0.4177,48036.55431219884,0.05,37.038606,-7.846455,37.037577,-7.850042,37.038817,-7.845601
railway,Railway,rail,Rail,0.3213192224502563,0.0198,98997.68648029168,0.1,40.188061,-8.568135,40.188042,-8.568366,40.188061,-8.568135
road,Road,primary,Primary,0.370579183101654,0.0869,173763.5623670891,0.17,37.145764,-8.660678,37.145064,-8.661115,37.145764,-8.660678
road,Road,unclassified,Unclassified,0.983350157737732,0.112,12879.377495057804,0.01,39.633957,-8.450189,39.634427,-8.450956,39.633724,-8.450077
road,Road,primary,Primary,0.5,0.1137,227356.0344532274,0.23,37.089048,-7.70967,37.08917,-7.709401,37.088637,-7.710495
road,Road,secondary,Secondary,0.5764957666397095,0.2175,108762.2450060664,0.11,40.641072,-8.658823,40.639567,-8.65934,40.641427,-8.658608
road,Road,residential,Residential,0.2871731519699096,0.056,6443.131962416763,0.01,37.67014,-8.374415,37.670037,-8.374806,37.670105,-8.374208
road,Road,secondary,Secondary,0.7114172577857971,0.1933,96658.29818504344,0.1,40.642834,-8.659321,40.642043,-8.658684,40.643411,-8.660051
road,Road,residential,Residential,1.0230847597122192,0.9472,108932.29436215696,0.11,40.63741,-8.741386,40.642984,-8.736475,40.636606,-8.742764
road,Road,tertiary,Tertiary,0.9902609586715698,0.0398,7966.849036947614,0.01,37.17029,-8.25572,37.170097,-8.256098,37.17029,-8.25572
road,Road,tertiary,Tertiary,0.2839430570602417,0.0518,10359.825788967451,0.01,37.241558,-8.187818,37.241936,-8.18816,37.241558,-8.187818
road,Road,tertiary,Tertiary,0.2839430570602417,0.0679,13585.858101919332,0.01,37.098563,-8.682228,37.098736,-8.682341,37.098736,-8.682341
road,Road,residential,Residential,0.4049002826213836,0.4348,49998.46101950882,0.05,37.115637,-8.485094,37.114171,-8.486438,37.117388,-8.484807
road,Road,residential,Residential,1.0470622777938845,0.1675,19266.510958494066,0.02,37.856579,-8.791039,37.856318,-8.789604,37.856267,-8.791175
road,Road,unclassified,Unclassified,0.5174675583839417,0.583,67044.1438505165,0.07,40.8336,-8.620865,40.833579,-8.623067,40.832934,-8.616229
road,Road,unclassified,Unclassified,1.0462267398834229,0.1075,12363.589107481712,0.01,37.170523,-8.531965,37.170785,-8.532237,37.170023,-8.531493
road,Road,unclassified,Unclassified,0.2821055948734283,1.7894,205778.77385327456,0.21,40.821533,-8.654959,40.820668,-8.649548,40.831801,-8.656851
road,Road,residential,Residential,0.0767853930592536,0.6484,74567.28192810979,0.07,38.461839,-9.122571,38.463513,-9.12676,38.460476,-9.121576
road,Road,unclassified,Unclassified,0.371244341135025,1.1413,131245.49000667667,0.13,38.577575,-8.995318,38.57278,-8.987181,38.578955,-8.997669
road,Road,residential,Residential,0.5566277503967285,0.3102,35668.81126217178,0.04,37.098041,-8.029987,37.099375,-8.030145,37.096682,-8.030098
road,Road,primary,Primary,0.9183868765830994,0.0667,133342.84394780884,0.13,37.187196,-8.453438,37.187188,-8.453959,37.187226,-8.45321
road,Road,residential,Residential,0.9513795375823976,0.706,81191.14738345932,0.08,37.804392,-8.776696,37.803351,-8.778534,37.807384,-8.779798
road,Road,residential,Residential,1.0050501823425293,0.2103,24185.89164411344,0.02,37.144648,-8.541237,37.145521,-8.54237,37.144214,-8.540659
road,Road,unclassified,Unclassified,0.5217616558074951,2.1839,251145.7255985772,0.25,40.636053,-8.671275,40.635774,-8.681728,40.641635,-8.663422
road,Road,residential,Residential,0.9707193970680236,0.0813,9346.767991370574,0.01,38.168297,-8.149227,38.168602,-8.149189,38.168151,-8.149704
road,Road,tertiary,Tertiary,0.9670584797859192,1.1318,226367.60826804725,0.23,40.618557,-8.749388,40.61317,-8.749521,40.623242,-8.748851
road,Road,tertiary,Tertiary,0.9902609586715698,0.0402,8033.783065831816,0.01,37.231817,-8.120087,37.231545,-8.119787,37.231817,-8.120087
road,Road,residential,Residential,0.1897750496864318,1.7946,206384.18326009228,0.21,40.56701,-8.690923,40.577549,-8.689764,40.562997,-8.686942
road,Road,tertiary,Tertiary,0.6187770962715149,5.0855,1017107.9273311195,1.02,40.545578,-8.770073,40.520811,-8.776648,40.560434,-8.758562
road,Road,tertiary,Tertiary,0.8766605257987976,1.1841,236827.857938208,0.24,40.534945,-8.664416,40.53528,-8.658539,40.533929,-8.666669
road,Road,residential,Residential,0.7441236972808838,0.3408,39191.3664305805,0.04,37.695045,-8.083796,37.693934,-8.083239,37.6968,-8.08461
road,Road,unclassified,Unclassified,0.8822877407073975,0.3009,34607.12476543689,0.03,39.556258,-8.441338,39.555376,-8.440286,39.557265,-8.44017
road,Road,residential,Residential,0.5,0.6734,77441.44425927599,0.08,40.171836,-8.616443,40.171934,-8.620589,40.171622,-8.61303
road,Road,secondary,Secondary,0.6674926280975342,0.1955,97736.23020924178,0.1,37.09435,-7.676417,37.094784,-7.676846,37.093282,-7.675765
road,Road,secondary,Secondary,0.5,1.7496,874790.2661176516,0.87,40.675253,-8.568092,40.681578,-8.578388,40.674425,-8.561111
road,Road,residential,Residential,1.0,0.5243,60291.47401645051,0.06,39.796048,-8.593143,39.798088,-8.591388,39.794171,-8.592137
road,Road,unclassified,Unclassified,0.9997621178627014,0.7641,87868.22578406872,0.09,40.64694,-8.704265,40.644725,-8.707274,40.645496,-8.702497
road,Road,unclassified,Unclassified,0.5,1.3713,157696.8480545311,0.16,40.667505,-8.565254,40.672706,-8.560933,40.662565,-8.569872
road,Road,secondary,Secondary,1.039026141166687,0.0494,24718.000372880535,0.02,37.36131,-7.570269,37.361452,-7.570267,37.361452,-7.570267
road,Road,unclassified,Unclassified,0.5,0.0963,11068.893397423302,0.01,37.209033,-8.323153,37.208424,-8.323456,37.209237,-8.323088
road,Road,motorway,Motorway,0.5,0.3394,2714995.907885726,2.71,40.677296,-8.571522,40.675575,-8.573107,40.678089,-8.570826
road,Road,motorway,Motorway,0.5,0.3414,2731355.5417939927,2.73,40.677258,-8.571778,40.678169,-8.570963,40.675635,-8.573249
road,Road,unclassified,Unclassified,0.7619844675064087,0.1049,12061.621725418692,0.01,39.576353,-8.588737,39.576522,-8.58979,39.576329,-8.588592
road,Road,residential,Residential,0.2812116146087646,1.2635,145303.752540727,0.15,38.87453,-8.413854,38.882335,-8.419545,38.87245,-8.412412
road,Road,unclassified,Unclassified,0.0225870124995708,1.9969,229646.1613709241,0.23,40.725635,-8.629815,40.734382,-8.627683,40.725235,-8.638339
road,Road,tertiary,Tertiary,0.6015484929084778,0.6084,121676.44389198288,0.12,38.62774,-8.685793,38.627762,-8.689754,38.627703,-8.68275
