year,scenario,scenario_label,slr_m,slr_cm
2025,ssp126,SSP1-2.6 (Low),0.035,3.5
2026,ssp126,SSP1-2.6 (Low),0.042,4.2
2027,ssp126,SSP1-2.6 (Low),0.049,4.9
2028,ssp126,SSP1-2.6 (Low),0.056,5.6
2029,ssp126,SSP1-2.6 (Low),0.063,6.3
2030,ssp126,SSP1-2.6 (Low),0.07,7.0
2031,ssp126,SSP1-2.6 (Low),0.0765,7.65
2032,ssp126,SSP1-2.6 (Low),0.083,8.3
2033,ssp126,SSP1-2.6 (Low),0.0895,8.95
2034,ssp126,SSP1-2.6 (Low),0.096,9.6
2035,ssp126,SSP1-2.6 (Low),0.1025,10.25
2036,ssp126,SSP1-2.6 (Low),0.109,10.9
2037,ssp126,SSP1-2.6 (Low),0.1155,11.55
2038,ssp126,SSP1-2.6 (Low),0.122,12.2
2039,ssp126,SSP1-2.6 (Low),0.1285,12.85
2040,ssp126,SSP1-2.6 (Low),0.135,13.5
2041,ssp126,SSP1-2.6 (Low),0.1415,14.15
2042,ssp126,SSP1-2.6 (Low),0.148,14.8
2043,ssp126,SSP1-2.6 (Low),0.1545,15.45
2044,ssp126,SSP1-2.6 (Low),0.161,16.1
2045,ssp126,SSP1-2.6 (Low),0.1675,16.75
2046,ssp126,SSP1-2.6 (Low),0.174,17.4
2047,ssp126,SSP1-2.6 (Low),0.1805,18.05
2048,ssp126,SSP1-2.6 (Low),0.187,18.7
2049,ssp126,SSP1-2.6 (Low),0.1935,19.35
2050,ssp126,SSP1-2.6 (Low),0.2,20.0
2051,ssp126,SSP1-2.6 (Low),0.204,20.4
2052,ssp126,SSP1-2.6 (Low),0.208,20.8
2053,ssp126,SSP1-2.6 (Low),0.212,21.2
2054,ssp126,SSP1-2.6 (Low),0.216,21.6
2055,ssp126,SSP1-2.6 (Low),0.22,22.0
2056,ssp126,SSP1-2.6 (Low),0.224,22.4
2057,ssp126,SSP1-2.6 (Low),0.228,22.8
2058,ssp126,SSP1-2.6 (Low),0.232,23.2
2059,ssp126,SSP1-2.6 (Low),0.236,23.6
2060,ssp126,SSP1-2.6 (Low),0.24,24.0
2061,ssp126,SSP1-2.6 (Low),0.244,24.4
2062,ssp126,SSP1-2.6 (Low),0.248,24.8
2063,ssp126,SSP1-2.6 (Low),0.252,25.2
2064,ssp126,SSP1-2.6 (Low),0.256,25.6
2065,ssp126,SSP1-2.6 (Low),0.26,26.0
2066,ssp126,SSP1-2.6 (Low),0.264,26.4
2067,ssp126,SSP1-2.6 (Low),0.268,26.8
2068,ssp126,SSP1-2.6 (Low),0.272,27.2
2069,ssp126,SSP1-2.6 (Low),0.276,27.6
2070,ssp126,SSP1-2.6 (Low),0.28,28.0
2071,ssp126,SSP1-2.6 (Low),0.284,28.4
2072,ssp126,SSP1-2.6 (Low),0.288,28.8
2073,ssp126,SSP1-2.6 (Low),0.292,29.2
2074,ssp126,SSP1-2.6 (Low),0.296,29.6
2075,ssp126,SSP1-2.6 (Low),0.3,30.0
2076,ssp126,SSP1-2.6 (Low),0.304,30.4
2077,ssp126,SSP1-2.6 (Low),0.308,30.8
2078,ssp126,SSP1-2.6 (Low),0.312,31.2
2079,ssp126,SSP1-2.6 (Low),0.316,31.6
2080,ssp126,SSP1-2.6 (Low),0.32,32.0
2081,ssp126,SSP1-2.6 (Low),0.324,32.4
2082,ssp126,SSP1-2.6 (Low),0.328,32.8
2083,ssp126,SSP1-2.6 (Low),0.332,33.2
2084,ssp126,SSP1-2.6 (Low),0.336,33.6
2085,ssp126,SSP1-2.6 (Low),0.34,34.0
2086,ssp126,SSP1-2.6 (Low),0.344,34.4
2087,ssp126,SSP1-2.6 (Low),0.348,34.8
2088,ssp126,SSP1-2.6 (Low),0.352,35.2
2089,ssp126,SSP1-2.6 (Low),0.356,35.6
2090,ssp126,SSP1-2.6 (Low),0.36,36.0
2091,ssp126,SSP1-2.6 (Low),0.364,36.4
2092,ssp126,SSP1-2.6 (Low),0.368,36.8
2093,ssp126,SSP1-2.6 (Low),0.372,37.2
2094,ssp126,SSP1-2.6 (Low),0.376,37.6
2095,ssp126,SSP1-2.6 (Low),0.38,38.0
2096,ssp126,SSP1-2.6 (Low),0.384,38.4
2097,ssp126,SSP1-2.6 (Low),0.388,38.8
2098,ssp126,SSP1-2.6 (Low),0.392,39.2
2099,ssp126,SSP1-2.6 (Low),0.396,39.6
2100,ssp126,SSP1-2.6 (Low),0.4,40.0
2025,ssp245,SSP2-4.5 (Intermediate),0.05,5.0
2026,ssp245,SSP2-4.5 (Intermediate),0.06,6.0
2027,ssp245,SSP2-4.5 (Intermediate),0.07,7.0
2028,ssp245,SSP2-4.5 (Intermediate),0.08,8.0
2029,ssp245,SSP2-4.5 (Intermediate),0.09,9.0
2030,ssp245,SSP2-4.5 (Intermediate),0.1,10.0
2031,ssp245,SSP2-4.5 (Intermediate),0.11,11.0
2032,ssp245,SSP2-4.5 (Intermediate),0.12,12.0
2033,ssp245,SSP2-4.5 (Intermediate),0.13,13.0
2034,ssp245,SSP2-4.5 (Intermediate),0.14,14.0
2035,ssp245,SSP2-4.5 (Intermediate),0.15,15.0
2036,ssp245,SSP2-4.5 (Intermediate),0.16,16.0
2037,ssp245,SSP2-4.5 (Intermediate),0.17,17.0
2038,ssp245,SSP2-4.5 (Intermediate),0.18,18.0
2039,ssp245,SSP2-4.5 (Intermediate),0.19,19.0
2040,ssp245,SSP2-4.5 (Intermediate),0.2,20.0
2041,ssp245,SSP2-4.5 (Intermediate),0.21,21.0
2042,ssp245,SSP2-4.5 (Intermediate),0.22,22.0
