scenario,scenario_label,year,variant,variant_label,slr_m,area_km2,gdp_bn,area_delta_km2,area_delta_pct,gdp_delta_bn,gdp_delta_pct
SSP1-2.6,SSP1-2.6 (Low),2030,baseline,Baseline (IPCC AR6),0.07,11.32,0.122,,,,
SSP1-2.6,SSP1-2.6 (Low),2030,geoid,+0.15m Geoid Correction,0.22,40.89,0.495,29.57,261.2,0.373,306.7
SSP1-2.6,SSP1-2.6 (Low),2050,baseline,Baseline (IPCC AR6),0.2,36.51,0.434,,,,
SSP1-2.6,SSP1-2.6 (Low),2050,geoid,+0.15m Geoid Correction,0.35,75.52,0.946,39.01,106.8,0.512,118.1
SSP1-2.6,SSP1-2.6 (Low),2075,baseline,Baseline (IPCC AR6),0.3,60.92,0.753,,,,
SSP1-2.6,SSP1-2.6 (Low),2075,geoid,+0.15m Geoid Correction,0.45,107.18,1.413,46.26,75.9,0.66,87.6
SSP1-2.6,SSP1-2.6 (Low),2100,baseline,Baseline (IPCC AR6),0.4,90.57,1.158,,,,
SSP1-2.6,SSP1-2.6 (Low),2100,geoid,+0.15m Geoid Correction,0.55,156.98,2.025,66.41,73.3,0.866,74.8
SSP2-4.5,SSP2-4.5 (Medium),2030,baseline,Baseline (IPCC AR6),0.1,16.57,0.19,,,,
SSP2-4.5,SSP2-4.5 (Medium),2030,geoid,+0.15m Geoid Correction,0.25,48.49,0.598,31.92,192.6,0.409,215.6
SSP2-4.5,SSP2-4.5 (Medium),2050,baseline,Baseline (IPCC AR6),0.3,60.92,0.753,,,,
SSP2-4.5,SSP2-4.5 (Medium),2050,geoid,+0.15m Geoid Correction,0.45,107.18,1.413,46.26,75.9,0.66,87.6
SSP2-4.5,SSP2-4.5 (Medium),2075,baseline,Baseline (IPCC AR6),0.45,107.18,1.413,,,,
SSP2-4.5,SSP2-4.5 (Medium),2075,geoid,+0.15m Geoid Correction,0.6,176.22,2.347,69.04,64.4,0.934,66.1
SSP2-4.5,SSP2-4.5 (Medium),2100,baseline,Baseline (IPCC AR6),0.6,176.22,2.347,,,,
SSP2-4.5,SSP2-4.5 (Medium),2100,geoid,+0.15m Geoid Correction,0.75,234.1,3.372,57.88,32.8,1.025,43.7
SSP5-8.5,SSP5-8.5 (High),2030,baseline,Baseline (IPCC AR6),0.13,21.9,0.252,,,,
SSP5-8.5,SSP5-8.5 (High),2030,geoid,+0.15m Geoid Correction,0.28,55.56,0.69,33.66,153.7,0.438,173.4
SSP5-8.5,SSP5-8.5 (High),2050,baseline,Baseline (IPCC AR6),0.4,90.57,1.158,,,,
SSP5-8.5,SSP5-8.5 (High),2050,geoid,+0.15m Geoid Correction,0.55,156.98,2.025,66.41,73.3,0.866,74.8
SSP5-8.5,SSP5-8.5 (High),2075,baseline,Baseline (IPCC AR6),0.7,214.45,3.002,,,,
SSP5-8.5,SSP5-8.5 (High),2075,geoid,+0.15m Geoid Correction,0.85,274.3,4.113,59.85,27.9,1.111,37.0
SSP5-8.5,SSP5-8.5 (High),2100,baseline,Baseline (IPCC AR6),1.0,339.83,5.302,,,,
SSP5-8.5,SSP5-8.5 (High),2100,geoid,+0.15m Geoid Correction,1.15,396.18,6.35,56.35,16.6,1.048,19.8
