option,scenario,variant,cost_low_eur,cost_mid_eur,cost_high_eur,be_year_low_capex_mid_ddr,be_year_mid_capex_mid_ddr,be_year_high_capex_mid_ddr,be_year_mid_capex_low_ddr,be_year_mid_capex_high_ddr
Option 1: Viaduct on Current Alignment,SSP1-2.6,Baseline,120000000,160000000.0,200000000,2073,2079,2085,2097.0,2067
Option 1: Viaduct on Current Alignment,SSP1-2.6,+Geoid,120000000,160000000.0,200000000,2050,2055,2058,2067.0,2047
Option 1: Viaduct on Current Alignment,SSP2-4.5,Baseline,120000000,160000000.0,200000000,2058,2062,2066,2074.0,2055
Option 1: Viaduct on Current Alignment,SSP2-4.5,+Geoid,120000000,160000000.0,200000000,2045,2047,2050,2055.0,2042
Option 1: Viaduct on Current Alignment,SSP5-8.5,Baseline,120000000,160000000.0,200000000,2051,2053,2055,2060.0,2048
Option 1: Viaduct on Current Alignment,SSP5-8.5,+Geoid,120000000,160000000.0,200000000,2041,2043,2045,2049.0,2039
Option 2: Flood Barriers + Smart Drainage,SSP1-2.6,Baseline,30000000,42500000.0,55000000,2048,2053,2057,2065.0,2045
Option 2: Flood Barriers + Smart Drainage,SSP1-2.6,+Geoid,30000000,42500000.0,55000000,2036,2039,2041,2046.0,2034
Option 2: Flood Barriers + Smart Drainage,SSP2-4.5,Baseline,30000000,42500000.0,55000000,2043,2046,2049,2054.0,2041
Option 2: Flood Barriers + Smart Drainage,SSP2-4.5,+Geoid,30000000,42500000.0,55000000,2034,2036,2038,2041.0,2033
Option 2: Flood Barriers + Smart Drainage,SSP5-8.5,Baseline,30000000,42500000.0,55000000,2040,2042,2044,2048.0,2038
Option 2: Flood Barriers + Smart Drainage,SSP5-8.5,+Geoid,30000000,42500000.0,55000000,2033,2034,2036,2039.0,2032
Option 3: Track Relocation Inland,SSP1-2.6,Baseline,150000000,215000000.0,280000000,2078,2087,2094,,2073
Option 3: Track Relocation Inland,SSP1-2.6,+Geoid,150000000,215000000.0,280000000,2054,2060,2065,2074.0,2051
Option 3: Track Relocation Inland,SSP2-4.5,Baseline,150000000,215000000.0,280000000,2062,2067,2072,2079.0,2059
Option 3: Track Relocation Inland,SSP2-4.5,+Geoid,150000000,215000000.0,280000000,2047,2051,2054,2059.0,2045
Option 3: Track Relocation Inland,SSP5-8.5,Baseline,150000000,215000000.0,280000000,2053,2056,2058,2063.0,2051
Option 3: Track Relocation Inland,SSP5-8.5,+Geoid,150000000,215000000.0,280000000,2043,2046,2048,2051.0,2041
