section,section_type,scenario,variant,year,slr_m,return_period_yr,closure_days_yr,annual_cost_mid_eur,annual_cost_low_eur,annual_cost_high_eur,cumulative_cost_mid_eur,cumulative_cost_low_eur,cumulative_cost_high_eur
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2025,0.035,7.8458,0.409,613701.0,306850.0,1073977.0,613701.0,306850.0,1073977.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2026,0.042,7.4742,0.435,652641.0,326321.0,1142122.0,1266342.0,633171.0,2216099.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2027,0.049,7.1203,0.463,693936.0,346968.0,1214388.0,1960278.0,980139.0,3430487.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2028,0.056,6.783,0.492,737724.0,368862.0,1291018.0,2698003.0,1349001.0,4721504.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2029,0.063,6.4618,0.523,784151.0,392076.0,1372265.0,3482154.0,1741077.0,6093769.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2030,0.07,6.1557,0.556,833371.0,416685.0,1458399.0,4315525.0,2157762.0,7552168.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2031,0.0765,5.8845,0.588,881718.0,440859.0,1543007.0,5197243.0,2598621.0,9095175.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2032,0.083,5.6253,0.622,932752.0,466376.0,1632315.0,6129994.0,3064997.0,10727490.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2033,0.0895,5.3775,0.658,986616.0,493308.0,1726578.0,7116610.0,3558305.0,12454068.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2034,0.096,5.1406,0.696,1043464.0,521732.0,1826062.0,8160075.0,4080037.0,14280130.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2035,0.1025,4.9141,0.736,1103457.0,551728.0,1931049.0,9263531.0,4631766.0,16211180.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2036,0.109,4.6976,0.778,1166763.0,583381.0,2041835.0,10430294.0,5215147.0,18253014.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2037,0.1155,4.4907,0.822,1233560.0,616780.0,2158730.0,11663854.0,5831927.0,20411744.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2038,0.122,4.2928,0.869,1304036.0,652018.0,2282063.0,12967889.0,6483945.0,22693806.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2039,0.1285,4.1037,0.919,1378388.0,689194.0,2412178.0,14346277.0,7173138.0,25105985.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2040,0.135,3.9229,0.971,1456823.0,728411.0,2549440.0,15803100.0,7901550.0,27655425.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2041,0.1415,3.7501,1.026,1539560.0,769780.0,2694230.0,17342660.0,8671330.0,30349655.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2042,0.148,3.5849,1.085,1626829.0,813415.0,2846951.0,18969489.0,9484744.0,33196605.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2043,0.1545,3.427,1.146,1718872.0,859436.0,3008026.0,20688361.0,10344180.0,36204631.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2044,0.161,3.276,1.211,1815943.0,907972.0,3177901.0,22504304.0,11252152.0,39382532.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2045,0.1675,3.1317,1.279,1918311.0,959156.0,3357044.0,24422615.0,12211307.0,42739576.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2046,0.174,2.9937,1.351,2026257.0,1013129.0,3545950.0,26448872.0,13224436.0,46285526.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2047,0.1805,2.8618,1.427,2140079.0,1070039.0,3745138.0,28588951.0,14294476.0,50030664.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2048,0.187,2.7357,1.507,2260088.0,1130044.0,3955154.0,30849039.0,15424519.0,53985818.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2049,0.1935,2.6152,1.591,2386613.0,1193307.0,4176573.0,33235652.0,16617826.0,58162391.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2050,0.2,2.5,1.68,2520000.0,1260000.0,4410000.0,35755652.0,17877826.0,62572391.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2051,0.204,2.4316,1.737,2605652.0,1302826.0,4559890.0,38361304.0,19180652.0,67132282.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2052,0.208,2.3651,1.796,2694128.0,1347064.0,4714723.0,41055431.0,20527716.0,71847005.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2053,0.212,2.3005,1.857,2785519.0,1392759.0,4874658.0,43840950.0,21920475.0,76721663.0
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2054,0.216,2.2376,1.92,2879919.0,1439960.0,5039859.0,46720869.0,23360435.0,81761522.0
